row_label_raw,row_label_full,col_0,Tax receivables at the beginning of the year,Tax payables at the beginning of the year,Tax payables in the year,Tax paid in the year,Exchange differences arising from the translation of FS,Decrease due to loss of control during the year,Tax receivables at the end of the year,Tax payables at the end of the year,numeric__Tax receivables at the beginning of the year,numeric__Tax payables at the beginning of the year,numeric__Tax payables in the year,numeric__Tax paid in the year,numeric__Exchange differences arising from the translation of FS,numeric__Decrease due to loss of control during the year,numeric__Tax receivables at the end of the year,numeric__Tax payables at the end of the year
,,,VND,VND,VND,VND,,,VND,VND,,,,,,,,
- Domestic value added tax,- Domestic value added tax,- Domestic value added tax,"117,123,489,296","121,708,498,407","761,650,420,989","820,519,669,304","32,462",-,"128,309,387,999","74,025,181,257",,,,,32.462,,,
- Import value added tax,- Import value added tax,- Import value added tax,"766,648,595",-,"87,834,818,928","87,179,601,027",-,-,"111,430,694",-,,,,,,,,
- Natural resource tax,- Natural resource tax,- Natural resource tax,"48,590,886","5,562,634,905","70,117,013,599","66,516,000,862",-,-,"31,201,714","9,146,258,470",,,,,,,,
- Corporate income tax,- Corporate income tax,- Corporate income tax,"200,168,199,739","458,042,015,152","1,059,323,862,762","1,231,204,982,393","5,873,861,270",-,"312,530,809,650","404,397,366,702",,,,,,,,
- Personal income tax,- Corporate income tax > - Personal income tax,- Personal income tax,"17,183,513,390","21,489,671,837","162,830,059,997","155,660,536,245","562,204,278","(354,375)","17,012,439,020","29,049,971,122",,,,,,-354.375,,
- Land tax and land rental,- Land tax and land rental,- Land tax and land rental,"41,060,342,765","67,148,053,872","609,114,982,372","738,866,320,282","198,898,797",-,"214,378,340,651","110,913,612,645",,,,,,,,
- Thuế tiêu thụ đặc biệt,- Thuế tiêu thụ đặc biệt,- Thuế tiêu thụ đặc biệt,-,-,"30,999,654","30,999,654",-,-,-,-,,,,,,,,
"- Export, import duties","- Export, import duties","- Export, import duties","179,778,712",-,"38,451,218,441","37,436,904,852","6,878,165",-,"303,500,169","1,144,913,211",,,,,,,,
- Environmental protection tax,- Environmental protection tax,- Environmental protection tax,"2,584,050","1,308,951,658","12,958,513,785","14,033,415,914","30,914,146",-,"2,584,050","264,963,675",,,,,,,,
- Other taxes,- Other taxes,- Other taxes,"415,358,118","46,152,276,372","131,189,367,514","107,017,388,930","2,443,342,922",-,"174,059,836","72,526,299,596",,,,,,,,
"- Fees, charges and other payables","- Fees, charges and other payables","- Fees, charges and other payables","27,706,532,591","21,790,052,861","152,261,846,975","170,741,184,361","(9,236,652)",-,"27,068,473,852","2,663,420,084",,,,,,,,
,,,"404,655,038,142","743,202,155,064","3,085,763,105,016","3,429,207,003,824","9,106,895,388","(354,375)","699,922,227,635","704,131,986,762",,,,,,-354.375,,
