row_label_raw,row_label_full,col_0,Land use rights,"Copyright, patent",Software and computer licenses,Others,Total,numeric__Land use rights,"numeric__Copyright, patent",numeric__Software and computer licenses,numeric__Others,numeric__Total
,,,VND,VND,VND,VND,VND,,,,,
Historical cost,Historical cost,Historical cost,Historical cost,Historical cost,Historical cost,Historical cost,Historical cost,,,,,
Beginning balance,Beginning balance,Beginning balance,"133,088,570,111","996,381,619","59,575,452,693","23,587,966,876","217,248,371,299",,,,,
Purchase in the year,Purchase in the year,Purchase in the year,-,-,"4,334,818,934",-,"4,334,818,934",,,,,
"Liquidation, disposal","Liquidation, disposal","Liquidation, disposal",-,-,"(533,846,000)",-,"(533,846,000)",,,,,
Exchange differences arising from the translation of FS at the beginning and ending of the year,Exchange differences arising from the translation of FS at the beginning and ending of the year,Exchange differences arising from the translation of FS at the beginning and ending of the year,"279,695,283",-,"346,529,355","40,533,142","666,757,780",,,,,
Other adjustments,Other adjustments,Other adjustments,"(8,643,820,379)",-,"(44,000,000)",-,"(8,687,820,379)",,,,,
Reclassification,Reclassification,Reclassification,"1,891,235,619","(691,391,619)","(4,750,911,007)","3,551,067,007",-,,,,,
Ending balance,Ending balance,Ending balance,"126,615,680,634","304,990,000","58,928,043,975","27,179,567,025","213,028,281,634",,,,,
Accumulated amortization,Accumulated amortization,Accumulated amortization,Accumulated amortization,Accumulated amortization,Accumulated amortization,Accumulated amortization,Accumulated amortization,,,,,
Beginning balance,Beginning balance,Beginning balance,"29,603,918,629","981,147,289","50,196,775,699","17,007,815,582","97,789,657,199",,,,,
Amortization in the year,Amortization in the year,Amortization in the year,"1,308,440,502",-,"2,023,010,112","2,111,091,575","5,442,542,189",,,,,
"Liquidation, disposal","Liquidation, disposal","Liquidation, disposal",-,-,"(533,846,000)",-,"(533,846,000)",,,,,
Exchange differences arising from the translation of FS at the beginning and ending of the year,Exchange differences arising from the translation of FS at the beginning and ending of the year,Exchange differences arising from the translation of FS at the beginning and ending of the year,"75,891,140",-,"321,996,224","18,990,186","416,877,550",,,,,
Other adjustments,Other adjustments,Other adjustments,"(3,982,173,930)",-,"(44,000,000)",-,"(4,026,173,930)",,,,,
Reclassification,Reclassification,Reclassification,"(143,792,192)","(676,157,289)","(2,986,142,864)","3,806,092,345",-,,,,,
Ending balance,Ending balance,Ending balance,"26,862,284,149","304,990,000","48,977,793,171","22,943,989,688","99,089,057,008",,,,,
Carrying amount,Carrying amount,Carrying amount,Carrying amount,Carrying amount,Carrying amount,Carrying amount,Carrying amount,,,,,
Beginning balance,Beginning balance,Beginning balance,"103,484,651,482","15,234,330","9,378,676,994","6,580,151,294","119,458,714,100",,,,,
Ending balance,Ending balance,Ending balance,"99,753,396,485",-,"9,950,250,804","4,235,577,337","113,939,224,626",,,,,
