row_label_raw,row_label_full,Explanation,col_1,Amount,numeric__col_1,numeric__Amount
Explanation,Explanation,Explanation,,VND,,
Total contract value signed and cumulatively recognized (excluding management fees):,Total contract value signed and cumulatively recognized (excluding management fees):,Total contract value signed and cumulatively recognized (excluding management fees):,Total contract value signed and cumulatively recognized (excluding management fees):,"15,307,074,934,761",,
"- Including: The total contract value signed and cumulatively recognized as at 30/09/2025, related to unearned revenue from land lease and industrial park infrastructure usage fees to be allocated (excluding management fees)","Total contract value signed and cumulatively recognized (excluding management fees): > - Including: The total contract value signed and cumulatively recognized as at 30/09/2025, related to unearned revenue from land lease and industrial park infrastructure usage fees to be allocated (excluding management fees)","- Including: The total contract value signed and cumulatively recognized as at 30/09/2025, related to unearned revenue from land lease and industrial park infrastructure usage fees to be allocated (excluding management fees)",(1),"13,022,084,064,885",-1.0,
"Unearned lease revenue allocated into the Statement of Income over the lease term, cumulative as at 01/01/2025 (excluding management fees)","Unearned lease revenue allocated into the Statement of Income over the lease term, cumulative as at 01/01/2025 (excluding management fees)","Unearned lease revenue allocated into the Statement of Income over the lease term, cumulative as at 01/01/2025 (excluding management fees)",,"2,297,725,945,470",,
In which:,In which:,In which:,In which:,In which:,,
- Unearned revenue from contracts signed and cumulatively recognized as at 01/01/2025 that has been allocated into the Statement of Income over the lease term,In which: > - Unearned revenue from contracts signed and cumulatively recognized as at 01/01/2025 that has been allocated into the Statement of Income over the lease term,- Unearned revenue from contracts signed and cumulatively recognized as at 01/01/2025 that has been allocated into the Statement of Income over the lease term,(2),"2,282,757,657,996",-2.0,
"- Unearned revenue from contracts signed and cumulatively recognized as at 01/01/2025, which had been allocated into the Statement of Income, was restated as the contracts met the criteria for one-time revenue recognition","In which: > - Unearned revenue from contracts signed and cumulatively recognized as at 01/01/2025, which had been allocated into the Statement of Income, was restated as the contracts met the criteria for one-time revenue recognition","- Unearned revenue from contracts signed and cumulatively recognized as at 01/01/2025, which had been allocated into the Statement of Income, was restated as the contracts met the criteria for one-time revenue recognition",(3),"14,968,287,474",-3.0,
Unearned lease revenue allocated into the Statement of Incom during the period (excluding management fees),Unearned lease revenue allocated into the Statement of Incom during the period (excluding management fees),Unearned lease revenue allocated into the Statement of Incom during the period (excluding management fees),,"467,225,802,405",,
Unearned revenue remaining to be allocated (excluding management fees) as at 31/12/2025 (4) = (1) - (2) - (3),Unearned revenue remaining to be allocated (excluding management fees) as at 31/12/2025 (4) = (1) - (2) - (3),Unearned revenue remaining to be allocated (excluding management fees) as at 31/12/2025 (4) = (1) - (2) - (3),(4) = (1) - (2) - (3),"10,272,100,604,484",,
