row_label_raw,row_label_full,col_0,31/12/2025 > Tỷ lệ lợi ích,31/12/2025 > Tỷ lệ quyền biểu quyết,31/12/2025 > Giá trị ghi số theo phương pháp vốn chủ sở hữu,01/01/2025 > Tỷ lệ lợi ích,01/01/2025 > Tỷ lệ quyền biểu quyết,01/01/2025 > Giá trị ghi số theo phương pháp vốn chủ sở hữu,numeric__31/12/2025 > Tỷ lệ lợi ích,numeric__31/12/2025 > Tỷ lệ quyền biểu quyết,numeric__31/12/2025 > Giá trị ghi số theo phương pháp vốn chủ sở hữu,numeric__01/01/2025 > Tỷ lệ lợi ích,numeric__01/01/2025 > Tỷ lệ quyền biểu quyết,numeric__01/01/2025 > Giá trị ghi số theo phương pháp vốn chủ sở hữu
,,,VND,VND,VND,VND,VND,VND,,,,,,
- Công ty Cổ phần Thống Nhất,- Công ty Cổ phần Thống Nhất,- Công ty Cổ phần Thống Nhất,"36,07%","36,07%",86.200.905.273,"36,07%","36,07%",75.905.177.622,0.3607,0.3607,86200905273.0,0.3607,0.3607,75905177622.0
- Công ty TNHH Nghiên cứu Khoa học và Sản xuất Thực nghiệm Cao su (Visorutex),- Công ty TNHH Nghiên cứu Khoa học và Sản xuất Thực nghiệm Cao su (Visorutex),- Công ty TNHH Nghiên cứu Khoa học và Sản xuất Thực nghiệm Cao su (Visorutex),"27,57%","27,57%",2.616.215.833,"27,57%","27,57%",3.630.774.088,0.2757,0.2757,2616215833.0,0.2757,0.2757,3630774088.0
- Công ty Cổ phần Đầu tư Xây dựng Cơ sở Hạ tầng Bình Phước,- Công ty Cổ phần Đầu tư Xây dựng Cơ sở Hạ tầng Bình Phước,- Công ty Cổ phần Đầu tư Xây dựng Cơ sở Hạ tầng Bình Phước,"29,17%","29,17%",66.726.794.166,"29,17%","29,17%",92.033.596.153,0.2917,0.2917,66726794166.0,0.2917,0.2917,92033596153.0
- Công ty Cổ phần Kinh doanh BOT Đường ĐT.741,- Công ty Cổ phần Kinh doanh BOT Đường ĐT.741,- Công ty Cổ phần Kinh doanh BOT Đường ĐT.741,,,,"15,82%","19,23%",58.498.484.643,,,,0.1582,0.1923,58498484643.0
- Công ty Cổ phần Gỗ MDF VRG - Dongwha,- Công ty Cổ phần Gỗ MDF VRG - Dongwha,- Công ty Cổ phần Gỗ MDF VRG - Dongwha,"49,00%","49,00%",665.746.657.103,"49,00%","49,00%",1.098.809.161.230,0.49,0.49,665746657103.0,0.49,0.49,1098809161230.0
- Công ty Cổ phần Đầu tư Phát triển VRG Long Thành,- Công ty Cổ phần Đầu tư Phát triển VRG Long Thành,- Công ty Cổ phần Đầu tư Phát triển VRG Long Thành,"31,00%","31,00%",415.288.435.513,"31,00%","31,00%",33.028.561.253,0.31,0.31,415288435513.0,0.31,0.31,33028561253.0
- Công ty Cổ phần Cao su Thành phố Hồ Chí Minh,- Công ty Cổ phần Cao su Thành phố Hồ Chí Minh,- Công ty Cổ phần Cao su Thành phố Hồ Chí Minh,"27,14%","27,14%",30.684.513.921,"27,14%","27,14%",25.814.109.685,0.27140000000000003,0.27140000000000003,30684513921.0,0.27140000000000003,0.27140000000000003,25814109685.0
- Công ty Cổ phần Cao su Bến Thành,- Công ty Cổ phần Cao su Bến Thành,- Công ty Cổ phần Cao su Bến Thành,"48,27%","48,27%",106.277.272.107,"48,27%","48,27%",102.615.408.654,0.4827,0.4827,106277272107.0,0.4827,0.4827,102615408654.0
- Công ty Cổ phần Xây dựng Cao su Đồng Nai,- Công ty Cổ phần Xây dựng Cao su Đồng Nai,- Công ty Cổ phần Xây dựng Cao su Đồng Nai,"41,50%","41,50%",11.155.495.521,"41,50%","41,50%",7.978.108.677,0.415,0.415,11155495521.0,0.415,0.415,7978108677.0
- Công ty Cổ phần Lộc Thịnh,- Công ty Cổ phần Lộc Thịnh,- Công ty Cổ phần Lộc Thịnh,"32,59%","32,59%",36.107.044.853,"32,59%","32,59%",36.165.228.867,0.3259,0.3259,36107044853.0,0.3259,0.3259,36165228867.0
- Công ty Cổ phần Chỉ sợi Cao su V.R.G SA DO,- Công ty Cổ phần Chỉ sợi Cao su V.R.G SA DO,- Công ty Cổ phần Chỉ sợi Cao su V.R.G SA DO,"49,06%","49,06%",-,"49,06%","49,06%",-,0.49060000000000004,0.49060000000000004,,0.49060000000000004,0.49060000000000004,
- Công ty Cổ phần Chế biến Gỗ Cao su Chư Pãh,- Công ty Cổ phần Chế biến Gỗ Cao su Chư Pãh,- Công ty Cổ phần Chế biến Gỗ Cao su Chư Pãh,"34,32%","34,32%",7.783.844.443,"34,32%","34,32%",7.737.099.645,0.3432,0.3432,7783844443.0,0.3432,0.3432,7737099645.0
