row_label_raw,row_label_full,No.,Representative office,Address,numeric__Representative office,numeric__Address
1,1,1,Representative office in Hanoi,"No. 56 Nguyen Du Street, Cua Nam ward, Hanoi City",,
2,2,2,Representative office in the Kingdom of Cambodia,"No. 7B, street 466, Tonle Basac ward, Charkamon district, Phnom Penh, Cambodia",,
3,3,3,Representative office in the Lao People's Democratic Republic,"Hongke village, Saysetha district, Vientiane Capital, Laos",,
