row_label_raw,row_label_full,col_0,Year 2025,Year 2024,numeric__Year 2025,numeric__Year 2024
,,,VND,VND,,
Cost of rubber latex production and trading,Cost of rubber latex production and trading,Cost of rubber latex production and trading,"16,628,850,043,290","14,908,921,919,552",,
Cost of rubber products production and trading,Cost of rubber products production and trading,Cost of rubber products production and trading,"437,962,797,076","413,597,097,379",,
Cost of wood processing,Cost of wood processing,Cost of wood processing,"1,947,905,754,753","1,866,890,899,093",,
Cost of real estate and infrastructure business,Cost of real estate and infrastructure business,Cost of real estate and infrastructure business,"469,820,186,746","291,554,969,729",,
Cost of infrastructure maintenance services at the Industrial Park,Cost of infrastructure maintenance services at the Industrial Park,Cost of infrastructure maintenance services at the Industrial Park,"38,341,858,348","6,247,111,221",,
Cost of utilities services trading,Cost of utilities services trading,Cost of utilities services trading,"106,539,542,811","79,699,936,450",,
"Cost of tourism, restaurant, and hotel services","Cost of tourism, restaurant, and hotel services","Cost of tourism, restaurant, and hotel services","145,980,817","146,158,884",,
Cost of electricity trading,Cost of electricity trading,Cost of electricity trading,"307,697,823,370","268,869,356,370",,
Other cost of goods sold and services rendered,Other cost of goods sold and services rendered,Other cost of goods sold and services rendered,"480,655,164,422","1,440,968,619,037",,
Provision / (Reversal) of provision for devaluation of inventories,Provision / (Reversal) of provision for devaluation of inventories,Provision / (Reversal) of provision for devaluation of inventories,"7,479,886,765",-,,
,,,"20,425,399,038,398","19,276,896,067,715",,
In which: Purchase from related parties,In which: Purchase from related parties,In which: Purchase from related parties,"2,466,716,262","14,499,672,761",,
