row_label_raw,row_label_full,col_0,01/01/2025 > Giá trị,01/01/2025 > Số có khả năng trả nợ,01/01/2025 > Tăng,Trong năm > Giám,Trong năm > Chênh lệch do thay đổi tỷ giá khi chuyển đổi BCTC,Trong năm > Giảm do mất quyền kiểm soát trong năm,31/12/2025 > Giá trị,31/12/2025 > Số có khả năng trả nợ,numeric__01/01/2025 > Giá trị,numeric__01/01/2025 > Số có khả năng trả nợ,numeric__01/01/2025 > Tăng,numeric__Trong năm > Giám,numeric__Trong năm > Chênh lệch do thay đổi tỷ giá khi chuyển đổi BCTC,numeric__Trong năm > Giảm do mất quyền kiểm soát trong năm,numeric__31/12/2025 > Giá trị,numeric__31/12/2025 > Số có khả năng trả nợ
,,,VND,VND,VND,VND,VND,,VND,VND,,,,,,,,
a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,,,,,,,,
Vay ngắn hạn,a) Vay ngắn hạn > Vay ngắn hạn,Vay ngắn hạn,3.658.238.339.148,3.658.238.339.148,3.605.421.626.189,6.131.883.769.767,6.131.159.034,2.054.880.373,1.135.852.474.231,1.135.852.474.231,3658238339148.0,3658238339148.0,3605421626189.0,6131883769767.0,6131159034.0,2054880373.0,1135852474231.0,1135852474231.0
- Vay tổ chức tín dụng,a) Vay ngắn hạn > - Vay tổ chức tín dụng,- Vay tổ chức tín dụng,3.645.749.339.148,3.645.749.339.148,3.597.421.626.189,6.119.133.769.767,6.131.159.034,1.904.880.373,1.128.263.474.231,1.128.263.474.231,3645749339148.0,3645749339148.0,3597421626189.0,6119133769767.0,6131159034.0,1904880373.0,1128263474231.0,1128263474231.0
- Vay tổ chức khác,a) Vay ngắn hạn > - Vay tổ chức khác,- Vay tổ chức khác,3.089.000.000,3.089.000.000,-,-,-,-,3.089.000.000,3.089.000.000,3089000000.0,3089000000.0,,,,,3089000000.0,3089000000.0
- Vay cá nhân,a) Vay ngắn hạn > - Vay cá nhân,- Vay cá nhân,9.400.000.000,9.400.000.000,8.000.000.000,12.750.000.000,-,150.000.000,4.500.000.000,4.500.000.000,9400000000.0,9400000000.0,8000000000.0,12750000000.0,,150000000.0,4500000000.0,4500000000.0
Vay dài hạn đến hạn trả,a) Vay ngắn hạn > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,416.695.522.565,416.695.522.565,858.939.336.979,965.493.684.884,799.568.644,-,310.940.743.304,310.940.743.304,416695522565.0,416695522565.0,858939336979.0,965493684884.0,799568644.0,,310940743304.0,310940743304.0
- Vay tổ chức tín dụng,a) Vay ngắn hạn > - Vay tổ chức tín dụng,- Vay tổ chức tín dụng,416.202.908.764,416.202.908.764,845.677.382.744,965.094.031.076,799.568.644,-,297.585.829.076,297.585.829.076,416202908764.0,416202908764.0,845677382744.0,965094031076.0,799568644.0,,297585829076.0,297585829076.0
- Vay tổ chức khác,a) Vay ngắn hạn > - Vay tổ chức khác,- Vay tổ chức khác,-,-,13.000.000.000,-,-,-,13.000.000.000,13.000.000.000,,,13000000000.0,,,,13000000000.0,13000000000.0
- Thuế tài chính,a) Vay ngắn hạn > - Thuế tài chính,- Thuế tài chính,492.613.801,492.613.801,261.954.235,399.653.808,-,-,354.914.228,354.914.228,492613801.0,492613801.0,261954235.0,399653808.0,,,354914228.0,354914228.0
,,,4.074.933.861.713,4.074.933.861.713,4.464.360.963.168,7.097.377.454.651,6.930.727.678,2.054.880.373,1.446.793.217.535,1.446.793.217.535,4074933861713.0,4074933861713.0,4464360963168.0,7097377454651.0,6930727678.0,2054880373.0,1446793217535.0,1446793217535.0
