row_label_raw,row_label_full,col_0,Sản xuất và kinh doanh mủ cao su,Sản xuất và kinh doanh các sản phẩm từ cao su,Chế biến gỗ,"Xây dựng, bắt động sản, cơ sở hạ tầng","Dịch vụ du lịch, nhà hàng, khách sạn",Kinh doanh điện năng,Hoạt động kinh doanh khác,Điều chính và loại trừ,Năm 2025,numeric__Sản xuất và kinh doanh mủ cao su,numeric__Sản xuất và kinh doanh các sản phẩm từ cao su,numeric__Chế biến gỗ,"numeric__Xây dựng, bắt động sản, cơ sở hạ tầng","numeric__Dịch vụ du lịch, nhà hàng, khách sạn",numeric__Kinh doanh điện năng,numeric__Hoạt động kinh doanh khác,numeric__Điều chính và loại trừ,numeric__Năm 2025
,,,VND,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,23.449.490.989.275,475.527.121.033,2.450.813.951.656,1.316.126.993.183,500.000.000,602.493.249.364,783.103.379.809,-,29.078.055.684.320,23449490989275.0,475527121033.0,2450813951656.0,1316126993183.0,500000000.0,602493249364.0,783103379809.0,,29078055684320.0
Doanh thu thuần từ bán hàng giữa các bộ phận,Doanh thu thuần từ bán hàng giữa các bộ phận,Doanh thu thuần từ bán hàng giữa các bộ phận,4.502.716.904.455,1.321.667.407,18.431.047.004,1.595.575.281,-,-,329.580.111.882,4.853.645.306.029,9.707.290.612.058,4502716904455.0,1321667407.0,18431047004.0,1595575281.0,,,329580111882.0,4853645306029.0,9707290612058.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,16.638.501.426.984,437.859.589.128,1.945.837.465.772,614.701.587.905,145.980.817,307.697.823.370,480.655.164.422,-,20.425.399.038.398,16638501426984.0,437859589128.0,1945837465772.0,614701587905.0,145980817.0,307697823370.0,480655164422.0,,20425399038398.0
Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,6.810.989.562.291,37.667.531.905,504.976.485.884,701.425.405.278,354.019.183,294.795.425.994,302.448.215.387,-,8.652.656.645.922,6810989562291.0,37667531905.0,504976485884.0,701425405278.0,354019183.0,294795425994.0,302448215387.0,,8652656645922.0
Tổng chỉ phí mua tài sản cố định,Tổng chỉ phí mua tài sản cố định,Tổng chỉ phí mua tài sản cố định,1.180.335.170.392,895.328.336,22.856.359.366,131.633.025.740,6.859.370.668,18.458.542.850,34.658.600.498,(406.124.873.437),989.571.524.413,1180335170392.0,895328336.0,22856359366.0,131633025740.0,6859370668.0,18458542850.0,34658600498.0,-406124873437.0,989571524413.0
Khấu hao tài sản cố định,Khấu hao tài sản cố định,Khấu hao tài sản cố định,2.453.933.468.535,26.197.035.006,128.477.620.438,148.878.097.491,2.457.806.623,122.832.210.476,26.406.850.842,-,2.909.183.089.411,2453933468535.0,26197035006.0,128477620438.0,148878097491.0,2457806623.0,122832210476.0,26406850842.0,,2909183089411.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,74.154.218.489.510,776.490.071.928,2.518.726.173.359,14.988.951.780.726,47.423.215.186,2.297.729.450.456,46.278.268.293.979,(54.779.345.984.284),86.282.461.490.860,74154218489510.0,776490071928.0,2518726173359.0,14988951780726.0,47423215186.0,2297729450456.0,46278268293979.0,-54779345984284.0,86282461490860.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,15.624.547.979.390,142.837.349.021,1.070.188.831.410,11.163.239.919.037,8.576.157.365,617.113.966.202,544.035.634.951,(5.089.661.047.538),24.080.878.789.838,15624547979390.0,142837349021.0,1070188831410.0,11163239919037.0,8576157365.0,617113966202.0,544035634951.0,-5089661047538.0,24080878789838.0
Lợi nhuận của từng bộ phận không bao gồm những khoản mục sau:,Lợi nhuận của từng bộ phận không bao gồm những khoản mục sau:,Lợi nhuận của từng bộ phận không bao gồm những khoản mục sau:,Lợi nhuận của từng bộ phận không bao gồm những khoản mục sau:,Lợi nhuận của từng bộ phận không bao gồm những khoản mục sau:,Lợi nhuận của từng bộ phận không bao gồm những khoản mục sau:,Lợi nhuận của từng bộ phận không bao gồm những khoản mục sau:,Lợi nhuận của từng bộ phận không bao gồm những khoản mục sau:,Lợi nhuận của từng bộ phận không bao gồm những khoản mục sau:,Lợi nhuận của từng bộ phận không bao gồm những khoản mục sau:,Lợi nhuận của từng bộ phận không bao gồm những khoản mục sau:,Lợi nhuận của từng bộ phận không bao gồm những khoản mục sau:,,,,,,,,,
,,,Sản xuất và kinh doanh mủ cao su,Sản xuất và kinh doanh các sản phẩm từ cao su,Chế biến gỗ,"Xây dựng, bắt động sản, cơ sở hạ tầng","Dịch vụ du lịch, nhà hàng, khách sạn",Kinh doanh điện năng,Hoạt động kinh doanh khác,Điều chính và loại trừ,Năm 2025,,,,,,,,,
,,,VND,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,,
