row_label_raw,row_label_full,No.,Name of Company,Place of establishment,Rate of interest,Principal activities,numeric__Name of Company,numeric__Place of establishment,numeric__Rate of interest,numeric__Principal activities
51,51,51,Sa Thay Rubber JSC,"No. 308E Phan Dinh Phung street, Dak Cam ward, Quang Ngai province",95.36%,Planting and tending rubber trees,,,95.36,
52,52,52,Nghe An Rubber Investment and Development JSC,"No. 17 Phan Dang Luu street, Truong Vinh ward, Nghe An province",93.03%,"Planting rubber trees: planting, tending, exploiting and processing pure rubber; Afforestation and forest care",,,93.03,
53,53,53,Tan Bien Kampongthom Rubber JSC,"Group 8, Thanh Phu hamlet, Tan Hiep commune, Tay Ninh province",99.07%,Planting and tending rubber trees,,,99.07,
54,54,54,"Tan Bien Kampong Thom Rubber Development Co., Ltd","Santuk district, Kampong Thom province, Kingdom of Cambodia",99.07%,"Cultivation, tending, harvesting, processing and trading of natural rubber",,,99.07,
55,55,55,"Mekong Rubber One Member Co.,Ltd","Group 8, Thanh Phu hamlet, Tan Hoi commune, Tay Ninh province",99.07%,Trading of natural rubber latex,,,99.07,
56,56,56,"Mekong Rubber Co., Ltd","Kroyer commune, Prasat Balang district, Kampong Thom province, Kingdom of Cambodia",99.07%,"Cultivation, tending, harvesting, processing and trading of natural rubber",,,99.07,
57,57,57,Ba Ria Rubber JSC,"Duc Trung hamlet, Ngai Giao commune, Ho Chi Minh City",97.47%,"Planting, tending, exploiting, processing and trading natural rubber latex; Hotel and tourism services",,,97.47,
58,58,58,Phu Rieng Kratie Rubber JSC,"Phu Nguyen hamlet, Phu Rieng commune, Dong Nai province",70.00%,Production of other rubber products; Afforestation and forest care; Planting rubber trees,,,70.0,
59,59,59,VRG Phu Yen JSC,"Lot 01-11, Hung Vuong new quarter, Hung Vuong street, Tuy Hoa ward, Dak Lak province",94.70%,"Investment in construction, operation management and trading of electricity from hydropower plants; Investment in planting, exploiting and processing rubber",,,94.7,
60,60,60,Tan Bien Rubber JSC,"Group 2, Thanh Phu hamlet, Tan Hoi commune, Tay Ninh province",98.46%,"Cultivation, chemical fertilizer and rubber industry; Production and trading of materials and tools for agricultural production",,,98.46,
61,61,61,Dau Giay Industrial Zone JSC,"Km2, Provincial Road 769, Dau Giay commune, Dong Nai province",71.04%,"Real estate business, ownership, use or lease of land rights",,,71.04,
62,62,62,Long Khanh Industrial Zone JSC,"Long Khanh Industrial Park, Binh Loc ward, Dong Nai province",75.68%,"Real estate business, investment in construction and operation of industrial park infrastructure",,,75.68,
