row_label_raw,row_label_full,No.,Location of the leased land,Lease purpose,Area (m2),Method of lease payment,numeric__Location of the leased land,numeric__Lease purpose,numeric__Area (m2),numeric__Method of lease payment
1,1,1,An Giang Province,Wood processing,"88,506.00",Exempted from land rental in accordance with regulations.,,,88.506,
2,2,2,Tay Ninh Province,Production and trading of natural rubber latex,"140,392,884.10",Annual payment of land rental until the contract expiry date.,,,,
2,2,2,Tay Ninh Province,Production and trading of natural rubber latex,"1,642,024.80",Exempted from land rental in accordance with regulations.,,,,
3,3,3,Ho Chi Minh City,Production and trading of natural rubber latex,"301,680,073.22",Annual payment of land rental until the contract expiry date.,,,,
3,3,3,Ho Chi Minh City,"Construction, real estate and infrastructure","1,956,482.11",Annual payment of land rental until the contract expiry date.,,,,
3,3,3,Ho Chi Minh City,"Construction, real estate and infrastructure","11,343,359.10",One-off payment for the entire lease term.,,,,
3,3 > 3,3,Ho Chi Minh City,Wood processing,"62,200.00",Annual payment of land rental until the contract expiry date.,,,62.2,
4,3 > 4,4,Dak Lak Province,Electricity trading,"421,896.20",Exempted from land rental in accordance with regulations.,,,421.8962,
4,3 > 4,4,Dak Lak Province,Electricity trading,"224,104.70",Annual payment of land rental until the contract expiry date.,,,224.1047,
4,4,4,Dak Lak Province,Production and trading of natural rubber latex,"2,102,762.00",Exempted from land rental in accordance with regulations.,,,,
4,4,4,Dak Lak Province,Production and trading of natural rubber latex,"95,833,116.20",Annual payment of land rental until the contract expiry date.,,,,
5,4 > 5,5,Dong Nai Province,"Tourism, restaurant, hotel and hospital services","60,750.00",Annual payment of land rental until the contract expiry date.,,,60.75,
5,5,5,Dong Nai Province,Production and trading of natural rubber latex,"500,978,433.70",Annual payment of land rental until the contract expiry date.,,,,
5,5,5,Dong Nai Province,"Construction, real estate and infrastructure","5,958,281.00",Annual payment of land rental until the contract expiry date.,,,,
5,5,5,Dong Nai Province,"Construction, real estate and infrastructure","2,173,538.00",One-off payment for the entire lease term.,,,,
6,5 > 6,6,Binh Phuoc Province,"Tourism, restaurant, hotel and hospital services",466.30,Annual payment of land rental until the contract expiry date.,,,46630.0,
6,6,6,Binh Phuoc Province,Production and trading of natural rubber latex,"257,010,121.23",Annual payment of land rental until the contract expiry date.,,,,
7,7,7,Gia Lai Province,Production and trading of natural rubber latex,"24,147,600.00",Exempted from land rental in accordance with regulations.,,,,
7,7,7,Gia Lai Province,Production and trading of natural rubber latex,"262,065,908.50",Annual payment of land rental until the contract expiry date.,,,,
7,7,7,Gia Lai Province,"Construction, real estate and infrastructure","92,864,891.00",Annual payment of land rental until the contract expiry date.,,,,
7,7 > 7,7,Gia Lai Province,"Tourism, restaurant, hotel and hospital services","14,742.20",Annual payment of land rental until the contract expiry date.,,,14.7422,
