row_label_raw,row_label_full,Under business fields:,Under business fields:_1,Under business fields:_2,Under business fields:_3,Under business fields:_4,Under business fields:_5,Under business fields:_6,Under business fields:_7,Under business fields:_8,Under business fields:_9,numeric__Under business fields:_1,numeric__Under business fields:_2,numeric__Under business fields:_3,numeric__Under business fields:_4,numeric__Under business fields:_5,numeric__Under business fields:_6,numeric__Under business fields:_7,numeric__Under business fields:_8,numeric__Under business fields:_9
,,,Production and trading of rubber latex,Production and trading of rubber products,Wood processing,"Construction, real estate and infrastructure","Tourism, restaurant, and hotel services",Electricity business,Other business activities,Adjustment and elimination,Year 2025,,,,,,,,,
,,,VND,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,,
Net revenue from sales to external customers,Net revenue from sales to external customers,Net revenue from sales to external customers,"23,449,490,989,275","475,527,121,033","2,450,813,951,656","1,316,126,993,183","500,000,000","602,493,249,364","783,103,379,809",-,"29,078,055,684,320",,,,,,,,,
Net revenue from transactions with other segments,Net revenue from transactions with other segments,Net revenue from transactions with other segments,"4,502,716,904,455","1,321,667,407","18,431,047,004","1,595,575,281",-,-,"329,580,111,882","4,853,645,306,029","9,707,290,612,058",,,,,,,,,
Cost of goods sold,Cost of goods sold,Cost of goods sold,"16,638,501,426,984","437,859,589,128","1,945,837,465,772","614,701,587,905","145,980,817","307,697,823,370","480,655,164,422",-,"20,425,399,038,398",,,,,,,,,
Gross profit from sales of goods and rendering of services,Gross profit from sales of goods and rendering of services,Gross profit from sales of goods and rendering of services,"6,810,989,562,291","37,667,531,905","504,976,485,884","701,425,405,278","354,019,183","294,795,425,994","302,448,215,387",-,"8,652,656,645,922",,,,,,,,,
The total cost of acquisition of fixed assets,The total cost of acquisition of fixed assets,The total cost of acquisition of fixed assets,"1,180,335,170,392","895,328,336","22,856,359,366","131,633,025,740","6,859,370,668","18,458,542,850","34,658,600,498","(406,124,873,437)","989,571,524,413",,,,,,,,,
Depreciation of fixed assets,Depreciation of fixed assets,Depreciation of fixed assets,"2,453,933,468,535","26,197,035,006","128,477,620,438","148,878,097,491","2,457,806,623","122,832,210,476","26,406,850,842",-,"2,909,183,089,411",,,,,,,,,
Total assets,Total assets,Total assets,"74,154,218,489,510","776,490,071,928","2,518,726,173,359","14,988,951,780,726","47,423,215,186","2,297,729,450,456","46,278,268,293,979","(54,779,345,984,284)","86,282,461,490,860",,,,,,,,,
Total payables,Total payables,Total payables,"15,624,547,979,390","142,837,349,021","1,070,188,831,410","11,163,239,919,037","8,576,157,365","617,113,966,202","544,035,634,951","(5,089,661,047,538)","24,080,878,789,838",,,,,,,,,
The profit of each segment does not include the following items:,The profit of each segment does not include the following items:,The profit of each segment does not include the following items:,The profit of each segment does not include the following items:,The profit of each segment does not include the following items:,The profit of each segment does not include the following items:,The profit of each segment does not include the following items:,The profit of each segment does not include the following items:,The profit of each segment does not include the following items:,The profit of each segment does not include the following items:,The profit of each segment does not include the following items:,The profit of each segment does not include the following items:,,,,,,,,,
,,,Production and trading of rubber latex,Production and trading of rubber products,Wood processing,"Construction, real estate and infrastructure","Tourism, restaurant, and hotel services",Electricity business,Other business activities,Adjustment and elimination,Year 2025,,,,,,,,,
,,,VND,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,,
Financial income,Financial income,Financial income,"1,263,075,619,328","24,902,789,268","19,548,401,688","416,329,586,527","1,246,556,091","20,525,816,886","2,887,700,655,300","(3,541,875,744,719)","1,091,453,680,369",,,,,,,,,
Financial expenses,Financial expenses,Financial expenses,"176,084,170,173","4,129,615,256","51,911,415,457","20,835,655,468",-,"41,708,061,008","195,274,047,754","(179,270,631,401)","310,672,333,715",,,,,,,,,
Other income,Other income,Other income,"2,053,398,272,450","1,978,354,429","21,527,529,929","34,024,331,925","315,544,538","2,409,367,898","26,180,016,164","(180,951,206,031)","1,958,882,211,302",,,,,,,,,
Other expenses,Other expenses,Other expenses,"896,087,272,975","1,408,859,947","26,617,509,505","11,206,739,252","41,180,944","7,062,330,936","962,402,503","(41,841,338,194)","901,544,957,868",,,,,,,,,
Share of joint ventures and associates' profit or loss,Share of joint ventures and associates' profit or loss,Share of joint ventures and associates' profit or loss,,,,,,,,"303,625,809,919","303,625,809,919",,,,,,,,,
