row_label_raw,row_label_full,No.,Name of Company,Place of establishment,Rate of interest,Principal activities,numeric__Name of Company,numeric__Place of establishment,numeric__Rate of interest,numeric__Principal activities
28,28,28,Rubber Industry and Import - Export JSC,"No. 64 Truong Dinh street, Xuan Hoa Ward, Ho Chi Minh City",83.50%,"Manufacturing of products from rubber trees. Processing, manufacturing and trading of sports paper for export. Trading rubber and rubber products",,,83.5,
29,29,29,"Hong Phuc Trading and Real Estate Co.,Ltd","50 – 52 Vo Van Tan, Xuan Hoa ward, Ho Chi Minh city",83.50%,Manufacture and trading of rubber products; technical rubber products.,,,83.5,
30,30,30,"Dong Hoa Wood Processing One Member Co., Ltd","502A Ly Thuong Kiet, Thong Nhat 1 quarter, Di An ward, Ho Chi Minh city",83.50%,"Sawing, planing and preserving of wood. Details: Processing of rubber trees and other planted forest trees",,,83.5,
31,31,31,Geru Star Sport JSC,"No. 1/1 Tan Ky Tan Quy street, Tay Thanh ward, Ho Chi Minh City",83.08%,Specializing in the production and trading of sports equipment; Trading rubber; Importing materials and supplies for manufacturing sports equipment.,,,83.08,
32,32,32,MDF VRG - Quang Tri Wood JSC,"Nam Dong Ha Industrial Park, Nam Dong Ha ward, Quang Tri province",97.31%,"Production and business of importing and exporting MDF and Okal artificial wood; Planting, trading and exploiting raw materials for the production of MDF wood, paper and other industrial plants.",,,97.31,
33,33,33,Phuoc Hoa Rubber JSC,"Hamlet 2A, Phuoc Hoa commune, Ho Chi Minh City",66.62%,Planting rubber trees; Exploiting and processing rubber latex; Purchasing raw latex; Retail trading of petroleum; Trading and processing rubber wood,,,66.62,
34,34,34,Viet Lao Rubber JSC,"No. 207 Nguyen Van Troi street, Phu Nhuan Ward, Ho Chi Minh City",89.29%,Trading of rubber raw materials (not conducted at the head office).,,,89.29,
35,35,35,Viet Lao Rubber Co.Ldt,"Km6, Houei Nhang Kham village, Pakse city, Champasak province, Laos",89.29%,"Land clearing, afforestation, cultivation, tending, harvesting and processing of natural rubber latex.",,,89.29,
36,36,36,Hoa Binh Rubber JSC,"Hamlet 7, Hoa Hoi commune, Ho Chi Minh City",55.06%,"Planting, tending, exploiting and preliminary processing of natural rubber",,,55.06,
37,37,37,Hang Gon Rubber Joint Stock Company,"Hang Gon ward, Dong Nai province",50.00%,"Purchasing, preliminary processing of rubber latex; Wholesale of processed natural rubber latex; Trading rubber products and chemicals used in rubber production",,,50.0,
