row_label_raw,row_label_full,col_0,31/12/2025,31/12/2025_1,31/12/2025_2,01/01/2025,01/01/2025_1,01/01/2025_2,numeric__31/12/2025,numeric__31/12/2025_1,numeric__31/12/2025_2,numeric__01/01/2025,numeric__01/01/2025_1,numeric__01/01/2025_2
,,,Original costVND,ProvisionVND,Recoverable valueVND,Original costVND,ProvisionVND,Recoverable valueVND,,,,,,
Total value of receivables that are overdue or not due but difficult to be recovered,Total value of receivables that are overdue or not due but difficult to be recovered,Total value of receivables that are overdue or not due but difficult to be recovered,Total value of receivables that are overdue or not due but difficult to be recovered,Total value of receivables that are overdue or not due but difficult to be recovered,Total value of receivables that are overdue or not due but difficult to be recovered,Total value of receivables that are overdue or not due but difficult to be recovered,Total value of receivables that are overdue or not due but difficult to be recovered,Total value of receivables that are overdue or not due but difficult to be recovered,,,,,,
- Building Materials and Construction Company Limited BMC,- Building Materials and Construction Company Limited BMC,- Building Materials and Construction Company Limited BMC,"5,007,361,732","(5,007,361,732)",-,"5,007,361,732","(5,007,361,732)",-,,,,,,
"- Duy Anh Trading and Transportation Co., Ltd","- Duy Anh Trading and Transportation Co., Ltd","- Duy Anh Trading and Transportation Co., Ltd",-,-,-,"5,536,301,264","(5,536,301,264)",-,,,,,,
- Tan Trung Thanh Connect Corporation,- Tan Trung Thanh Connect Corporation,- Tan Trung Thanh Connect Corporation,"4,262,586,793","(4,262,586,793)",-,"4,262,586,793","(4,262,586,793)",-,,,,,,
- Forestry Products and Handicrafts Production and Export-Import JSC (UPEXIM),- Forestry Products and Handicrafts Production and Export-Import JSC (UPEXIM),- Forestry Products and Handicrafts Production and Export-Import JSC (UPEXIM),"3,870,681,600","(3,870,681,600)",-,"3,870,681,600","(3,870,681,600)",-,,,,,,
- Mr. Do Minh Tien,- Mr. Do Minh Tien,- Mr. Do Minh Tien,"4,022,919,322","(3,400,112,822)","622,806,500","4,380,245,322","(3,757,438,822)","622,806,500",,,,,,
- Romi Spot,- Romi Spot,- Romi Spot,"5,102,350,426","(5,102,350,426)",-,"5,102,350,426","(5,102,350,426)",-,,,,,,
- Others,- Others,- Others,"308,634,345,412","(273,562,766,001)","35,071,579,411","192,357,882,302","(188,989,086,890)","3,368,795,412",,,,,,
,,,"1,191,310,256,246","(794,860,853,993)","396,449,402,253","1,104,529,902,973","(753,244,090,850)","351,285,812,123",,,,,,
