row_label_raw,row_label_full,Họ và tên,Chức vụ,Tổng thu nhập tại Công ty mẹ,Tổng thu nhập tại Công ty mẹ_1,numeric__Chức vụ,numeric__Tổng thu nhập tại Công ty mẹ,numeric__Tổng thu nhập tại Công ty mẹ_1
Họ và tên,Họ và tên,Họ và tên,Chức vụ,Năm 2025,Năm 2024,,,
,,,,VND,VND,,,
Ông Trần Công Kha,Họ và tên > Ông Trần Công Kha,Ông Trần Công Kha,Chủ tịch HDQT,1.746.183.108,1.261.045.490,,1746183108.0,1261045490.0
Ông Lê Thanh Hưng,Họ và tên > Ông Lê Thanh Hưng,Ông Lê Thanh Hưng,Thành viên HDQT,1.546.730.815,1.266.016.449,,1546730815.0,1266016449.0
Ông Lê Thanh Hưng,Ông Lê Thanh Hưng,Ông Lê Thanh Hưng,Tổng Giám đốc,,,,,
Ông Đỗ Hữu Phước,Ông Lê Thanh Hưng > Ông Đỗ Hữu Phước,Ông Đỗ Hữu Phước,Thành viên HDQT,1.421.891.959,1.120.929.325,,1421891959.0,1120929325.0
Ông Đỗ Hữu Phước,Ông Đỗ Hữu Phước,Ông Đỗ Hữu Phước,Phó Tổng Giám đốc(Bố nhiệm từ ngày 17/06/2024),,,,,
Ông Hà Văn Khương,Ông Đỗ Hữu Phước > Ông Hà Văn Khương,Ông Hà Văn Khương,Thành viên HDQT,1.421.891.959,1.120.929.325,,1421891959.0,1120929325.0
Ông Nguyễn Hay,Ông Đỗ Hữu Phước > Ông Nguyễn Hay,Ông Nguyễn Hay,Thành viên HDQT,142.189.196,168.139.399,,142189196.0,168139399.0
Ông Nguyễn Đông Phong,Ông Đỗ Hữu Phước > Ông Nguyễn Đông Phong,Ông Nguyễn Đông Phong,Thành viên HDQT,142.189.196,91.075.508,,142189196.0,91075508.0
Ông Nguyễn Đông Phong,Ông Nguyễn Đông Phong,Ông Nguyễn Đông Phong,(Bố nhiệm từ ngày 17/06/2024),,,,,
Bà Huỳnh Thị Cẩm Hồng,Ông Nguyễn Đông Phong > Bà Huỳnh Thị Cẩm Hồng,Bà Huỳnh Thị Cẩm Hồng,Thành viên HDQT,23.698.199,-,,23698199.0,
Bà Huỳnh Thị Cẩm Hồng,Bà Huỳnh Thị Cẩm Hồng,Bà Huỳnh Thị Cẩm Hồng,(Bố nhiệm ngày 05/11/2025),,,,,
Ông Trương Minh Trung,Bà Huỳnh Thị Cẩm Hồng > Ông Trương Minh Trung,Ông Trương Minh Trung,Phó Tổng Giám đốc,1.303.400.963,1.120.929.325,,1303400963.0,1120929325.0
Ông Trương Minh Trung,Ông Trương Minh Trung,Ông Trương Minh Trung,Thành viên HDQT,,,,,
Ông Trương Minh Trung,Ông Trương Minh Trung,Ông Trương Minh Trung,(Bố nhiệm từ ngày 05/11/2025),,,,,
Ông Trần Ngọc Thuận,Ông Trương Minh Trung > Ông Trần Ngọc Thuận,Ông Trần Ngọc Thuận,Thành viên HDQT,-,551.123.585,,,551123585.0
Ông Trần Ngọc Thuận,Ông Trần Ngọc Thuận,Ông Trần Ngọc Thuận,(Miễn nhiệm ngày 17/06/2025),,,,,
Ông Huỳnh Văn Bảo,Ông Trần Ngọc Thuận > Ông Huỳnh Văn Bảo,Ông Huỳnh Văn Bảo,Thành viên HDQT,-,280.232.331,,,280232331.0
Ông Huỳnh Văn Bảo,Ông Huỳnh Văn Bảo,Ông Huỳnh Văn Bảo,(Miễn nhiệm từ ngày 29/03/2024),,,,,
Ông Phạm Văn Thành,Ông Huỳnh Văn Bảo > Ông Phạm Văn Thành,Ông Phạm Văn Thành,Thành viên HDQT,-,280.232.331,,,280232331.0
Ông Phạm Văn Thành,Ông Phạm Văn Thành,Ông Phạm Văn Thành,(Miễn nhiệm từ ngày 29/03/2024),,,,,
Ông Phan Mạnh Hùng,Ông Phạm Văn Thành > Ông Phan Mạnh Hùng,Ông Phan Mạnh Hùng,Thành viên HDQT,-,42.034.850,,,42034850.0
Ông Phan Mạnh Hùng,Ông Phan Mạnh Hùng,Ông Phan Mạnh Hùng,(Miễn nhiệm từ ngày 29/03/2024),,,,,
Ông Trần Thanh Phụng,Ông Phan Mạnh Hùng > Ông Trần Thanh Phụng,Ông Trần Thanh Phụng,Phó Tổng Giám đốc,1.279.702.763,1.120.929.325,,1279702763.0,1120929325.0
Ông Phạm Hải Dương,Ông Phan Mạnh Hùng > Ông Phạm Hải Dương,Ông Phạm Hải Dương,Phó Tổng Giám đốc,1.279.702.763,1.120.929.325,,1279702763.0,1120929325.0
Ông Phạm Văn Hói Em,Ông Phan Mạnh Hùng > Ông Phạm Văn Hói Em,Ông Phạm Văn Hói Em,Phó Tổng Giám đốc,1.418.981.654,1.015.842.201,,1418981654.0,1015842201.0
Ông Phạm Văn Hói Em,Ông Phạm Văn Hói Em,Ông Phạm Văn Hói Em,(Bố nhiệm từ ngày 05/11/2025),,,,,
Ông Phạm Văn Hói Em,Ông Phạm Văn Hói Em,Ông Phạm Văn Hói Em,Trường Ban kiểm soát(Miễn nhiệm từ ngày 05/11/2025),,,,,
