row_label_raw,row_label_full,col_0,Currency,Interest rate,Guarantee,Purpose,31/12/2025,31/12/2025_1,numeric__Currency,numeric__Interest rate,numeric__Guarantee,numeric__Purpose,numeric__31/12/2025,numeric__31/12/2025_1
,,,Currency,Interest rate,Guarantee,Purpose,USD/ KHR,VND,,,,,,
Viet Capital Commercial Joint Stock Bank,Viet Capital Commercial Joint Stock Bank,Viet Capital Commercial Joint Stock Bank,VND,6.0 % per annum,Collateral under the Collateral contracts,Supplement working capital for production and business activities,,"28,424,000,000",,,,,,
- Military Commercial Joint Stock Bank,- Military Commercial Joint Stock Bank,- Military Commercial Joint Stock Bank,VND,According to each debt acknowledgment instrument,Collateral under the Collateral contracts,"Payment of reasonable and valid investment expenditures of projects at member companies, including projects for new planting, replanting and cultivation of rubber plantations. Supplement working capital for production and business activities and medium-term funding to implement medium- and long-term investment plans.",,"15,886,482,401",,,,,,
- Joint Stock Commercial Bank for Investment and Development of Vietnam,- Joint Stock Commercial Bank for Investment and Development of Vietnam,- Joint Stock Commercial Bank for Investment and Development of Vietnam,VND,From 7.3% per annum to 8.2% per annum,Factory assets and land use rights under Certificate No. B681959 issued by the People's Committee of Quang Nam Province on 10/02/2015,Investment in the Hiep Duc Rubber Processing Plant Serving the establishment of the rubber tree plantation,,"8,574,000,000",,,,,,
