row_label_raw,row_label_full,col_0,Sản xuất và kinh doanh mủ cao su,Sản xuất và kinh doanh các sản phẩm từ cao su,Chế biển gỗ,"Xây dựng, bất động sản, cơ sở hạ tầng","Dịch vụ du lịch, nhà hàng, khách sạn",Kinh doanh điện năng,Hoạt động kinh doanh khác,Điều chính và loại trừ,31/12/2025,numeric__Sản xuất và kinh doanh mủ cao su,numeric__Sản xuất và kinh doanh các sản phẩm từ cao su,numeric__Chế biển gỗ,"numeric__Xây dựng, bất động sản, cơ sở hạ tầng","numeric__Dịch vụ du lịch, nhà hàng, khách sạn",numeric__Kinh doanh điện năng,numeric__Hoạt động kinh doanh khác,numeric__Điều chính và loại trừ,numeric__31/12/2025
,,,VND,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,,
Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,4.247.921.644.816,276.275.000.000,216.274.692.074,5.373.115.538.817,22.276.605.553,116.000.000.000,3.956.211.792.757,-,14.208.075.274.017,4247921644816.0,276275000000.0,216274692074.0,5373115538817.0,22276605553.0,116000000000.0,3956211792757.0,,14208075274017.0
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,180.827.306.619,-,-,-,-,-,361.041.738.099,(534.120.795.718),7.748.249.000,180827306619.0,,,,,,361041738099.0,-534120795718.0,7748249000.0
Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,539.711.156.632,28.720.075.161,5.423.894.469,1.410.514.035,-,1.085.455.111,7.530.265.020,-,583.881.360.428,539711156632.0,28720075161.0,5423894469.0,1410514035.0,,1085455111.0,7530265020.0,,583881360428.0
Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,430.936.712.409,2.025.927.420,3.957.833.516,82.530.597.215,358.578.698,829.549.643,179.283.028.734,-,699.922.227.635,430936712409.0,2025927420.0,3957833516.0,82530597215.0,358578698.0,829549643.0,179283028734.0,,699922227635.0
Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,60.035.004.653,-,-,-,-,-,727.148.754.287,(23.175.058.857),764.008.700.083,60035004653.0,,,,,,727148754287.0,-23175058857.0,764008700083.0
Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,"14,680.361.013.437",7.968.614.611,9.167.344.000,929.335.891.468,-,68.814.628.119,36.089.869.897.898,(49.142.599.414.261),2.642.917.975.272,14.680361013437,7968614611.0,9167344000.0,929335891468.0,,68814628119.0,36089869897898.0,-49142599414261.0,2642917975272.0
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,12.865.459.410,-,-,-,-,-,-,287.466.344.757,300.331.804.167,12865459410.0,,,,,,,287466344757.0,300331804167.0
