row_label_raw,row_label_full,No.,Name of Company,Place of establishment,Rate of interest,Principal activities,numeric__Name of Company,numeric__Place of establishment,numeric__Rate of interest,numeric__Principal activities
1,1,1,Thong Nhat JSC,"Bau Xeo Industrial Park, Trang Bom commune, Dong Nai province",36.07%,Investment in construction and business of industrial park infrastructure; trading in electricity and clean water; wastewater treatment services,,,36.07,
2,2,2,Joint Venture Company (Visorutex),"No. 08 Tran Quy Khoach street, Tan Dinh ward, Ho Chi Minh City",27.57%,"Planting, exploiting, processing and exporting rubber",,,27.57,
3,3,3,Binh Phuoc Infrastructure Construction Investment JSC,"Hoa Vinh hamlet, Chon Thanh commune, Dong Nai province",29.17%,Manufacturing construction materials from clay; construction of various types of houses; Construction of railway and road works; General wholesale trading,,,29.17,
4,4,4,VRG Dongwha MDF JSC,"Lot G, Minh Hung III Industrial Park, Minh Hung ward, Dong Nai province",49.00%,"Afforestation, exploitation and processing of wood and raw materials; Production and trading of artificial MDF wood and chemicals for the wood industry",,,49.0,
5,5,5,VRG Long Thanh Investment and Development JSC,"Lot E, Loc An - Binh Son Industrial Park, Long Thanh commune, Dong Nai province",31.00%,Infrastructure business,,,31.0,
6,6,6,Ho Chi Minh City Rubber JSC,"No. 636 Vo Van Kiet street, Cho Quan ward, Ho Chi Minh City",27.14%,"Land reclamation, new planting, tending, exploitation, processing and trading of rubber products; Production, trading and processing of agricultural and forestry products for export",,,27.14,
7,7,7,Ben Thanh Rubber JSC,"Lot B3.1, Northwest Cu Chi Industrial Park, Tan An Hoi commune, Ho Chi Minh City",48.27%,"Production and trading of rubber products; conveyor belts, rubber sheets, raw rubber and technical rubber products",,,48.27,
8,8,8,Dong Nai Rubber Construction JSC,"Street No. 1, Trung Tam hamlet, Xuan Lap ward, Dong Nai province",41.50%,"Construction of civil, industrial, transportation and irrigation works; Production of construction materials: ready-mixed concrete, hot asphalt concrete, culverts and precast concrete components; Planting, exploitation, processing and trading of agricultural and industrial crops",,,41.5,
9,9,9,Loc Thinh JSC,"Nhon Trach 2 - Loc Khang Industrial Park, Nhon Trach commune, Dong Nai province",32.59%,"Construction of railway and road works; Construction of transportation projects; Real estate business, ownership, use or lease of land use rights; Investment in the construction of industrial park infrastructure",,,32.59,
10,10,10,V.R.G SA DO Rubber Thread JSC,"Lots K5, K6, K7, N9A street, Dau Giay Industrial Park, Dau Giay commune, Dong Nai province",49.06%,Production of synthetic fiber and production of other rubber products,,,49.06,
