row_label_raw,row_label_full,Code,ITEMS,Note,Year 2025,Year 2024,numeric__ITEMS,numeric__Note,numeric__Year 2025,numeric__Year 2024
Code,Code,Code,ITEMS,Note,VND,VND,,,,
01,Code > 01,01,1. Revenue from sales of goods and rendering of services,31,"29,099,643,438,453","26,267,016,732,896",,31.0,,
02,Code > 02,02,2. Revenue deductions,32,"21,587,754,133","25,072,618,051",,32.0,,
10,Code > 10,10,3. Net revenue from sales of goods and rendering of services,33,"29,078,055,684,320","26,241,944,114,845",,33.0,,
11,Code > 11,11,4. Cost of goods sold,34,"20,425,399,038,398","19,276,896,067,715",,34.0,,
20,20,20,5. Gross profit from sales of goods and rendering of services,,"8,652,656,645,922","6,965,048,047,130",,,,
21,20 > 21,21,6. Financial income,35,"1,091,453,680,369","957,207,763,983",,35.0,,
22,20 > 22,22,7. Financial expenses,36,"310,672,333,715","464,998,442,921",,36.0,,
23,23,23,In which: Interest expense,,"240,727,726,843","352,905,202,449",,,,
24,23 > 24,24,8. Share of joint ventures and associates' profit or loss,37,"303,625,809,919","161,885,146,836",,37.0,,
25,23 > 25,25,9. Selling expenses,38,"477,291,621,028","554,280,177,352",,38.0,,
26,23 > 26,26,10. General administrative expenses,39,"3,209,454,785,461","2,325,102,410,148",,39.0,,
30,30,30,11. Net profit from operating activities,,"6,050,317,396,006","4,739,759,927,528",,,,
31,30 > 31,31,12. Other income,40,"1,958,882,211,302","1,378,217,343,266",,40.0,,
32,30 > 32,32,13. Other expenses,41,"901,544,957,868","511,585,831,630",,41.0,,
40,40,40,14. Other profit,,"1,057,337,253,434","866,631,511,636",,,,
50,50,50,15. Total net profit before tax,,"7,107,654,649,440","5,606,391,439,164",,,,
51,50 > 51,51,16. Current corporate income tax expense,42,"1,052,109,584,509","943,200,647,191",,42.0,,
52,52,52,17. Deferred corporate income tax expense,43c,"56,984,169,367","(163,475,234,978)",,,,
60,60,60,18. Profit after corporate income tax,,"5,998,560,895,564","4,826,666,026,951",,,,
61,61,61,19. Profit after tax attributable to owners of the Parent Company,,"5,318,551,565,051","3,988,716,618,482",,,,
62,62,62,20. Profit after tax attributable to non-controlling interest,,"680,009,330,513","837,949,408,469",,,,
70,62 > 70,70,21. Basic earnings per share,44,"1,250",895,,44.0,1.25,895.0
