row_label_raw,row_label_full,STT,Tên Công ty,Nơi thành lập và hoạt động,Tỷ lệ lợi ích,Hoạt động kinh doanh chính,numeric__Tên Công ty,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ lợi ích,numeric__Hoạt động kinh doanh chính
38,38,38,Công ty Cổ phần Quasa Genuco,"D21, Trung tâm Thương mại Đông Nam Á, xã Lao Bảo, tỉnh Quảng Trị","98,99%","Trồng, chăm sóc, khai thác và chế biến cao su và rừng nguyên liệu",,,0.9899,
39,39,39,Công ty TNHH Cổ phần Quasa Genuco,"Bản Vâm Hồng Khẩm, huyện Phine, tỉnh Savannakhet, Lào","98,99%","Trồng, chăm sóc, khai thác và chế biến cao su và rừng nguyên liệu",,,0.9899,
40,40,40,Công ty Cổ phần Thương mại Dịch vụ và Du lịch Cao su,"Đại lộ Hoà Bình, phường Móng Cái, tỉnh Quảng Ninh","96,49%","Kinh doanh xuất nhập khẩu cao su và các loại nông, lâm, thuỷ hải sản; thực hiện các dự án xây dựng khách sạn và khu du lịch; kinh doanh dịch vụ lữ hành quốc tế và nội địa",,,0.9649,
41,41,41,Công ty Cổ phần Khu Công nghiệp Nam Tân Uyên,"Phường Tân Hiệp, thành phố Hồ Chí Minh","42,30%","Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê",,,0.423,
42,42,42,Công ty Cổ phần Chế biến Gỗ Thuận An,"Đại lộ Bình Dương, phường Thuận Giao, thành phố Hồ Chí Minh","63,15%","Sản xuất sản phẩm khác từ gỗ; sản xuất sản phẩm từ tre, nứa, rom, rạ và vật liệu tốt bên; Mua bán mù cao su",,,0.6315,
43,43,43,Công ty Cổ phần Gỗ Dầu Tiếng,"Khu phố 3, xã Dầu Tiếng, thành phố Hồ Chí Minh","61,00%","Khai thác, chế biến gỗ, sản xuất các mặt hàng: tủ, bàn ghế, giường ngủ, mặt hàng gia dụng, các sản phẩm trang trí nội thất",,,0.61,
44,44,44,Công ty Cổ phần Du lịch Thương mại Khách sạn Hưng Yên,"611 Phan Đình Phùng, phường Đắk Cẩm, tỉnh Quảng Ngãi","98,41%","Du lịch, dịch vụ, đào tạo, sát hạch lái xe",,,0.9841,
45,45,45,Công ty Cổ phần Cơ khí Cao su,"12 Đường HT25, Khu phố 2, phường Tân Thới Hiệp, thành phố Hồ Chí Minh","92,05%","Chuyên sản xuất, chế tạo máy sơ chế mù cao su",,,0.9205,
46,46,46,Công ty Cổ phần Cao su Đồng Phú,"Xã Thuận Lợi, tỉnh Đồng Nai","55,24%","Trồng trọt, chế biến nông sản, lâm sản; Chăn nuôi gia súc, gia cầm; Công nghiệp hóa chất phân bón và cao su",,,0.5524,
47,47,47,Công ty Cổ phần Cao su Tây Ninh,"Quốc lộ 22B, xã Phước Thạnh, tỉnh Tây Ninh","60,00%","Trồng, chăm sóc, khai thác, chế biến và tiêu thụ cao su thiên nhiên",,,0.6,
48,48,48,Công ty Cổ phần Cao su Sơn La,"Tổ 11, phường Tô Hiệu, tỉnh Sơn La","99,36%","Trồng, chăm sóc, khai thác và chế biến mù cao su",,,0.9936,
49,49,49,Công ty Cổ phần Cao su Điện Biên,"Đội 19, xã Thanh Nưa, tỉnh Điện Biên","100,00%","Trồng cây cao su và sơ chế mù Cao su; Dịch vụ hỗ trợ trồng mới cây Cao su; Trồng rừng, chế biến gỗ, chăn nuôi gia súc; Đại lý mua bán, phân phối cây giống, phân bón, các sản phẩm Cao su",,,1.0,
50,50,50,Công ty Cổ phần Cao su Lai Châu,"Tổ 5, phường Đoàn Kết, tỉnh Lai Châu","98,32%",Trồng cây cao su và sơ chế mù cao su; Dịch vụ hỗ trợ trồng mới tiêu diễn; Trồng rừng; Đại lý bón phân; Kinh doanh xuất nhập khẩu,,,0.9832,
