row_label_raw,row_label_full,No.,Location of the leased land,Lease purpose,Area (m2),Method of lease payment,numeric__Location of the leased land,numeric__Lease purpose,numeric__Area (m2),numeric__Method of lease payment
8,8,8,Ha Tinh Province,Production and trading of natural rubber latex,"5,606,500.00",Exempted from land rental in accordance with regulations.,,,,
8,8,8,Ha Tinh Province,Production and trading of natural rubber latex,"117,097,221.80",Annual payment of land rental until the contract expiry date.,,,,
8,8,8,Ha Tinh Province,Natural forest land and land for cultivation of crops other than rubber,"6,787,200.00",Exempted from land rental in accordance with regulations.,,,,
8,8,8,Ha Tinh Province,Natural forest land and land for cultivation of crops other than rubber,"25,824,600.00",Annual payment of land rental until the contract expiry date.,,,,
8,8,8,Ha Tinh Province,Natural forest land and land for cultivation of crops other than rubber,"16,778,700.00",Land allocated by the State without land use fee,,,,
8,8,8,Ha Tinh Province,Land pending return to the local authority,"27,747,700.00",Land pending return to the local authority,,,,
9,8 > 9,9,Lam Dong Province,"Tourism, restaurant, hotel and hospital services","1,404.00",Annual payment of land rental until the contract expiry date.,,,1.404,
9,8 > 9,9,Lam Dong Province,Electricity trading,"662,600.00",Exempted from land rental in accordance with regulations.,,,662.6,
9,9,9,Lam Dong Province,Production and trading of natural rubber latex,"36,020,866.00",Annual payment of land rental until the contract expiry date.,,,,
10,10,10,Da Nang Province,Production and trading of natural rubber latex,"48,994,030.88",Annual payment of land rental until the contract expiry date.,,,,
11,10 > 11,11,Quang Ngai Province,Wood processing,"42,474.00",Annual payment of land rental until the contract expiry date.,,,42.474,
11,10 > 11,11,Quang Ngai Province,"Tourism, restaurant, hotel and hospital services","30,000.00",Annual payment of land rental until the contract expiry date.,,,30.0,
11,11,11,Quang Ngai Province,Production and trading of natural rubber latex,"147,269,091.80",Annual payment of land rental until the contract expiry date.,,,,
12,12,12,Quang Tri Province,Production and trading of natural rubber latex,"44,796,794.00",Annual payment of land rental until the contract expiry date.,,,,
12,12 > 12,12,Quang Tri Province,"Construction, real estate and infrastructure","177,846.00",Exempted from land rental in accordance with regulations.,,,177.846,
12,12 > 12,12,Quang Tri Province,"Construction, real estate and infrastructure","361,136.00",Annual payment of land rental until the contract expiry date.,,,361.136,
13,13,13,Lao Cai Province,Production and trading of natural rubber latex,"33,509,000.00",Exempted from land rental in accordance with regulations.,,,,
14,14,14,Lai Chau Province,Production and trading of natural rubber latex,"57,654,200.00",Exempted from land rental in accordance with regulations.,,,,
15,15,15,Son La Province,Production and trading of natural rubber latex,"20,646,212.40",Annual payment of land rental until the contract expiry date.,,,,
16,15 > 16,16,Dien Bien Province,Production and trading of natural rubber latex,"25,000.00",Exempted from land rental in accordance with regulations.,,,25.0,
16,15 > 16,16,Dien Bien Province,Production and trading of natural rubber latex,"300,007.00",Annual payment of land rental until the contract expiry date.,,,300.007,
17,17,17,Kingdom of Cambodia,Production and trading of natural rubber latex,"774,643,500.00",Annual payment of land rental until the contract expiry date.,,,,
18,18,18,Lao People's Democratic Republic,Production and trading of natural rubber latex,"77,917,135.00",Annual payment of land rental until the contract expiry date.,,,,
