row_label_raw,row_label_full,No.,Name of Company,Place of establishment,Rate of interest,Principal activities,numeric__Name of Company,numeric__Place of establishment,numeric__Rate of interest,numeric__Principal activities
88,88,88,Phuoc Hoa - Kampongthom Rubber Development JSC,"Boeung Lavea commune, Santuk district, Kampong Thom province, Kingdom of Cambodia",66.62%,"Planting, tending, exploiting and processing rubber latex",,,66.62,
89,89,89,Bac Dong Phu Industrial Park Corporation,"Bau Ke quarter, Dong Phu commune, Dong Nai province",45.10%,"Real estate business, ownership, use, or lease of land rights; Planting rubber trees; Construction of various types of houses",,,45.1,
90,90,90,Binh Long Rubber Industrial park Corporation,"Hamlet 3A, Minh Hung ward, Dong Nai province",57.09%,"Real estate business, ownership, use, or lease of land rights; Afforestation and forest care; construction of other civil engineering works",,,57.09,
91,91,91,Yen Bai Rubber JSC,"Hamlet 2, Van Phu ward, Lao Cai province",99.79%,Planting rubber trees and preliminary processing of rubber latex,,,99.79,
92,92,92,Dau Tieng - Lao Cai Rubber JSC,"No. 186 Hoang Lien street, Lao Cai ward, Lao Cai province",89.54%,"Planting, tending, exploiting and processing rubber latex",,,89.54,
93,93,93,Krong Buk - Ratanakiri Rubber JSC,"Krong Nang commune, Dak Lak province",100.00%,"Investment, tending, processing and consumption of rubber; investment in infrastructure construction, civil construction; Trading, importing and exporting rubber",,,100.0,
94,94,94,"Krong Buk Ratanakiri Rubber Development Co., Ltd","Talav Commune, Andoung Meas District, Ratanakiri Province, Kingdom of Cambodia",100.00%,"Planting, tending, exploiting and processing rubber latex",,,100.0,
95,95,95,Chu Prong - Stungtreng Rubber JSC,"Chu Prong commune, Gia Lai province",99.86%,"Planting, tending, exploiting and processing rubber latex",,,99.86,
96,96,96,Chu Prong K Rubber Company Limited,"No. 92 Norodom, Daun Penh District, Phnom Penh, Kingdom of Cambodia",99.86%,"Planting, tending, exploiting and processing rubber latex",,,99.86,
97,97,97,Binh Phuoc Kratie 1 Rubber Company Limited,"Kaev Seima District, Mondulkiri Province, Kingdom of Cambodia",99.86%,"Planting, tending, exploiting and processing rubber latex",,,99.86,
98,98,98,Dau Tieng Kratie Rubber JSC,"No. 33, Cluster 26, Dau Tieng commune, Ho Chi Minh City",95.00%,Trading of natural rubber latex,,,95.0,
99,99,99,"Dau Tieng Kratie Rubber Development Co., Ltd","Chlong District, Kratie Province, Kingdom of Cambodia",95.00%,"Planting, tending, exploiting and processing rubber latex",,,95.0,
100,100,100,Dau Tieng Cambodia Rubber JSC,"Quarter 2, Dau Tieng commune, Ho Chi Minh City",97.99%,Trading of natural rubber latex,,,97.99,
101,101,101,"Dau Tieng Cambodia Rubber Development Co., Ltd","Snoul District, Kratie Province, Kingdom of Cambodia",97.99%,"Planting, tending, exploiting and processing rubber latex",,,97.99,
