row_label_raw,row_label_full,col_0,Year 2025,Year 2024,numeric__Year 2025,numeric__Year 2024
,,,VND,VND,,
Revenue from rubber latex production and trading,Revenue from rubber latex production and trading,Revenue from rubber latex production and trading,"23,464,814,133,596","20,380,976,879,748",,
Revenue from rubber products production and trading,Revenue from rubber products production and trading,Revenue from rubber products production and trading,"479,768,157,181","820,050,999,272",,
Revenue from wood processing,Revenue from wood processing,Revenue from wood processing,"2,452,837,525,320","2,087,073,224,244",,
Revenue from real estate and infrastructure business,Revenue from real estate and infrastructure business,Revenue from real estate and infrastructure business,"1,152,800,840,987","741,714,023,713",,
Revenue from infrastructure maintenance services at the Industrial Park,Revenue from infrastructure maintenance services at the Industrial Park,Revenue from infrastructure maintenance services at the Industrial Park,"55,084,543,378","44,909,631,009",,
Revenue from utilities services trading,Revenue from utilities services trading,Revenue from utilities services trading,"108,241,608,818","78,176,443,181",,
"Revenue from tourism, restaurant, and hotel services","Revenue from tourism, restaurant, and hotel services","Revenue from tourism, restaurant, and hotel services","500,000,000","500,000,000",,
Revenue from electricity trading,Revenue from electricity trading,Revenue from electricity trading,"602,493,249,364","552,247,204,380",,
Other revenue from sales of goods and rendering of services,Other revenue from sales of goods and rendering of services,Other revenue from sales of goods and rendering of services,"783,103,379,809","1,561,368,327,349",,
,,,"29,099,643,438,453","26,267,016,732,896",,
In which: Revenue from sales of goods and rendering of services,In which: Revenue from sales of goods and rendering of services,In which: Revenue from sales of goods and rendering of services,"108,035,211,768","126,532,059,377",,
