row_label_raw,row_label_full,a) Other short-term receivables,31/12/2025,01/01/2025,numeric__31/12/2025,numeric__01/01/2025
a) Other short-term receivables,a) Other short-term receivables,a) Other short-term receivables,VND,VND,,
- Lending interest receivables,- Lending interest receivables,- Lending interest receivables,"1,655,399,709","1,655,399,709",,
- Accrued interest on deposits,- Accrued interest on deposits,- Accrued interest on deposits,"245,193,339,440","281,258,935,137",,
- Receivables from overdue payments,- Receivables from overdue payments,- Receivables from overdue payments,-,"3,337,721,442",,
- Advances,- Advances,- Advances,"108,432,536,502","105,035,036,847",,
- Mortgages,- Mortgages,- Mortgages,"51,706,789,075","35,728,016,878",,
- Dividends and profits receivable,- Dividends and profits receivable,- Dividends and profits receivable,"23,400,379,655","8,737,937,251",,
- Receivables from employees,- Receivables from employees,- Receivables from employees,"4,352,786,874","26,739,108,046",,
- Receivables from insurances,- Receivables from insurances,- Receivables from insurances,"13,974,856,267","9,709,808,491",,
- Receivables for allocated funds,- Receivables for allocated funds,- Receivables for allocated funds,"6,284,602,588","2,344,080",,
- Receivables from capital contributions to business cooperation,- Receivables from capital contributions to business cooperation,- Receivables from capital contributions to business cooperation,"32,854,029,483","32,932,686,383",,
"- Receivables under decisions of inspection, audit and state regulatory authorities","- Receivables under decisions of inspection, audit and state regulatory authorities","- Receivables under decisions of inspection, audit and state regulatory authorities","335,349,085","335,349,085",,
- Others,- Others,- Others,"448,153,062,888","410,873,217,008",,
