row_label_raw,row_label_full,STT,Tên Công ty,Nơi thành lập và hoạt động,Tỷ lệ lợi ích,Hoạt động kinh doanh chính,numeric__Tên Công ty,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ lợi ích,numeric__Hoạt động kinh doanh chính
1,1,1,Công ty TNHH MTV Tổng Công ty Cao su Đồng Nai,"47 đường số 1, tổ 3, khu phố Trung Tâm, phường Xuân Lập, tỉnh Đồng Nai","100,00%","Trồng, khai thác, chế biến và kinh doanh mù cao su thiên nhiên",,,1.0,
2,2,2,Công ty TNHH MTV Cao su Bình Long,"Quốc lộ 13, phường Chơn Thành, tỉnh Đồng Nai","100,00%","Trồng, khai thác, chế biến, thương nghiệp buôn bán mù và các dịch vụ cho việc phát triển cao su",,,1.0,
3,3,3,Công ty TNHH MTV Cao su Dầu Tiếng,"Xã Dầu Tiếng, thành phố Hồ Chí Minh","100,00%","Trồng, chăm sóc và khai thác cao su thiên nhiên. Trồng rừng, khai thác, chế biến các loại cây lâm nghiệp, công nghiệp và nông nghiệp",,,1.0,
4,4,4,Công ty TNHH MTV Cao su Lộc Ninh,"Xã Lộc Ninh, tỉnh Đồng Nai","100,00%","Trồng, chăm sóc, khai thác, chế biến và tiêu thụ sản phẩm cao su. Trồng, chăm sóc rừng, khai thác lâm sản",,,1.0,
5,5,5,Công ty TNHH MTV Cao su Phú Riềng,"Xã Phú Riềng, tỉnh Đồng Nai","100,00%","Trồng, chăm sóc, khai thác, chế biến và kinh doanh xuất nhập khẩu cao su",,,1.0,
6,6,6,Công ty TNHH MTV Cao su Krong Buk,"XãKrông Năng, tỉnh Đắk Lắk","100,00%","Trồng cây cao su, cà phê, cây nông nghiệp ngắn ngày. Mua bán, xuất nhập khẩu: cao su, vật tư, thiết bị ngành cao su; cà phê, nông sản, thực phẩm",,,1.0,
7,7,7,Công ty TNHH MTV Cao su Ea H'Leo,"499 Giải Phống, xã Ea Đăng, tỉnh Đắk Lắk","100,00%","Trồng, chăm sóc, khai thác, chế biến và kinh doanh mù cao su thiên nhiên",,,1.0,
8,8,8,Công ty TNHH MTV Cao su Chư Prông,"Xã Chư Prông, tỉnh Gia Lai","100,00%","Trồng, khai thác, chế biến và tiêu thụ cao su, cà phê. Sản xuất và chế biến gỗ. Công nghiệp hóa chất, phân bón và cao su. Khai thác và chế biến khoáng sản. Thương nghiệp bán buôn",,,1.0,
9,9,9,Công ty TNHH MTV Cao su Chư Sê,"420 Hùng Vương, xã Chư Sê, tỉnh Gia Lai","100,00%",Trồng trọt. Công nghiệp hoá chất phân bón và cao su. Thương nghiệp bán buôn. Khai hoang xây dựng vườn cây,,,1.0,
10,10,10,Công ty TNHH MTV Cao su Kon Tum,"639 Phan Đình Phùng, phường Đắk Cẩm, tỉnh Quảng Ngãi","100,00%","Trồng mới, khai thác, chăm sóc và chế biến mù cao su",,,1.0,
11,11,11,Công ty TNHH MTV Cao su Mang Yang,"536 Nguyễn Huệ, xã Đắk Doa, tỉnh Gia Lai","100,00%","Bán buôn cao su. Trồng trọt, chăn nuôi hỗn hợp, trồng cây cao su. Sản xuất phân bón và hợp chất ni to. Bán buôn phân bón, thuốc trừ sâu và hóa chất khác sử dụng trong nông nghiệp",,,1.0,
