row_label_raw,row_label_full,col_0,Vốn đầu tư của Chủ sở hữu,Thắng dư vốn cổ phần,Vốn khác của Chủ sở hữu,Cổ phiếu quỹ,Chếnh lệch dành giá lại tài sản,Chếnh lệch tỷ giá hồi doài,Quỹ đầu tư phát triển,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận chưa phần phối,Lợi ích cổ đông không kiểm soát,Cộng,numeric__Vốn đầu tư của Chủ sở hữu,numeric__Thắng dư vốn cổ phần,numeric__Vốn khác của Chủ sở hữu,numeric__Cổ phiếu quỹ,numeric__Chếnh lệch dành giá lại tài sản,numeric__Chếnh lệch tỷ giá hồi doài,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Lợi nhuận chưa phần phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,,,,
Số dư tại ngày 01/01/2024,Số dư tại ngày 01/01/2024,Số dư tại ngày 01/01/2024,40.000.000.000.000,325.832.755.422,10.591.031.002,(959.534.010),(1.574.186.166.105),460.661.081.422,5.408.494.473.494,252.909.421,5.187.395.112.272,5.118.216.066.711,54.936.297.729.629,40000000000000.0,325832755422.0,10591031002.0,-959534010.0,-1574186166105.0,460661081422.0,5408494473494.0,252909421.0,5187395112272.0,5118216066711.0,54936297729629.0
Tăng vốn trong năm,Tăng vốn trong năm,Tăng vốn trong năm,-,-,-,-,-,-,-,-,-,63.500.000,63.500.000,,,,,,,,,,63500000.0,63500000.0
Lãi trong năm 2024,Lãi trong năm 2024,Lãi trong năm 2024,-,-,-,-,-,-,-,-,3.999.930.886.300,838.109.473.440,4.838.040.359.740,,,,,,,,,3999930886300.0,838109473440.0,4838040359740.0
Phân phối lợi nhuận năm trước,Phân phối lợi nhuận năm trước,Phân phối lợi nhuận năm trước,-,-,-,-,-,-,480.182.306.257,-,(2.100.985.801.301),(414.752.555.963),(2.035.556.051.007),,,,,,,480182306257.0,,-2100985801301.0,-414752555963.0,-2035556051007.0
- Trích Quỹ đầu tư phát triển,- Trích Quỹ đầu tư phát triển,- Trích Quỹ đầu tư phát triển,-,-,-,-,-,-,480.182.306.257,-,(480.182.306.257),-,-,,,,,,,480182306257.0,,-480182306257.0,,
"- Trích Quỹ khhen thưởng, phúc lợi và Quỹ khhen thưởng ban điều hành","- Trích Quỹ khhen thưởng, phúc lợi và Quỹ khhen thưởng ban điều hành","- Trích Quỹ khhen thưởng, phúc lợi và Quỹ khhen thưởng ban điều hành",-,-,-,-,-,-,-,-,(420.803.495.044),(42.029.663.637),(462.833.158.681),,,,,,,,,-420803495044.0,-42029663637.0,-462833158681.0
- Chỉ trả Cổ tức,- Chỉ trả Cổ tức,- Chỉ trả Cổ tức,-,-,-,-,-,-,-,-,(1.200.000.000.000),(372.722.892.326),(1.572.722.892.326),,,,,,,,,-1200000000000.0,-372722892326.0,-1572722892326.0
Tam phần phối lợi nhuận năm nay,Tam phần phối lợi nhuận năm nay,Tam phần phối lợi nhuận năm nay,-,-,-,-,-,-,692.361.268.199,-,(1.102.725.352.876),(31.825.421.561),(442.189.506.238),,,,,,,692361268199.0,,-1102725352876.0,-31825421561.0,-442189506238.0
- Trích Quỹ đầu tư phát triển,- Trích Quỹ đầu tư phát triển,- Trích Quỹ đầu tư phát triển,-,-,-,-,-,-,692.361.268.199,-,(692.361.268.199),-,-,,,,,,,692361268199.0,,-692361268199.0,,
"- Trích Quỹ khhen thưởng, phúc lợi và Quỹ khen thưởng ban điều hành","- Trích Quỹ khhen thưởng, phúc lợi và Quỹ khen thưởng ban điều hành","- Trích Quỹ khhen thưởng, phúc lợi và Quỹ khen thưởng ban điều hành",-,-,-,-,-,-,-,-,(410.364.084.677),(14.454.454.946),(424.818.339.623),,,,,,,,,-410364084677.0,-14454454946.0,-424818339623.0
- Chỉ trả Cổ tức,- Chỉ trả Cổ tức,- Chỉ trả Cổ tức,-,-,-,-,-,-,-,-,-,(17.370.966.615),(17.370.966.615),,,,,,,,,,-17370966615.0,-17370966615.0
Lợi nhuận phải trả về hợp tác kinh doanh,Lợi nhuận phải trả về hợp tác kinh doanh,Lợi nhuận phải trả về hợp tác kinh doanh,-,-,-,-,-,-,-,-,(25.626.329.444),-,(25.626.329.444),,,,,,,,,-25626329444.0,,-25626329444.0
Điều chỉnh khác,Điều chỉnh khác,Điều chỉnh khác,-,-,-,-,-,8.728.514.561,(3.431.164.818),-,282.550.040.115,(94.736.530.185),193.110.859.673,,,,,,8728514561.0,-3431164818.0,,282550040115.0,-94736530185.0,193110859673.0
Chếnh lệch do they đổi tỷ giá khí chuyễn đổi BCTC,Chếnh lệch do they đổi tỷ giá khí chuyễn đổi BCTC,Chếnh lệch do they đổi tỷ giá khí chuyễn đổi BCTC,-,-,-,-,-,879.564.418.703,-,-,-,-,879.564.418.703,,,,,,879564418703.0,,,,,879564418703.0
Số dư tại ngày 31/12/2024,Số dư tại ngày 31/12/2024,Số dư tại ngày 31/12/2024,40.000.000.000.000,325.832.755.422,10.591.031.002,(959.534.010),(1.574.186.166.105),1.348.954.014.686,6.577.606.883.132,252.909.421,6.240.538.555.066,5.415.074.532.442,58.343.704.981.056,40000000000000.0,325832755422.0,10591031002.0,-959534010.0,-1574186166105.0,1348954014686.0,6577606883132.0,252909421.0,6240538555066.0,5415074532442.0,58343704981056.0
