row_label_raw,row_label_full,col_0,Vốn đầu tư của Chủ sở hữu,Thắng dư vốn cổ phần,Vốn khác của Chủ sở hữu,Cổ phiếu quỹ,Chính lệch đánh giá lại tài sản,Chính lệch tỷ giá hồi doài,Quỹ đầu tư phát triển,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận chơn phân phối,Lợi ích oã đồng không kiểm soát,Cộng,numeric__Vốn đầu tư của Chủ sở hữu,numeric__Thắng dư vốn cổ phần,numeric__Vốn khác của Chủ sở hữu,numeric__Cổ phiếu quỹ,numeric__Chính lệch đánh giá lại tài sản,numeric__Chính lệch tỷ giá hồi doài,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Lợi nhuận chơn phân phối,numeric__Lợi ích oã đồng không kiểm soát,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,,,,
Số dư tại ngày 01/01/2025,Số dư tại ngày 01/01/2025,Số dư tại ngày 01/01/2025,40.000.000.000.000,325.832.755.422,10.591.031.002,(959.534.010),(1.574.186.166.105),1.348.954.014.686,6.577.606.883.132,252.909.421,6.240.538.555.066,5.415.074.532.442,58.343.704.981.056,40000000000000.0,325832755422.0,10591031002.0,-959534010.0,-1574186166105.0,1348954014686.0,6577606883132.0,252909421.0,6240538555066.0,5415074532442.0,58343704981056.0
Tăng vốn trong năm nay,Tăng vốn trong năm nay,Tăng vốn trong năm nay,-,-,105.383.170.000,-,-,-,(94.378.919.733),-,(11.232.692.156),228.441.889,-,,,105383170000.0,,,,-94378919733.0,,-11232692156.0,228441889.0,
Tài phát hành Cổ phiếu Quỹ,Tài phát hành Cổ phiếu Quỹ,Tài phát hành Cổ phiếu Quỹ,-,-,-,-,-,-,-,-,-,62.343.873.206,62.343.873.206,,,,,,,,,,62343873206.0,62343873206.0
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,-,-,-,-,-,-,-,-,5.318.551.565.051,680.009.330.513,5.998.560.895.564,,,,,,,,,5318551565051.0,680009330513.0,5998560895564.0
Phân phối lợi nhuận năm trước,Phân phối lợi nhuận năm trước,Phân phối lợi nhuận năm trước,-,-,-,-,-,-,1.101.693.604.424,-,(3.311.465.543.776),(474.723.469.595),(2.684.495.408.947),,,,,,,1101693604424.0,,-3311465543776.0,-474723469595.0,-2684495408947.0
- Trích Quỹ đầu tư phát triển,- Trích Quỹ đầu tư phát triển,- Trích Quỹ đầu tư phát triển,-,-,-,-,-,-,1.101.693.604.424,-,(1.101.693.604.424),-,-,,,,,,,1101693604424.0,,-1101693604424.0,,
"- Trích Quỹ khên thưởng, phúc lợi và Quỹ khên thưởng ban điều hành","- Trích Quỹ khên thưởng, phúc lợi và Quỹ khên thưởng ban điều hành","- Trích Quỹ khên thưởng, phúc lợi và Quỹ khên thưởng ban điều hành",-,-,-,-,-,-,-,-,(609.771.939.352),(48.581.557.464),(658.353.496.816),,,,,,,,,-609771939352.0,-48581557464.0,-658353496816.0
- Chỉ trả Cổ tức,- Chỉ trả Cổ tức,- Chỉ trả Cổ tức,-,-,-,-,-,-,-,-,(1.600.000.000.000),(426.141.912.131),(2.026.141.912.131),,,,,,,,,-1600000000000.0,-426141912131.0,-2026141912131.0
Tam phân phối lợi nhuận năm nay,Tam phân phối lợi nhuận năm nay,Tam phân phối lợi nhuận năm nay,-,-,-,-,-,-,1.181.616.441.456,-,(1.499.342.897.299),(24.125.882.226),(341.852.338.069),,,,,,,1181616441456.0,,-1499342897299.0,-24125882226.0,-341852338069.0
- Trích Quỹ đầu tư phát triển,- Trích Quỹ đầu tư phát triển,- Trích Quỹ đầu tư phát triển,-,-,-,-,-,-,1.181.616.441.456,-,(1.181.616.441.456),-,-,,,,,,,1181616441456.0,,-1181616441456.0,,
"- Trích Quỹ khên thưởng, phúc lợi và Quỹ khên thưởng ban điều hành","- Trích Quỹ khên thưởng, phúc lợi và Quỹ khên thưởng ban điều hành","- Trích Quỹ khên thưởng, phúc lợi và Quỹ khên thưởng ban điều hành",-,-,-,-,-,-,-,-,(317.726.455.843),(13.865.882.226),(331.592.338.069),,,,,,,,,-317726455843.0,-13865882226.0,-331592338069.0
- Chỉ trả Cổ tức,- Chỉ trả Cổ tức,- Chỉ trả Cổ tức,-,-,-,-,-,-,-,-,-,(10.260.000.000),(10.260.000.000),,,,,,,,,,-10260000000.0,-10260000000.0
Lợi nhuận phải trả về hợp tác kinh doanh,Lợi nhuận phải trả về hợp tác kinh doanh,Lợi nhuận phải trả về hợp tác kinh doanh,-,-,-,-,-,-,-,-,(20.306.226.224),-,(20.306.226.224),,,,,,,,,-20306226224.0,,-20306226224.0
Giám do mild quyền kiểm soát trong năm,Giám do mild quyền kiểm soát trong năm,Giám do mild quyền kiểm soát trong năm,-,-,-,-,-,-,-,-,1.670.073.099,(2.095.791.104),(425.718.005),,,,,,,,,1670073099.0,-2095791104.0,-425718005.0
Điều chỉnh khác,Điều chỉnh khác,Điều chỉnh khác,-,(139.817.952.632),(889.862.128),959.534.010,(2.028.561.253),(60.605.642.419),(89.572.106.356),-,401.023.180.273,42.300.612.242,151.369.201.737,,-139817952632.0,-889862128.0,959534010.0,-2028561253.0,-60605642419.0,-89572106356.0,,401023180273.0,42300612242.0,151369201737.0
Phân loại lại các chỉ tiêu,Phân loại lại các chỉ tiêu,Phân loại lại các chỉ tiêu,-,(172.308.382.046),286.261.885.922,-,-,(199.092.077.051),(95.044.668.784),(252.909.421),34.611.006.640,145.825.144.740,-,,-172308382046.0,286261885922.0,,,-199092077051.0,-95044668784.0,-252909421.0,34611006640.0,145825144740.0,
Chính lệch do thay đổi tỷ giá khí chuyên đế BCTC,Chính lệch do thay đổi tỷ giá khí chuyên đế BCTC,Chính lệch do thay đổi tỷ giá khí chuyên đế BCTC,-,-,-,-,-,644.807.251.978,-,-,-,-,644.807.251.978,,,,,,644807251978.0,,,,,644807251978.0
Số dư tại ngày 31/12/2025,Số dư tại ngày 31/12/2025,Số dư tại ngày 31/12/2025,40.000.000.000.000,13.706.420.744,401.346.224.796,-,(1.576.214.727.358),1.734.063.547.194,8.581.921.234.139,-,7.154.047.020.674,5.844.836.792.107,62.153.706.512.296,40000000000000.0,13706420744.0,401346224796.0,,-1576214727358.0,1734063547194.0,8581921234139.0,,7154047020674.0,5844836792107.0,62153706512296.0
