row_label_raw,row_label_full,STT,Tên Công ty,Nơi thành lập và hoạt động,Tỷ lệ lợi ích,Hoạt động kinh doanh chính,numeric__Tên Công ty,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ lợi ích,numeric__Hoạt động kinh doanh chính
88,88,88,Công ty TNHH Phát triển Cao su Phước Hòa Kampong Thom,"Xã Boeung Lavea, huyện Santuk, tỉnh Kampong Thom, Vương quốc Campuchia","66,62%","Trồng, chăm sóc, khai thác và chế biến mũ cao su",,,0.6662,
89,89,89,Công ty Cổ phần Khu Công nghiệp Bắc Đồng Phú,"Khu phố Bầu Ké, xã Đồng Phú, tỉnh Đồng Nai","45,10%","Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê; Trồng cây cao su; Xây dựng nhà các loại",,,0.451,
90,90,90,Công ty Cổ phần Khu Công nghiệp Cao su Bình Long,"Âp 3A, phường Minh Hưng, tỉnh Đồng Nai","57,09%","Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê; Trồng rừng và chăm sóc rừng; Xây dựng công trình kỹ thuật dân dụng khác",,,0.5709000000000001,
91,91,91,Công ty Cổ phần Cao su Yên Bái,"Thôn 2, phường Văn Phú, Tỉnh Lào Cai","99,79%",Trồng cây cao su và sơ chế mũ cao su,,,0.9979,
92,92,92,Công ty Cổ phần Cao su Dầu Tiếng Lào Cai,"186 Hoàng Liên, phường Lào Cai, tỉnh Lào Cai","89,54%","Trồng, chăm sóc, khai thác và chế biến mũ cao su",,,0.8954000000000001,
93,93,93,Công ty Cổ phần Cao su Krông Buk Ratanakiri,"Xã Krông Năng, tỉnh Đắk Lắk","100,00%","Đầu tư, chăm sóc, chế biến, tiêu thụ cao su; Đầu tư xây dựng cơ sở hạ tầng, xây dựng dân dụng; Mua bán xuất nhập khẩu cao su",,,1.0,
94,94,94,Công ty TNHH Phát triển Cao su Krông Buk Ratanakiri,"Xã Talav, huyện Andoung Meas, tỉnh Ratanakiri, Vương quốc Campuchia","100,00%","Trồng, chăm sóc, khai thác và chế biến mũ cao su",,,1.0,
95,95,95,Công ty Cổ phần Cao su Chư Prông Stung Treng,"Xã Chư Prông, tỉnh Gia Lai","99,86%","Trồng, chăm sóc, khai thác và chế biến mũ cao su",,,0.9986,
96,96,96,Công ty TNHH Cao su Chư Prông K,"Số 92 Norodom, quận Daun Penh, Phnôm Pênh, Vương quốc Campuchia","99,86%","Trồng, chăm sóc, khai thác và chế biến mũ cao su",,,0.9986,
97,97,97,Công ty TNHH Cao su Bình Phước Kratie 1,"Huyện Kaev Seima, tỉnh Modul Kiri, Vương quốc Campuchia","99,86%","Trồng, chăm sóc, khai thác và chế biến mũ cao su",,,0.9986,
98,98,98,Công ty Cổ phần Cao su Dầu Tiếng Kratie,"Số 33, Tổ 26, xã Dầu Tiếng, thành phố Hồ Chí Minh","95,00%",Kinh doanh mũ cao su thiên nhiên,,,0.95,
99,99,99,Công ty TNHH Phát triển Cao su Dầu Tiếng Kratie,"Huyện Chlong, tỉnh Kratie, Vương quốc Campuchia.","95,00%","Trồng, chăm sóc, khai thác và chế biến mũ cao su",,,0.95,
100,100,100,Công ty Cổ phần Cao su Dầu Tiếng Campuchia,"Khu phố 2, xã Dầu Tiếng, thành phố Hồ Chí Minh","97,99%",Kinh doanh mũ cao su thiên nhiên,,,0.9799,
101,101,101,Công ty TNHH Phát triển Cao su Dầu Tiếng Campuchia,"Huyện Snoul, tỉnh Kratie, Vương quốc Campuchia.","97,99%","Trồng, chăm sóc, khai thác và chế biến mũ cao su",,,0.9799,
