row_label_raw,row_label_full,Mã số,NGUỐN VỐN,Thuyết minh,31/12/2025 > VND,01/01/2025 > VND,numeric__NGUỐN VỐN,numeric__Thuyết minh,numeric__31/12/2025 > VND,numeric__01/01/2025 > VND
400,400,400,D. VỐN CHỦ SỞ HỮU,,62.201.582.701.022,58.397.162.212.108,,,62201582701022.0,58397162212108.0
410,410,410,I. Vốn chủ sở hữu,27,62.153.706.512.296,58.343.704.981.056,,27.0,62153706512296.0,58343704981056.0
411,411,411,1. Vốn góp của chủ sở hữu,,40.000.000.000.000,40.000.000.000.000,,,40000000000000.0,40000000000000.0
411a,411a,411a,,Cổ phiếu phổ thông có quyền biểu quyết,40.000.000.000.000,40.000.000.000.000,,,40000000000000.0,40000000000000.0
412,412,412,2. Tsiạng dư vốn cổ phần,,13.706.420.744,325.832.755.422,,,13706420744.0,325832755422.0
414,414,414,3. Vốn khác của chủ sở hữu,,401.346.224.796,10.591.031.002,,,401346224796.0,10591031002.0
415,415,415,4. Cổ phiếu quỹ,,-,(959.534.010),,,,-959534010.0
416,416,416,5. Chênh lệch đánh giá lại tài sản,,(1.576.214.727.358),(1.574.186.166.105),,,-1576214727358.0,-1574186166105.0
417,417,417,6. Chênh lệch tỷ giá hối đoái,28,1.734.063.547.194,1.348.954.014.686,,28.0,1734063547194.0,1348954014686.0
418,418,418,7. Quỹ đầu tư phát triển,27e,8.581.921.234.139,6.577.606.883.132,,,8581921234139.0,6577606883132.0
420,420,420,8. Quỹ khác thuộc vốn chủ sở hữu,,-,252.909.421,,,,252909421.0
421,421,421,9. Lợi nhuận sau thuế chưa phân phối,,7.154.047.020.674,6.240.538.555.066,,,7154047020674.0,6240538555066.0
421a,421a,421a,,,3.389.655.975.696,2.251.821.936.584,,,3389655975696.0,2251821936584.0
421b,421b,421b,,,3.764.391.044.978,3.988.716.618.482,,,3764391044978.0,3988716618482.0
429,429,429,10. Lợi ích cổ đông không kiểm soát,,5.844.836.792.107,5.415.074.532.442,,,5844836792107.0,5415074532442.0
430,430,430,II. Nguồn kinh phí và quỹ khác,,47.876.188.726,53.457.231.052,,,47876188726.0,53457231052.0
431,431,431,1. Nguồn kinh phí,29,(30.220.972.859),(33.823.318.791),,29.0,-30220972859.0,-33823318791.0
432,432,432,2. Nguồn kinh phí đã hình thành TSCĐ,,78.097.161.585,87.280.549.843,,,78097161585.0,87280549843.0
440,440,440,TỔNG CỘNG NGUỒN VỐN,,86.282.461.490.860,83.383.682.512.004,,,86282461490860.0,83383682512004.0
