row_label_raw,row_label_full,No.,Name of Company,Place of establishment,Rate of interest,Principal activities,numeric__Name of Company,numeric__Place of establishment,numeric__Rate of interest,numeric__Principal activities
63,63,63,Ha Giang Rubber JSC,"Group 4, Cluster 9, Bac Quang commune, Tuyen Quang province",100.00%,"Planting, tending, exploiting and processing rubber tree latex; Services supporting new planting; Livestock farming; Afforestation and forest care; wood processing; agents for purchasing and collecting rubber latex",,,100.0,
64,64,64,Truong Phat Rubber JSC,"Hamlet 1, Chanh Phu Hoa ward, Ho Chi Minh City",55.09%,Wood processing; trading rubber latex,,,55.09,
65,65,65,Dong Phu Kratie JSC,"Thuan Phu I hamlet, Thuan Loi commune, Dong Nai province",62.20%,Trading of natural rubber latex,,,62.2,
66,66,66,Dong Phu Kratie Rubber Development Co. Ltd,"Kratie district, Kratie province, Kingdom of Cambodia",62.20%,"Planting, tending, exploiting and processing rubber",,,62.2,
67,67,67,Dong Nai Kratie JSC,"Trung Tam hamlet, Xuan Lap ward, Dong Nai province",88.73%,"Planting, exploiting and processing rubber and agricultural crops; production and trading of agricultural supplies",,,88.73,
68,68,68,"Dong Nai Kratie Rubber Development Co., Ltd","Kratie district, Kratie province, Kingdom of Cambodia",88.73%,"Planting, tending, exploiting and processing rubber",,,88.73,
69,69,69,VRG Ngoc Linh Hydropower JSC,"Dak Pek commune, Quang Ngai province",77.46%,"Generation, transmission and distribution of electricity",,,77.46,
70,70,70,Dong Phu Technical Rubber JSC,"Dong Phu commune, Dong Nai province",41.13%,"Processing technical rubber and rubber products for domestic use; Business trading, import and export of rubber, supplies, fertilizers and chemicals",,,41.13,
71,71,71,Bao Lam Rubber JSC,"Bao Lam 5 commune, Lam Dong province",93.83%,"Planting, exploiting and processing natural rubber; management, protection, planting of forests and exploitation and processing of forest products",,,93.83,
72,72,72,An Dien Industry JSC,"Rach Bap Industrial Park, D1 street, Long Nguyen ward, Ho Chi Minh City",92.67%,"Real estate business, ownership, use, or lease of land use rights",,,92.67,
73,73,73,VRG Kien Giang MDF Wood JSC,"Lot M, Street No. 1, Thanh Loc Industrial Park, Thanh Hung commune, An Giang province",99.82%,"Production of plywood, veneer, other laminated wood and other types of wood; Afforestation and forest care",,,99.82,
74,74,74,Phu Thinh Investment Construction Rubber JSC,"Phu Rieng commune, Dong Nai province",87.65%,"Planting, tending, exploiting and processing rubber latex; wood processing",,,87.65,
75,75,75,Tay Ninh Import - Export and Processing Furniture JSC,"Ben Muong hamlet, Thanh Duc commune, Tay Ninh province",50.67%,"Sawing, slicing and planing wood; Wood exploitation; Production of plywood, veneer and other laminated wood products",,,50.67,
