row_label_raw,row_label_full,col_0,Contributed capital,Share premium,Other capital,Treasury shares,Asset revaluation surplus,Foreign exchange difference,Development and investment fund,Other reserves,Retained earnings,Non - Controlling Interest,Total,numeric__Contributed capital,numeric__Share premium,numeric__Other capital,numeric__Treasury shares,numeric__Asset revaluation surplus,numeric__Foreign exchange difference,numeric__Development and investment fund,numeric__Other reserves,numeric__Retained earnings,numeric__Non - Controlling Interest,numeric__Total
,,,VND,VND,VND,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,,,,
Balance as at 01/01/2024,Balance as at 01/01/2024,Balance as at 01/01/2024,"40,000,000,000,000","325,832,755,422","10,591,031,002","(959,534,010)","(1,574,186,166,105)","460,661,081,422","5,408,494,473,494","252,909,421","5,187,395,112,272","5,118,216,066,711","54,936,297,729,629",,,,,,,,,,,
Increase capital in year,Increase capital in year,Increase capital in year,-,-,-,-,-,-,-,-,-,"63,500,000","63,500,000",,,,,,,,,,,
Profit of 2024,Profit of 2024,Profit of 2024,-,-,-,-,-,-,-,-,"3,999,930,886,300","838,109,473,440","4,838,040,359,740",,,,,,,,,,,
Profit distribution of previous years,Profit distribution of previous years,Profit distribution of previous years,-,-,-,-,-,-,"480,182,306,257",-,"(2,100,985,801,301)","(414,752,555,963)","(2,035,556,051,007)",,,,,,,,,,,
- Setting up Development and Investment fund,- Setting up Development and Investment fund,- Setting up Development and Investment fund,-,-,-,-,-,-,"480,182,306,257",-,"(480,182,306,257)",-,-,,,,,,,,,,,
- Setting up Bonus and welfare funds and Bonus for Executive Board,- Setting up Bonus and welfare funds and Bonus for Executive Board,- Setting up Bonus and welfare funds and Bonus for Executive Board,-,-,-,-,-,-,-,-,"(420,803,495,044)","(42,029,663,637)","(462,833,158,681)",,,,,,,,,,,
- Dividend distribution,- Dividend distribution,- Dividend distribution,-,-,-,-,-,-,-,-,"(1,200,000,000,000)","(372,722,892,326)","(1,572,722,892,326)",,,,,,,,,,,
Temporary profit distribution of this year,Temporary profit distribution of this year,Temporary profit distribution of this year,-,-,-,-,-,-,"692,361,268,199",-,"(1,102,725,352,876)","(31,825,421,561)","(442,189,506,238)",,,,,,,,,,,
- Setting up Development and Investment fund,- Setting up Development and Investment fund,- Setting up Development and Investment fund,-,-,-,-,-,-,"692,361,268,199",-,"(692,361,268,199)",-,-,,,,,,,,,,,
- Setting up Bonus and welfare funds and Bonus for Executive Board,- Setting up Bonus and welfare funds and Bonus for Executive Board,- Setting up Bonus and welfare funds and Bonus for Executive Board,-,-,-,-,-,-,-,-,"(410,364,084,677)","(14,454,454,946)","(424,818,539,623)",,,,,,,,,,,
- Dividend distribution,- Dividend distribution,- Dividend distribution,-,-,-,-,-,-,-,-,-,"(17,370,966,615)","(17,370,966,615)",,,,,,,,,,,
Profit payable to business cooperation,Profit payable to business cooperation,Profit payable to business cooperation,-,-,-,-,-,-,-,-,"(25,626,329,444)",-,"(25,626,329,444)",,,,,,,,,,,
Other adjustments,Other adjustments,Other adjustments,-,-,-,-,-,"8,728,514,561","(3,431,164,818)",-,"282,550,040,115","(94,736,530,185)","193,110,859,673",,,,,,,,,,,
Exchange differences arising from the translation of FS,Exchange differences arising from the translation of FS,Exchange differences arising from the translation of FS,-,-,-,-,-,"879,564,418,703",-,-,-,-,"879,564,418,703",,,,,,,,,,,
Balance as at 31/12/2024,Balance as at 31/12/2024,Balance as at 31/12/2024,"40,000,000,000,000","325,832,755,422","10,591,031,002","(959,534,010)","(1,574,186,166,105)","1,348,954,014,686","6,577,606,883,132","252,909,421","6,240,538,555,066","5,415,074,532,442","58,343,704,981,056",,,,,,,,,,,
