row_label_raw,row_label_full,col_0,Số phải thuđầu năm,Số phải nộpđầu năm,Số phải nộptrong năm,Số đã thực nộptrong năm,Chênh lệch dothay đổi tỷ giá khichuyển đổi BCTC,Giám do mấtquyền kiểm soát trong năm,Số phải thucuối năm,Số phải nộpcuối năm,numeric__Số phải thuđầu năm,numeric__Số phải nộpđầu năm,numeric__Số phải nộptrong năm,numeric__Số đã thực nộptrong năm,numeric__Chênh lệch dothay đổi tỷ giá khichuyển đổi BCTC,numeric__Giám do mấtquyền kiểm soát trong năm,numeric__Số phải thucuối năm,numeric__Số phải nộpcuối năm
,,,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,
- Thuế giá trị gia tăng nội địa,- Thuế giá trị gia tăng nội địa,- Thuế giá trị gia tăng nội địa,117.123.489.296,121.708.498.407,761.650.420.989,820.519.669.304,32.462,-,128.309.387.999,74.025.181.257,117123489296.0,121708498407.0,761650420989.0,820519669304.0,32462.0,,128309387999.0,74025181257.0
- Thuế giá trị gia tăng nhập khẩu,- Thuế giá trị gia tăng nhập khẩu,- Thuế giá trị gia tăng nhập khẩu,766.648.595,-,87.834.818.928,87.179.601.027,-,-,111.430.694,-,766648595.0,,87834818928.0,87179601027.0,,,111430694.0,
- Thuế tài nguyên,- Thuế tài nguyên,- Thuế tài nguyên,48.590.886,5.562.634.905,70.117.013.599,66.516.000.862,-,-,31.201.714,9.146.258.470,48590886.0,5562634905.0,70117013599.0,66516000862.0,,,31201714.0,9146258470.0
- Thuế thu nhập doanh nghiệp,- Thuế thu nhập doanh nghiệp,- Thuế thu nhập doanh nghiệp,200.168.199.739,458.042.015.152,1.059.323.862.762,1.231.204.982.393,5.873.861.270,-,312.530.809.650,404.397.366.702,200168199739.0,458042015152.0,1059323862762.0,1231204982393.0,5873861270.0,,312530809650.0,404397366702.0
- Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,17.183.513.390,21.489.671.837,162.830.059.997,155.660.536.245,562.204.278,(354.375),17.012.439.020,29.049.971.122,17183513390.0,21489671837.0,162830059997.0,155660536245.0,562204278.0,-354375.0,17012439020.0,29049971122.0
- Thuế nhà đất và tiền thuê đất,- Thuế nhà đất và tiền thuê đất,- Thuế nhà đất và tiền thuê đất,41.060.342.765,67.148.053.872,609.114.982.372,738.866.320.282,198.898.797,-,214.378.340.651,110.913.612.645,41060342765.0,67148053872.0,609114982372.0,738866320282.0,198898797.0,,214378340651.0,110913612645.0
- Thuế tiêu thụ đặc biệt,- Thuế tiêu thụ đặc biệt,- Thuế tiêu thụ đặc biệt,-,-,30.999.654,30.999.654,-,-,-,-,,,30999654.0,30999654.0,,,,
"- Thuế xuất, nhập khẩu","- Thuế xuất, nhập khẩu","- Thuế xuất, nhập khẩu",179.778.712,-,38.451.218.441,37.436.904.852,6.878.165,-,303.500.169,1.144.913.211,179778712.0,,38451218441.0,37436904852.0,6878165.0,,303500169.0,1144913211.0
- Thuế bảo vệ môi trường,- Thuế bảo vệ môi trường,- Thuế bảo vệ môi trường,2.584.050,1.308.951.658,12.958.513.785,14.033.415.914,30.914.146,-,2.584.050,264.963.675,2584050.0,1308951658.0,12958513785.0,14033415914.0,30914146.0,,2584050.0,264963675.0
- Các loại thuế khác,- Các loại thuế khác,- Các loại thuế khác,415.358.118,46.152.276.372,131.189.367.514,107.017.388.930,2.443.342.922,-,174.059.836,72.526.299.596,415358118.0,46152276372.0,131189367514.0,107017388930.0,2443342922.0,,174059836.0,72526299596.0
"- Các khoản phí, lệ phí và các khoản phải nộp khác","- Các khoản phí, lệ phí và các khoản phải nộp khác","- Các khoản phí, lệ phí và các khoản phải nộp khác",27.706.532.591,21.790.052.861,152.261.846.975,170.741.184.361,(9.236.652),-,27.068.473.852,2.663.420.084,27706532591.0,21790052861.0,152261846975.0,170741184361.0,-9236652.0,,27068473852.0,2663420084.0
,,,404.655.038.142,743.202.155.064,3.085.763.105.016,3.429.207.003.824,9.106.895.388,(354.375),699.922.227.635,704.131.986.762,404655038142.0,743202155064.0,3085763105016.0,3429207003824.0,9106895388.0,-354375.0,699922227635.0,704131986762.0
