row_label_raw,row_label_full,col_0,Tý l'ę,31/12/2025,Tý l'ę_1,01/01/2025,numeric__Tý l'ę,numeric__31/12/2025,numeric__Tý l'ę_1,numeric__01/01/2025
,,,%,VND,%,VND,,,,
- Capital of State,- Capital of State,- Capital of State,96.77,"38,708,428,190,000",96.77,"38,708,428,190,000",9677.0,,9677.0,
- Capital of employees,- Capital of employees,- Capital of employees,0.72,"288,133,710,000",0.72,"288,133,710,000",72.0,,72.0,
- Capital of the trade union organization,- Capital of the trade union organization,- Capital of the trade union organization,0.02,"7,262,500,000",0.02,"7,262,500,000",2.0,,2.0,
- Others,- Others,- Others,2.49,"996,175,600,000",2.49,"996,175,600,000",249.0,,249.0,
,,,100,"40,000,000,000,000",100,"40,000,000,000,000",100.0,,100.0,
