row_label_raw,row_label_full,Year of exploitation,Depreciation rate (%),Year of exploitation_1,Depreciation rate (%)_1,numeric__Depreciation rate (%),numeric__Year of exploitation_1,numeric__Depreciation rate (%)_1
1st year,1st year,1st year,2.50,11th year,7.00,250.0,,700.0
2nd year,2nd year,2nd year,2.80,12th year,6.60,280.0,,660.0
3rd year,3rd year,3rd year,3.50,13th year,6.20,350.0,,620.0
4th year,4th year,4th year,4.40,14th year,5.90,440.0,,590.0
5th year,5th year,5th year,4.80,15th year,5.50,480.0,,550.0
6th year,6th year,6th year,5.40,16th year,5.40,540.0,,540.0
7th year,7th year,7th year,5.40,17th year,5.00,540.0,,500.0
8th year,8th year,8th year,5.10,18th year,5.00,510.0,,500.0
9th year,9th year,9th year,5.10,19th year,5.20,510.0,,520.0
10th year,10th year,10th year,5.00,20th year,Carrying amount,500.0,,
