row_label_raw,row_label_full,Code,ITEMS,Note,Year 2025VND,Year 2024VND,numeric__ITEMS,numeric__Note,numeric__Year 2025VND,numeric__Year 2024VND
,,,I. CASH FLOWS FROM OPERATING ACTIVITIES,I. CASH FLOWS FROM OPERATING ACTIVITIES,I. CASH FLOWS FROM OPERATING ACTIVITIES,I. CASH FLOWS FROM OPERATING ACTIVITIES,,,,
01,01,01,1. Profit before tax,,"7,107,654,649,440","5,606,391,439,164",,,,
01,01,01,2. Adjustments for,,,,,,,
02,02,02,- Depreciation and amortization of fixed assets and investment properties,,"3,102,362,980,207","2,703,728,428,563",,,,
03,03,03,- Provisions,,"152,235,586,544","69,045,896,917",,,,
04,04,04,- Exchange gains / losses from retranslation of monetary items denominated in foreign currency,,"(18,837,987,855)","(27,096,219,994)",,,,
05,05,05,- Gains / losses from investment activities,,"(2,321,500,878,918)","(1,558,921,278,362)",,,,
06,06,06,- Interest expense,,"240,727,726,843","352,905,202,449",,,,
07,07,07,- Other adjustments,,"496,142,398,953",-,,,,
08,08,08,3. Operating profit before changes in working capital,,"8,758,784,475,214","7,146,053,468,737",,,,
09,09,09,"- Increase, decrease in receivables",,"(734,716,793,018)","(16,162,233,548)",,,,
10,10,10,"- Increase, decrease in inventories",,"(2,331,054,020,202)","(985,786,557,745)",,,,
11,11,11,"- Increase, decrease in payables (excluding interest payable, corporate income tax payable)",,"3,276,785,589,290","1,214,983,143,497",,,,
12,12,12,"- Increase, decrease in prepaid expenses",,"(36,021,173,202)","(2,574,992,566,751)",,,,
13,13,13,"- Increase, decrease in trading securities",,-,-,,,,
14,14,14,- Interest paid,,"(274,673,812,663)","(343,068,707,207)",,,,
15,15,15,- Corporate income tax paid,,"(1,231,204,982,393)","(795,928,493,459)",,,,
16,16,16,- Other receipts from operating activities,,"416,189,088,587","1,340,912,360,433",,,,
17,17,17,- Other payments on operating activities,,"(889,739,096,261)","(4,552,018,855,492)",,,,
20,20,20,Net cash flow from operating activities,,"6,954,349,275,352","433,991,558,465",,,,
,,,II. CASH FLOWS FROM INVESTING ACTIVITIES,II. CASH FLOWS FROM INVESTING ACTIVITIES,II. CASH FLOWS FROM INVESTING ACTIVITIES,II. CASH FLOWS FROM INVESTING ACTIVITIES,,,,
21,21,21,1. Purchase or construction of fixed assets and other long-term assets,,"(1,157,963,965,157)","(596,299,774,505)",,,,
22,22,22,2. Proceeds from disposals of fixed assets and other long-term assets,,"1,489,046,460,351","352,338,150,870",,,,
23,23,23,3. Lendings and purchase of debt instruments from other entities,,"(16,070,192,982,628)","(2,160,763,241,581)",,,,
24,24,24,4. Collection of lendings and resale of debt instrument of other entities,,"15,564,896,221,362","1,439,382,494,042",,,,
25,25,25,5. Equity investments in other entities,,-,"(10,885,806,298)",,,,
26,26,26,6. Proceeds from equity investment in other entities,,"3,136,092,729",-,,,,
27,27,27,7. Interest and dividend received,,"1,579,888,107,269","358,920,028,113",,,,
30,30,30,Net cash flow from investing activities,,"1,408,809,933,926","(617,308,149,359)",,,,
