row_label_raw,row_label_full,No. > 21,Name of Company > Rubber Research Institute of Vietnam,"Place of establishment > No. 236 Nam Ky Khoi Nghia street, Xuan Hoa ward, Ho Chi Minh City",Rate of interest > 100.00%,"Principal activities > Research, training and transfer of scientific and technological advances in the fields of agriculture and natural rubber industry",numeric__Name of Company > Rubber Research Institute of Vietnam,"numeric__Place of establishment > No. 236 Nam Ky Khoi Nghia street, Xuan Hoa ward, Ho Chi Minh City",numeric__Rate of interest > 100.00%,"numeric__Principal activities > Research, training and transfer of scientific and technological advances in the fields of agriculture and natural rubber industry"
22,22,22,Rubber Medical Center,"No. 410 Truong Chinh street, Tan Binh ward, Ho Chi Minh City",100.00%,"Medical examination and treatment, periodic health check-ups for workers in the rubber industry and other industries",,,100.0,
23,23,23,Vietnam Rubber Magazine,"No. 236 Nam Ky Khoi Nghia street, Xuan Hoa ward, Ho Chi Minh City",100.00%,Journalism and printing,,,100.0,
24,24,24,Mien Dong College,"No. 1428 Phu Rieng Do street, Binh Phuoc ward, Dong Nai province",100.00%,"Training, scientific research and technology transfer in the rubber industry",,,100.0,
