row_label_raw,row_label_full,col_0,Quyền sử dụng đất,"Bản quyền, bằng sáng chế","Phần mềm, bản quyền máy tính",Tài sản cố định vô hình khác,Cộng,numeric__Quyền sử dụng đất,"numeric__Bản quyền, bằng sáng chế","numeric__Phần mềm, bản quyền máy tính",numeric__Tài sản cố định vô hình khác,numeric__Cộng
,,,VND,VND,VND,VND,VND,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,133.088.570.111,996.381.619,59.575.452.693,23.587.966.876,217.248.371.299,133088570111.0,996381619.0,59575452693.0,23587966876.0,217248371299.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,-,-,4.334.818.934,-,4.334.818.934,,,4334818934.0,,4334818934.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,(533.846.000),-,(533.846.000),,,-533846000.0,,-533846000.0
- Chênh lệch do thay đổi tỷ giá chuyển đổi BCTC tại ngày đầu năm và ngày cuối năm,Nguyên giá > - Chênh lệch do thay đổi tỷ giá chuyển đổi BCTC tại ngày đầu năm và ngày cuối năm,- Chênh lệch do thay đổi tỷ giá chuyển đổi BCTC tại ngày đầu năm và ngày cuối năm,279.695.283,-,346.529.355,40.533.142,666.757.780,279695283.0,,346529355.0,40533142.0,666757780.0
- Điều chính khác,Nguyên giá > - Điều chính khác,- Điều chính khác,(8.643.820.379),-,(44.000.000),-,(8.687.820.379),-8643820379.0,,-44000000.0,,-8687820379.0
- Phân loại lại,Nguyên giá > - Phân loại lại,- Phân loại lại,1.891.235.619,(691.391.619),(4.750.911.007),3.551.067.007,-,1891235619.0,-691391619.0,-4750911007.0,3551067007.0,
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,126.615.680.634,304.990.000,58.928.043.975,27.179.567.025,213.028.281.634,126615680634.0,304990000.0,58928043975.0,27179567025.0,213028281634.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,29.603.918.629,981.147.289,50.196.775.699,17.007.815.582,97.789.657.199,29603918629.0,981147289.0,50196775699.0,17007815582.0,97789657199.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,1.308.440.502,-,2.023.010.112,2.111.091.575,5.442.542.189,1308440502.0,,2023010112.0,2111091575.0,5442542189.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,(533.846.000),-,(533.846.000),,,-533846000.0,,-533846000.0
- Chênh lệch do thay đổi tỷ giá chuyển đổi BCTC tại ngày đầu năm và ngày cuối năm,Giá trị hao mòn lũy kế > - Chênh lệch do thay đổi tỷ giá chuyển đổi BCTC tại ngày đầu năm và ngày cuối năm,- Chênh lệch do thay đổi tỷ giá chuyển đổi BCTC tại ngày đầu năm và ngày cuối năm,75.891.140,-,321.996.224,18.990.186,416.877.550,75891140.0,,321996224.0,18990186.0,416877550.0
- Giảm khác,Giá trị hao mòn lũy kế > - Giảm khác,- Giảm khác,(3.982.173.930),-,(44.000.000),-,(4.026.173.930),-3982173930.0,,-44000000.0,,-4026173930.0
- Phân loại lại,Giá trị hao mòn lũy kế > - Phân loại lại,- Phân loại lại,(143.792.192),(676.157.289),(2.986.142.864),3.806.092.345,-,-143792192.0,-676157289.0,-2986142864.0,3806092345.0,
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,26.862.284.149,304.990.000,48.977.793.171,22.943.989.688,99.089.057.008,26862284149.0,304990000.0,48977793171.0,22943989688.0,99089057008.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,103.484.651.482,15.234.330,9.378.676.994,6.580.151.294,119.458.714.100,103484651482.0,15234330.0,9378676994.0,6580151294.0,119458714100.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,99.753.396.485,-,9.950.250.804,4.235.577.337,113.939.224.626,99753396485.0,,9950250804.0,4235577337.0,113939224626.0
