row_label_raw,row_label_full,No.,Name of Company,Place of establishment,Rate of interest,Principal activities,numeric__Name of Company,numeric__Place of establishment,numeric__Rate of interest,numeric__Principal activities
38,38,38,Quasa Geruco JSC,"D21, Southeast Asia Trade Center, Lao Bao commune, Quang Tri province",98.99%,"Planting, tending, exploiting and processing rubber and raw material forests",,,98.99,
39,39,39,Quasa Geruco Joint Stock Company Limited,"Ban Vam Hong Kham village, Phine district, Savannakhet province, Laos",98.99%,"Planting, tending, exploiting and processing rubber and raw material forests",,,98.99,
40,40,40,Rubber Trading and Tourism Services JSC,"Hoa Binh Avenue, Mong Cai ward, Quang Ninh province",96.49%,"Trading in rubber and agricultural, forestry, aquatic products; Executing hotel and tourism complex construction projects; Trading international and domestic travel services",,,96.49,
41,41,41,Nam Tan Uyen Joint Stock Corporation,"Tan Hiep ward, Ho Chi Minh City",42.30%,"Real estate business, ownership, use, or lease of land rights",,,42.3,
42,42,42,Thuan An Wood Processing JSC,"Binh Duong Boulevard, Thuan Giao ward, Ho Chi Minh City",63.15%,"Producing other wood products; manufacturing products from bamboo, rattan, straw and plaiting materials; trading rubber latex",,,63.15,
43,43,43,Dau Tieng Woodwork JSC,"Quarter 3, Dau Tieng commune, Ho Chi Minh City",61.00%,"Exploiting, processing wood and manufacturing products such as cabinets, tables, chairs, beds, household items and interior decoration products",,,61.0,
44,44,44,Hung Yen Hospitality services JSC,"No. 611 Phan Dinh Phung street, Dak Cam ward, Quang Ngai province",98.41%,"Tourism, services, driver training and testing",,,98.41,
45,45,45,Rubber Engineering JSC,"No. 12 HT25 street, Quarter 2, Tan Thoi Hiep ward, Ho Chi Minh City",92.05%,Specializing in manufacturing and processing machines for rubber latex,,,92.05,
46,46,46,Dong Phu Rubber JSC,"Thuan Loi commune, Dong Nai province",55.24%,"Cultivation, processing of agricultural and forestry products; livestock farming; Chemical fertilizer and rubber industry",,,55.24,
47,47,47,Tay Ninh Rubber JSC,"National Highway 22B, Phuoc Thanh commune, Tay Ninh province",60.00%,"Planting, tending, exploiting, processing and consuming natural rubber",,,60.0,
48,48,48,Son La Rubber JSC,"Group 11, To Hieu ward, Dien Bien Province",99.36%,"Planting, tending, exploiting and processing rubber latex",,,99.36,
49,49,49,Dien Bien Rubber JSC,"Team 19, Thanh Nua commune, Dien Bien province",100.00%,"Planting rubber trees and preliminary processing of rubber latex; Services supporting the new planting of rubber trees; Afforestation, wood processing and livestock farming; Agents for the purchase, sale and distribution of seedlings, fertilizers and rubber products",,,100.0,
50,50,50,Lai Chau Rubber JSC,"Group 5, Doan Ket ward, Lai Chau province",98.32%,Planting rubber trees and preliminary processing of rubber latex; Services supporting the new planting of pepper trees; Afforestation; fertilizer distribution agents; Trading and importing/exporting activities,,,98.32,
