row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,numeric__Mối quan hệ
Công ty Cổ phần Thống Nhất,Công ty Cổ phần Thống Nhất,Công ty Cổ phần Thống Nhất,Công ty liên kết,
Công ty TNHH Nghiên cứu Khoa học và Sản xuất,Công ty TNHH Nghiên cứu Khoa học và Sản xuất,Công ty TNHH Nghiên cứu Khoa học và Sản xuất,Công ty liên kết,
Công ty Cổ phần Đầu tư Xây dựng Cơ sở Hạ tầng Bình Phước,Công ty Cổ phần Đầu tư Xây dựng Cơ sở Hạ tầng Bình Phước,Công ty Cổ phần Đầu tư Xây dựng Cơ sở Hạ tầng Bình Phước,Công ty liên kết,
Công ty Cổ phần Gỗ MDF VRG - Dongwha,Công ty Cổ phần Gỗ MDF VRG - Dongwha,Công ty Cổ phần Gỗ MDF VRG - Dongwha,Công ty liên kết,
Công ty Cổ phần Đầu tư Phát triển VRG Long Thành,Công ty Cổ phần Đầu tư Phát triển VRG Long Thành,Công ty Cổ phần Đầu tư Phát triển VRG Long Thành,Công ty liên kết,
Công ty Cổ phần Cao su Thành phố Hồ Chí Minh,Công ty Cổ phần Cao su Thành phố Hồ Chí Minh,Công ty Cổ phần Cao su Thành phố Hồ Chí Minh,Công ty liên kết,
Công ty Cổ phần Cao su Bến Thành,Công ty Cổ phần Cao su Bến Thành,Công ty Cổ phần Cao su Bến Thành,Công ty liên kết,
Công ty Cổ phần Xây dựng Cao su Đồng Nai,Công ty Cổ phần Xây dựng Cao su Đồng Nai,Công ty Cổ phần Xây dựng Cao su Đồng Nai,Công ty liên kết,
Công ty Cổ phần Lộc Thịnh,Công ty Cổ phần Lộc Thịnh,Công ty Cổ phần Lộc Thịnh,Công ty liên kết,
Công ty Cổ phần Chỉ sợi Cao su V.R.G SA DO,Công ty Cổ phần Chỉ sợi Cao su V.R.G SA DO,Công ty Cổ phần Chỉ sợi Cao su V.R.G SA DO,Công ty liên kết,
Công ty Cổ phần Chế biến Gỗ Cao su Chư Pãh,Công ty Cổ phần Chế biến Gỗ Cao su Chư Pãh,Công ty Cổ phần Chế biến Gỗ Cao su Chư Pãh,Công ty liên kết,
Công ty Cổ phần Phát triển Nông nghiệp Việt Mỹ Hà Tĩnh,Công ty Cổ phần Phát triển Nông nghiệp Việt Mỹ Hà Tĩnh,Công ty Cổ phần Phát triển Nông nghiệp Việt Mỹ Hà Tĩnh,Công ty liên kết,
Công ty TNHH Đô thị và Công nghiệp Nam Tân Uyên,Công ty TNHH Đô thị và Công nghiệp Nam Tân Uyên,Công ty TNHH Đô thị và Công nghiệp Nam Tân Uyên,Công ty liên kết,
Công ty Cổ phần Cao su Dầu Tiếng Việt Lào,Công ty Cổ phần Cao su Dầu Tiếng Việt Lào,Công ty Cổ phần Cao su Dầu Tiếng Việt Lào,Công ty liên kết,
Công ty Cổ phần Phát triển Đô thị và KCN Cao su Việt Nam,Công ty Cổ phần Phát triển Đô thị và KCN Cao su Việt Nam,Công ty Cổ phần Phát triển Đô thị và KCN Cao su Việt Nam,Công ty liên kết,
Công ty Cổ phần Đầu tư Vĩnh Sơn,Công ty Cổ phần Đầu tư Vĩnh Sơn,Công ty Cổ phần Đầu tư Vĩnh Sơn,Công ty liên kết,
Công ty Cổ phần Đầu tư Sài Gòn VRG,Công ty Cổ phần Đầu tư Sài Gòn VRG,Công ty Cổ phần Đầu tư Sài Gòn VRG,Công ty nhận đầu tư,
Công ty Cổ phần EVN Quốc tế,Công ty Cổ phần EVN Quốc tế,Công ty Cổ phần EVN Quốc tế,Công ty nhận đầu tư,
Công ty Cổ phần Kinh doanh BOT Đường ĐT.741,Công ty Cổ phần Kinh doanh BOT Đường ĐT.741,Công ty Cổ phần Kinh doanh BOT Đường ĐT.741,Công ty nhận đầu tư,
Tổng Công ty Xây dựng Thủy Lợi 4 - CTCP,Tổng Công ty Xây dựng Thủy Lợi 4 - CTCP,Tổng Công ty Xây dựng Thủy Lợi 4 - CTCP,Công ty nhận đầu tư,
Công ty Cổ phần BOT Quốc lộ 13 An Lộc - Hoa Lư,Công ty Cổ phần BOT Quốc lộ 13 An Lộc - Hoa Lư,Công ty Cổ phần BOT Quốc lộ 13 An Lộc - Hoa Lư,Công ty nhận đầu tư,
Công ty Cổ phần Du lịch Sài Gòn Đông Hà,Công ty Cổ phần Du lịch Sài Gòn Đông Hà,Công ty Cổ phần Du lịch Sài Gòn Đông Hà,Công ty nhận đầu tư,
"Các thành viên Hội đồng quản trị, Ban Tổng Giám đốc, Ban Kiểm soát","Các thành viên Hội đồng quản trị, Ban Tổng Giám đốc, Ban Kiểm soát","Các thành viên Hội đồng quản trị, Ban Tổng Giám đốc, Ban Kiểm soát",,
