row_label_raw,row_label_full,Phân phối lợi nhuận,Công ty mẹ,Các công ty con phân phối cho > Công ty mẹ,Các công ty con phân phối cho > Cổ đông khôngkiểm soát,Trong đó: đã tạmphân phối trong năm2024,numeric__Công ty mẹ,numeric__Các công ty con phân phối cho > Công ty mẹ,numeric__Các công ty con phân phối cho > Cổ đông khôngkiểm soát,numeric__Trong đó: đã tạmphân phối trong năm2024
,,,VND,VND,VND,VND,,,,
Trích Quỹ Đầu tư phát triển,Trích Quỹ Đầu tư phát triển,Trích Quỹ Đầu tư phát triển,704.705.691.823,1.269.313.719.884,179.964.539.081,693.973.392.458,704705691823.0,1269313719884.0,179964539081.0,693973392458.0
"Trích Quỹ khen thưởng,phúc lợi, Quỹ khen thưởngBan điều hành","Trích Quỹ khen thưởng,phúc lợi, Quỹ khen thưởngBan điều hành","Trích Quỹ khen thưởng,phúc lợi, Quỹ khen thưởngBan điều hành",48.825.958.732,1.034.346.077.707,63.036.012.410,424.818.539.623,48825958732.0,1034346077707.0,63036012410.0,424818539623.0
"Chia cổ tức, phân phối lợi nhận","Chia cổ tức, phân phối lợi nhận","Chia cổ tức, phân phối lợi nhận",1.600.000.000.000,3.422.082.535.510,443.512.878.745,1.035.807.079.351,1600000000000.0,3422082535510.0,443512878745.0,1035807079351.0
