row_label_raw,row_label_full,col_0,01/01/2025,01/01/2025_1,During the year,During the year_1,During the year_2,During the year_3,31/12/2025,31/12/2025_1,numeric__01/01/2025,numeric__01/01/2025_1,numeric__During the year,numeric__During the year_1,numeric__During the year_2,numeric__During the year_3,numeric__31/12/2025,numeric__31/12/2025_1
,,,Outstanding balance,Amount can be paid,Increase,Decrease,Exchange differences arising from the translation of FS,Decrease due to loss of control during the year,Outstanding balance,Amount can be paid,,,,,,,,
,,,VND,VND,VND,VND,,,VND,VND,,,,,,,,
a) Short-term borrowings,a) Short-term borrowings,a) Short-term borrowings,a) Short-term borrowings,a) Short-term borrowings,a) Short-term borrowings,a) Short-term borrowings,a) Short-term borrowings,a) Short-term borrowings,a) Short-term borrowings,a) Short-term borrowings,,,,,,,,
Short-term borrowings,Short-term borrowings,Short-term borrowings,"3,658,238,339,148","3,658,238,339,148","3,605,421,626,189","6,131,883,769,767","6,131,159,034","2,054,880,373","1,135,852,474,231","1,135,852,474,231",,,,,,,,
- Borrowings from credit institutions,- Borrowings from credit institutions,- Borrowings from credit institutions,"3,645,749,339,148","3,645,749,339,148","3,597,421,626,189","6,119,133,769,767","6,131,159,034","1,904,880,373","1,128,263,474,231","1,128,263,474,231",,,,,,,,
- Borrowings from other organizations,- Borrowings from other organizations,- Borrowings from other organizations,"3,089,000,000","3,089,000,000",-,-,-,-,"3,089,000,000","3,089,000,000",,,,,,,,
- Borrowings from individuals,- Borrowings from individuals,- Borrowings from individuals,"9,400,000,000","9,400,000,000","8,000,000,000","12,750,000,000",-,"150,000,000","4,500,000,000","4,500,000,000",,,,,,,,
Current portion of long-term borrowings,Current portion of long-term borrowings,Current portion of long-term borrowings,"416,695,522,565","416,695,522,565","858,939,336,979","965,493,684,884","799,568,644",-,"310,940,743,304","310,940,743,304",,,,,,,,
- Borrowings from credit institutions,- Borrowings from credit institutions,- Borrowings from credit institutions,"416,202,908,764","416,202,908,764","845,677,382,744","965,094,031,076","799,568,644",-,"297,585,829,076","297,585,829,076",,,,,,,,
- Borrowings from other organizations,- Borrowings from other organizations,- Borrowings from other organizations,-,-,"13,000,000,000",-,-,-,"13,000,000,000","13,000,000,000",,,,,,,,
- Finance lease liabilities,- Finance lease liabilities,- Finance lease liabilities,"492,613,801","492,613,801","261,954,235","399,653,808",-,-,"354,914,228","354,914,228",,,,,,,,
,,,"4,074,933,861,713","4,074,933,861,713","4,464,360,963,168","7,097,377,454,651","6,930,727,678","2,054,880,373","1,446,793,217,535","1,446,793,217,535",,,,,,,,
b) Long-term borrowings,b) Long-term borrowings,b) Long-term borrowings,b) Long-term borrowings,b) Long-term borrowings,b) Long-term borrowings,b) Long-term borrowings,b) Long-term borrowings,b) Long-term borrowings,b) Long-term borrowings,b) Long-term borrowings,,,,,,,,
- Borrowings from credit institutions,- Borrowings from credit institutions,- Borrowings from credit institutions,"3,245,585,979,749","3,245,585,979,749","222,098,913,684","1,812,896,648,267","29,229,290,496",-,"1,684,017,535,662","1,684,017,535,662",,,,,,,,
- Borrowings from other organizations,- Borrowings from other organizations,- Borrowings from other organizations,"133,689,336,542","133,689,336,542","118,200,000,000","99,708,600,000",-,-,"152,180,736,542","152,180,736,542",,,,,,,,
- Borrowings from individuals,- Borrowings from individuals,- Borrowings from individuals,"157,280,000","157,280,000",-,-,-,-,"157,280,000","157,280,000",,,,,,,,
- Finance lease liabilities,- Finance lease liabilities,- Finance lease liabilities,"1,116,225,828","1,116,225,828",-,"407,633,808",-,-,"708,592,020","708,592,020",,,,,,,,
,,,"3,380,548,822,119","3,380,548,822,119","340,298,913,684","1,913,012,882,075","29,229,290,496",-,"1,837,064,144,224","1,837,064,144,224",,,,,,,,
Amount due for settlement within 12 months,Amount due for settlement within 12 months,Amount due for settlement within 12 months,"(416,695,522,565)","(416,695,522,565)","(858,939,336,979)","(965,493,684,884)","(799,568,644)",-,"(310,940,743,304)","(310,940,743,304)",,,,,,,,
Amount due for settlement after 12 months,Amount due for settlement after 12 months,Amount due for settlement after 12 months,"2,963,853,299,554","2,963,853,299,554",,,,,"1,526,123,400,920","1,526,123,400,920",,,,,,,,
