row_label_raw,row_label_full,col_0,Currency,Interest rate,Guarantee,Purpose,31/12/2025,31/12/2025_1,numeric__Currency,numeric__Interest rate,numeric__Guarantee,numeric__Purpose,numeric__31/12/2025,numeric__31/12/2025_1
,,,Currency,Interest rate,Guarantee,Purpose,USD/KHR,VND,,,,,,
b) Detailed information on long-term borrowings:,b) Detailed information on long-term borrowings:,b) Detailed information on long-term borrowings:,b) Detailed information on long-term borrowings:,b) Detailed information on long-term borrowings:,b) Detailed information on long-term borrowings:,b) Detailed information on long-term borrowings:,b) Detailed information on long-term borrowings:,b) Detailed information on long-term borrowings:,,,,,,
Borrowings from credit institutions,Borrowings from credit institutions,Borrowings from credit institutions,Borrowings from credit institutions,Borrowings from credit institutions,Borrowings from credit institutions,Borrowings from credit institutions,Borrowings from credit institutions,Borrowings from credit institutions,,,,,,
- Joint Stock Commercial Bank for Foreign Trade of Vietnam,- Joint Stock Commercial Bank for Foreign Trade of Vietnam,- Joint Stock Commercial Bank for Foreign Trade of Vietnam,VND,According to each debt acknowledgment document,"Mortgage of term deposit contracts, revolving inventories, land use rights and assets attached to land, assets formed in the future, machinery and equipment, receivables and other assets in accordance with the pledge and mortgage agreements and the appendices attached thereto.","Payment of reasonable and valid investment expenditures of projects at member companies, including projects for new planting, replanting and cultivation of rubber plantations; the Dak Sin 1 Hydropower Project; and the Sa Thay Rubber Latex Processing Factory Project.",,"1,684,017,535,662",,,,,,
- Vietnam Joint Stock Commercial Bank for Industry and Trade,- Vietnam Joint Stock Commercial Bank for Industry and Trade,- Vietnam Joint Stock Commercial Bank for Industry and Trade,VND,According to each debt acknowledgment document,"Mortgage of term deposit contracts, land use rights and assets attached to land, and other assets in accordance with the pledge and mortgage agreements and the appendices attached thereto.","Payment of reasonable and valid investment expenditures of projects at member companies, including the VRG Kien Giang MDF Wood Processing Plant Project; the La Hieng 2 Hydropower Plant Project; the project for planting 3,260 hectares of Arabica coffee; and the Rubber Wood Processing Plant Project - Phase 1",,"447,823,456,627",,,,,,
- Vietnam Bank for Agriculture and Rural Development,- Vietnam Bank for Agriculture and Rural Development,- Vietnam Bank for Agriculture and Rural Development,VND,9.3% per annum,"Collateral under the Asset Mortgage Contract No. 179/2020/HDTC entered into between Agribank – Binh Phuoc Branch and Phu Rieng Rubber Co., Ltd","Investment in the replanting project of 5,322.39 ha of rubber during the period from 2016 - 2020, disbursement of lenidngs on a case-by-case basis for the implementation of the investment project.",,"414,490,688,808",,,,,,
- Vietnam Maritime Commercial Joint Stock Bank,- Vietnam Maritime Commercial Joint Stock Bank,- Vietnam Maritime Commercial Joint Stock Bank,VND,8.1% per annum,Collateral under the Collateral contracts,Reimbursement of the capital invested in construction-in-progress costs for the year 2019,,"220,000,000,000",,,,,,
