row_label_raw,row_label_full,col_0,Year 2025,Year 2024,numeric__Year 2025,numeric__Year 2024
,,,VND,VND,,
Net revenue from rubber latex production and trading,Net revenue from rubber latex production and trading,Net revenue from rubber latex production and trading,"23,449,490,989,275","20,355,904,261,697",,
Net revenue from rubber products production and trading,Net revenue from rubber products production and trading,Net revenue from rubber products production and trading,"475,527,121,033","820,050,999,272",,
Net revenue from wood processing,Net revenue from wood processing,Net revenue from wood processing,"2,450,813,951,656","2,087,073,224,244",,
Net revenue from real estate and infrastructure business,Net revenue from real estate and infrastructure business,Net revenue from real estate and infrastructure business,"1,152,800,840,987","741,714,023,713",,
Net Revenue from infrastructure maintenance services at the Industrial Park,Net Revenue from infrastructure maintenance services at the Industrial Park,Net Revenue from infrastructure maintenance services at the Industrial Park,"55,084,543,378","44,909,631,009",,
Net revenue from utilities services trading,Net revenue from utilities services trading,Net revenue from utilities services trading,"108,241,608,818","78,176,443,181",,
"Net revenue from tourism, restaurant, and hotel services","Net revenue from tourism, restaurant, and hotel services","Net revenue from tourism, restaurant, and hotel services","500,000,000","500,000,000",,
Net revenue from electricity trading,Net revenue from electricity trading,Net revenue from electricity trading,"602,493,249,364","552,247,204,380",,
Other net revenue from sales of goods and rendering of services,Other net revenue from sales of goods and rendering of services,Other net revenue from sales of goods and rendering of services,"783,103,379,809","1,561,368,327,349",,
,,,"29,078,055,684,320","26,241,944,114,845",,
