row_label_raw,row_label_full,Name,Position,Total income at the Parent Company > Year 2025,Total income at the Parent Company > Year 2024,numeric__Position,numeric__Total income at the Parent Company > Year 2025,numeric__Total income at the Parent Company > Year 2024
,,,,VND,VND,,,
Mr. Tran Cong Kha,Mr. Tran Cong Kha,Mr. Tran Cong Kha,Chairman of the BoD,"1,746,183,108","1,261,045,490",,,
Mr. Le Thanh Hung,Mr. Le Thanh Hung,Mr. Le Thanh Hung,Member of the BoDGeneral Director,"1,546,730,815","1,266,016,449",,,
Mr. Do Huu Phuoc,Mr. Do Huu Phuoc,Mr. Do Huu Phuoc,Member of the BoD(Appointed on 17/06/2024),"1,421,891,959","1,120,929,325",,,
Mr. Ha Van Khuong,Mr. Ha Van Khuong,Mr. Ha Van Khuong,Member of the BoD,"1,421,891,959","1,120,929,325",,,
Mr. Nguyen Hay,Mr. Nguyen Hay,Mr. Nguyen Hay,Member of the BoD,"142,189,196","168,139,399",,,
Mr. Nguyen Dong Phong,Mr. Nguyen Dong Phong,Mr. Nguyen Dong Phong,Member of the BoD(Appointed on 17/06/2024),"142,189,196","91,075,508",,,
Mrs. Huynh Thi Cam Hong,Mrs. Huynh Thi Cam Hong,Mrs. Huynh Thi Cam Hong,Member of the BoD(Appointed on 05/11/2025),"23,698,199",-,,,
Mr. Truong Minh Trung,Mr. Truong Minh Trung,Mr. Truong Minh Trung,Deputy General Director(Appointed on 05/11/2025),"1,303,400,963","1,120,929,325",,,
Mr. Tran Ngoc Thuan,Mr. Tran Ngoc Thuan,Mr. Tran Ngoc Thuan,Member of the BoD(Resigned on 17/06/2025),-,"551,123,585",,,
Mr. Huynh Van Bao,Mr. Huynh Van Bao,Mr. Huynh Van Bao,Deputy General Director(Resigned on 29/03/2024),-,"280,232,331",,,
Mr. Pham Van Thanh,Mr. Pham Van Thanh,Mr. Pham Van Thanh,Member of the BoD(Resigned on 29/03/2024),-,"280,232,331",,,
Mr. Phan Manh Hung,Mr. Phan Manh Hung,Mr. Phan Manh Hung,Member of the BoD(Resigned on 29/03/2024),-,"42,034,850",,,
Mr. Tran Thanh Phung,Mr. Tran Thanh Phung,Mr. Tran Thanh Phung,Deputy General Director,"1,279,702,763","1,120,929,325",,,
Mr. Pham Hai Duong,Mr. Pham Hai Duong,Mr. Pham Hai Duong,Deputy General Director,"1,279,702,763","1,120,929,325",,,
Mr. Pham Van Hoi Em,Mr. Pham Van Hoi Em,Mr. Pham Van Hoi Em,Deputy General Director(Appointed on 05/11/2025)Head of the Board of Supervision(Resigned on 05/11/2025),"1,418,981,654","1,015,842,201",,,
