row_label_raw,row_label_full,No.,Name of Company,Place of establishment,Rate of interest,Principal activities,numeric__Name of Company,numeric__Place of establishment,numeric__Rate of interest,numeric__Principal activities
76,76,76,Dautieng Rubber Mechanical Transport JSC,"Quarter 4A, Dau Tieng commune, Ho Chi Minh City",65.39%,Freight transportation services by road; Machinery and equipment repair for production; Repair of machinery and transport equipment (excluding the design of road vehicles),,,65.39,
77,77,77,Lai Chau II Rubber JSC,"Bum To commune, Lai Chau province",99.80%,"Planting, tending, exploiting and processing rubber latex",,,99.8,
78,78,78,Ba Ria Kampongthom JSC,"National Highway 56, Ngai Giao commune, Ho Chi Minh City",92.75%,Trading of natural rubber latex,,,92.75,
79,79,79,"Ba Ria Kampong Thom Rubber Development Co., Ltd","Santuk District, Kampong Thom Province, Kingdom of Cambodia",92.75%,"Planting, tending, exploiting and processing rubber latex",,,92.75,
80,80,80,Chu Se Kampongthom JSC,"No. 420 Hung Vuong street, Chu Se commune, Gia Lai province",99.95%,Agricultural service activities; Production of other rubber products; Planting rubber trees; Planting cashew trees; Planting coffee trees,,,99.95,
81,81,81,"C.R.C.K.2 Rubber Development Co., Ltd","Stoung District, Kampong Thom Province, Kingdom of Cambodia",99.95%,"Planting, tending, exploiting and processing rubber latex",,,99.95,
82,82,82,"Bean Heack Rubber One Member Co., Ltd","420 Hung Vuong, Chu Se Commune, Gia Lai Province, Vietnam",99.95%,Trading of natural rubber latex,,,99.95,
83,83,83,"Bean Heack Investment Co., Ltd","Stoung District, Kampong Thom Province, Kingdom of Cambodia",99.95%,"Planting, tending, exploiting and processing rubber latex",,,99.95,
84,84,84,Mang Yang - Ratanakiri Rubber JSC,"No. 536 Nguyen Hue street, Dak Doa commune, Gia Lai province",100.00%,Planting rubber trees; Afforestation and forest care; Cattle farming; production of NPK fertilizers; Road freight transportation,,,100.0,
85,85,85,Chumomray Rubber Limited Company,"Village 7, Ia Toi Commune, Ia H'Drai District, Kon Tum Province, Vietnam",100.00%,"Planting, tending, exploiting and processing rubber latex",,,100.0,
86,86,86,"Hoang Anh Mang Yang K Rubber Development Investment Co., Ltd","Rattanakiri Province, Cambodia",100.00%,"Planting, tending, exploiting and processing rubber latex",,,100.0,
87,87,87,"Dak Doa Wood Processing Co., Ltd","Village II, Tan Binh Commune, Dak Doa District, Gia Lai Province, Vietnam",100.00%,"Manufacture, processing and trading of wood",,,100.0,
