row_label_raw,row_label_full,col_0,Year 2025,Year 2024,numeric__Year 2025,numeric__Year 2024
,,,VND,VND,,
Revenue from sales of good and redering services,Revenue from sales of good and redering services,Revenue from sales of good and redering services,"108,035,211,768","126,532,059,377",,
"- Joint Venture Company ""Visorutex""","- Joint Venture Company ""Visorutex""","- Joint Venture Company ""Visorutex""",-,"49,692,000",,
- Thong Nhat JSC,- Thong Nhat JSC,- Thong Nhat JSC,"1,330,000",-,,
- VRG Dongwha MDF JSC,- VRG Dongwha MDF JSC,- VRG Dongwha MDF JSC,"15,299,900,387","44,156,597,743",,
- Ben Thanh Rubber JSC,- Ben Thanh Rubber JSC,- Ben Thanh Rubber JSC,"33,634,217,000","28,112,392,000",,
- V.R.G SA DO Rubber Thread JSC,- V.R.G SA DO Rubber Thread JSC,- V.R.G SA DO Rubber Thread JSC,"58,279,194,381","53,654,068,520",,
- Dau Tieng Viet Lao Rubber JSC,- Dau Tieng Viet Lao Rubber JSC,- Dau Tieng Viet Lao Rubber JSC,"820,570,000","559,309,114",,
Income from liquidation of rubber trees and other income,Income from liquidation of rubber trees and other income,Income from liquidation of rubber trees and other income,"110,220,146,067","1,141,711,000",,
- VRG Dongwha MDF JSC,- VRG Dongwha MDF JSC,- VRG Dongwha MDF JSC,"110,192,720,000","1,141,711,000",,
- DT.741 Street BOT Trading JSC,- DT.741 Street BOT Trading JSC,- DT.741 Street BOT Trading JSC,"27,426,067",-,,
Purchase of goods and services,Purchase of goods and services,Purchase of goods and services,"2,466,716,262","14,499,672,761",,
- Ben Thanh Rubber JSC,- Ben Thanh Rubber JSC,- Ben Thanh Rubber JSC,"1,491,938,080","2,184,143,000",,
- V.R.G SA DO Rubber Thread JSC,- V.R.G SA DO Rubber Thread JSC,- V.R.G SA DO Rubber Thread JSC,"974,778,182","681,879,091",,
- Chu Pah Rubber Wood Processing JSC,- Chu Pah Rubber Wood Processing JSC,- Chu Pah Rubber Wood Processing JSC,-,"11,633,650,670",,
Dividends received,Dividends received,Dividends received,"720,675,888,727","295,495,989,980",,
- Thong Nhat JSC,- Thong Nhat JSC,- Thong Nhat JSC,"1,478,880,000","13,309,920,000",,
- Binh Phuoc Infrastructure Construction Investment JSC,- Binh Phuoc Infrastructure Construction Investment JSC,- Binh Phuoc Infrastructure Construction Investment JSC,"50,422,041,227","26,585,993,980",,
- VRG Dongwha MDF JSC,- VRG Dongwha MDF JSC,- VRG Dongwha MDF JSC,"490,000,000,000","112,700,000,000",,
- VRG Long Thanh Investment and Development JSC,- VRG Long Thanh Investment and Development JSC,- VRG Long Thanh Investment and Development JSC,"43,400,000,000","37,200,000,000",,
- Ben Thanh Rubber JSC,- Ben Thanh Rubber JSC,- Ben Thanh Rubber JSC,"7,168,389,600","6,650,223,800",,
- Dong Nai Rubber Construction JSC,- Dong Nai Rubber Construction JSC,- Dong Nai Rubber Construction JSC,"531,199,200","309,333,000",,
- Loc Thinh JSC,- Loc Thinh JSC,- Loc Thinh JSC,-,"1,619,287,200",,
- Dau Tieng Viet Lao Rubber JSC,- Dau Tieng Viet Lao Rubber JSC,- Dau Tieng Viet Lao Rubber JSC,"20,580,000,000",-,,
"- Nam Tan Uyen Urban and Industrial Co., Ltd","- Nam Tan Uyen Urban and Industrial Co., Ltd","- Nam Tan Uyen Urban and Industrial Co., Ltd","36,589,650,000","33,843,144,000",,
- DT.741 Street BOT Trading JSC,- DT.741 Street BOT Trading JSC,- DT.741 Street BOT Trading JSC,"3,835,000,000","3,952,500,000",,
- EVN International JSC,- EVN International JSC,- EVN International JSC,-,"9,936,000,000",,
- Viet Lao Power JSC,- Viet Lao Power JSC,- Viet Lao Power JSC,"24,776,330,000","14,928,860,000",,
- Sai Gon VRG Investment Corporation,- Sai Gon VRG Investment Corporation,- Sai Gon VRG Investment Corporation,"41,894,398,700","34,460,728,000",,
