row_label_raw,row_label_full,col_0,01/01/2025,Increase,Decrease,31/12/2025,numeric__01/01/2025,numeric__Increase,numeric__Decrease,numeric__31/12/2025
,,,VND,VND,VND,VND,,,,
a) Short-term,a) Short-term,a) Short-term,a) Short-term,a) Short-term,a) Short-term,a) Short-term,,,,
- Lendings at subsidiaries within the Group,- Lendings at subsidiaries within the Group,- Lendings at subsidiaries within the Group,"519,124,000",-,"300,000,000","219,124,000",,,,
- Lendings at the Parent Company - Vietnam Rubber Group,- Lendings at the Parent Company - Vietnam Rubber Group,- Lendings at the Parent Company - Vietnam Rubber Group,"7,529,125,000",-,-,"7,529,125,000",,,,
,,,"8,048,249,000",-,"300,000,000","7,748,249,000",,,,
b) Long-term,b) Long-term,b) Long-term,b) Long-term,b) Long-term,b) Long-term,b) Long-term,,,,
- Lendings at subsidiaries within the Group,- Lendings at subsidiaries within the Group,- Lendings at subsidiaries within the Group,"63,727,386,806",-,"3,692,382,153","60,035,004,653",,,,
"Lending receivables at Vietnam Rubber Finance One member Co., Ltd after merger","Lending receivables at Vietnam Rubber Finance One member Co., Ltd after merger","Lending receivables at Vietnam Rubber Finance One member Co., Ltd after merger","723,783,751,151",-,"19,810,055,721","703,973,695,430",,,,
+ Lending receivables under Repo share,+ Lending receivables under Repo share,+ Lending receivables under Repo share,"51,676,359,215",-,"60,000,000","51,616,359,215",,,,
+ Lendings to customers,+ Lendings to customers,+ Lendings to customers,"672,107,391,936",-,"19,750,055,721","652,357,336,215",,,,
,,,"787,511,137,957",-,"23,502,437,874","764,008,700,083",,,,
