row_label_raw,row_label_full,col_0,Land use rights,Infrastructure,Total,numeric__Land use rights,numeric__Infrastructure,numeric__Total
,,,VND,VND,VND,,,
Historical cost,Historical cost,Historical cost,Historical cost,Historical cost,Historical cost,,,
Beginning balance,Beginning balance,Beginning balance,"12,433,504,495","2,327,856,466,169","2,340,289,970,664",,,
- Purchase in the year,- Purchase in the year,- Purchase in the year,"3,000,840,000",-,"3,000,840,000",,,
- Completed construction investment,- Completed construction investment,- Completed construction investment,-,"82,774,370,895","82,774,370,895",,,
"- Liquidation, disposal","- Liquidation, disposal","- Liquidation, disposal",-,"(192,309,964)","(192,309,964)",,,
- Other adjustments,- Other adjustments,- Other adjustments,"22,678,319,569","34,201,996,257","56,880,315,826",,,
Ending balance,Ending balance,Ending balance,"38,112,664,064","2,444,640,523,357","2,482,753,187,421",,,
Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,,,
Beginning balance,Beginning balance,Beginning balance,"2,727,227,003","1,050,865,561,789","1,053,592,788,792",,,
- Depreciation in the period,- Depreciation in the period,- Depreciation in the period,"311,559,192","124,345,376,172","124,656,935,364",,,
"- Liquidation, disposal","- Liquidation, disposal","- Liquidation, disposal",-,"(192,309,964)","(192,309,964)",,,
- Other adjustments,- Other adjustments,- Other adjustments,"11,799,017,152","28,349,485,482","40,148,502,634",,,
Ending balance,Ending balance,Ending balance,"14,837,803,347","1,203,368,113,479","1,218,205,916,826",,,
Carrying amount,Carrying amount,Carrying amount,Carrying amount,Carrying amount,Carrying amount,,,
Beginning balance,Beginning balance,Beginning balance,"9,706,277,492","1,276,990,904,380","1,286,697,181,872",,,
Ending balance,Ending balance,Ending balance,"23,274,860,717","1,241,272,409,878","1,264,547,270,595",,,
