row_label_raw,row_label_full,col_0,Year 2025,Year 2024,numeric__Year 2025,numeric__Year 2024
,,,VND,VND,,
Thong Nhat Joint Stock Company,Thong Nhat Joint Stock Company,Thong Nhat Joint Stock Company,"12,922,016,973","9,587,015,699",,
Joint Venture Company (Visorutex),Joint Venture Company (Visorutex),Joint Venture Company (Visorutex),"(1,014,558,255)","(978,210,455)",,
Binh Phuoc Infrastructure Construction Investment Joint Stock Company,Binh Phuoc Infrastructure Construction Investment Joint Stock Company,Binh Phuoc Infrastructure Construction Investment Joint Stock Company,"26,428,834,683","23,626,926,575",,
DT.741 Street BOT Trading JSC,DT.741 Street BOT Trading JSC,DT.741 Street BOT Trading JSC,-,"6,759,945,225",,
VRG Dongwha MDF Joint Stock Company,VRG Dongwha MDF Joint Stock Company,VRG Dongwha MDF Joint Stock Company,"56,937,495,873","74,958,925,609",,
VRG Long Thanh Investment and Development Joint Stock Company,VRG Long Thanh Investment and Development Joint Stock Company,VRG Long Thanh Investment and Development Joint Stock Company,"131,689,720,368",-,,
Ho Chi Minh City Rubber Joint Stock Company,Ho Chi Minh City Rubber Joint Stock Company,Ho Chi Minh City Rubber Joint Stock Company,"4,724,896,462","1,910,141,790",,
Ben Thanh Rubber Joint Stock Company,Ben Thanh Rubber Joint Stock Company,Ben Thanh Rubber Joint Stock Company,"10,037,675,823","10,499,759,290",,
Dong Nai Rubber Construction Investment Joint Stock Company,Dong Nai Rubber Construction Investment Joint Stock Company,Dong Nai Rubber Construction Investment Joint Stock Company,"577,650,767","353,007,700",,
Loc Thinh Corporation,Loc Thinh Corporation,Loc Thinh Corporation,"(58,184,014)","(36,824,176)",,
VRG SA DO Rubber Thread Joint Stock Company,VRG SA DO Rubber Thread Joint Stock Company,VRG SA DO Rubber Thread Joint Stock Company,-,"(31,767,677,065)",,
Chupah Rubber Wood Processing Joint Stock Company,Chupah Rubber Wood Processing Joint Stock Company,Chupah Rubber Wood Processing Joint Stock Company,"46,744,799","966,683,116",,
Dau Tieng Viet Lao Rubber Joint Stock Company,Dau Tieng Viet Lao Rubber Joint Stock Company,Dau Tieng Viet Lao Rubber Joint Stock Company,"41,321,685,240","44,736,516,470",,
Viet Nam Rubber Industrial Zone and Urban Development Joint Stock Company (VRG),Viet Nam Rubber Industrial Zone and Urban Development Joint Stock Company (VRG),Viet Nam Rubber Industrial Zone and Urban Development Joint Stock Company (VRG),"14,163,938,348","21,268,937,058",,
Vinh Son Investment Joint Stock Company,Vinh Son Investment Joint Stock Company,Vinh Son Investment Joint Stock Company,"5,847,892,852",-,,
,,,"303,625,809,919","161,885,146,836",,
