row_label_raw,row_label_full,col_0,Year 2025,Year 2024,numeric__Year 2025,numeric__Year 2024
,,,VND,VND,,
Gain from the liquidation and fallen rubber trees,Gain from the liquidation and fallen rubber trees,Gain from the liquidation and fallen rubber trees,"1,100,745,682,849","770,981,158,401",,
"Gain from liquidation, disposal of fixed assets","Gain from liquidation, disposal of fixed assets","Gain from liquidation, disposal of fixed assets","19,980,675,198",-,,
Collected compensation,Collected compensation,Collected compensation,"328,303,647,317","227,052,231,668",,
Collected fines,Collected fines,Collected fines,"15,994,061,864","21,714,512,752",,
"Gain from sale of materials, scraps","Gain from sale of materials, scraps","Gain from sale of materials, scraps","17,368,108,629","13,938,291,521",,
Reversal of Science and Technology Development fund,Reversal of Science and Technology Development fund,Reversal of Science and Technology Development fund,"48,741,904,422","32,978,105,725",,
Received support from Rubber Export Insurance fund,Received support from Rubber Export Insurance fund,Received support from Rubber Export Insurance fund,"24,252,989,372","10,955,975,335",,
Gain from intercropping agricultural crops in rubber plantations,Gain from intercropping agricultural crops in rubber plantations,Gain from intercropping agricultural crops in rubber plantations,"75,399,268,854","54,577,443,097",,
Others,Others,Others,"328,095,872,797","246,019,624,767",,
,,,"1,958,882,211,302","1,378,217,343,266",,
In which: Other income from related parties,In which: Other income from related parties,In which: Other income from related parties,"110,220,146,067","1,141,711,000",,
