row_label_raw,row_label_full,Content,Quantity,numeric__Quantity
- Total number of subsidiaries during the fiscal year and as at the date of the Consolidated Financial Statements+ Number of consolidated subsidiaries+ Number of unconsolidated subsidiaries,- Total number of subsidiaries during the fiscal year and as at the date of the Consolidated Financial Statements+ Number of consolidated subsidiaries+ Number of unconsolidated subsidiaries,- Total number of subsidiaries during the fiscal year and as at the date of the Consolidated Financial Statements+ Number of consolidated subsidiaries+ Number of unconsolidated subsidiaries,120 Companies120 Companies0 Company,
- Total number of associates during the fiscal year and as at the date of the Consolidated Financial Statements+ Number of consolidated associates+ Number of unconsolidated associates,- Total number of associates during the fiscal year and as at the date of the Consolidated Financial Statements+ Number of consolidated associates+ Number of unconsolidated associates,- Total number of associates during the fiscal year and as at the date of the Consolidated Financial Statements+ Number of consolidated associates+ Number of unconsolidated associates,16 Companies16 Companies0 Company,
