row_label_raw,row_label_full,No.,Name of Company,Place of establishment,Rate of interest,Principal activities,numeric__Name of Company,numeric__Place of establishment,numeric__Rate of interest,numeric__Principal activities
1,1,1,"Dong Nai Rubber Corporation Co., Ltd","No. 47, Street No. 1, Group 3, Trung Tam quarter, Xuan Lap ward, Dong Nai province",100.00%,"Planting, exploiting, processing and trading natural rubber latex",,,100.0,
2,2,2,"Binh Long Rubber Co., Ltd","National Highway 13, Chon Thanh ward, Dong Nai province",100.00%,"Planting, exploiting, processing, trading of latex and providing services for rubber development",,,100.0,
3,3,3,"Dau Tieng Rubber Co., Ltd","Dau Tieng commune, Ho Chi Minh City",100.00%,"Planting, tending and exploiting natural rubber. Afforestation, exploitation and processing of forestry, industrial and agricultural crops",,,100.0,
4,4,4,"Loc Ninh Rubber Co., Ltd","Loc Ninh commune, Dong Nai Province",100.00%,"Planting, tending, exploiting, processing and consuming rubber products. Afforestation and forest product exploitation",,,100.0,
5,5,5,"Phu Rieng Rubber Co., Ltd","Phu Rieng commune, Dong Nai Province",100.00%,"Planting, tending, exploiting, processing and trading rubber for import and export",,,100.0,
6,6,6,"Krong Buk Rubber Co., Ltd","Krong Nang commune, Dak Lak province",100.00%,"Planting rubber trees, coffee trees and short-term agricultural crops. Trading and importing/exporting rubber, supplies and equipment for the rubber industry; coffee, agricultural products and foodstuffs",,,100.0,
7,7,7,"Ea H'Leo Rubber Co., Ltd","No. 499 Giai Phong street, Ea Drang commune, Dak Lak province",100.00%,"Planting, tending, exploiting, processing and trading natural rubber latex",,,100.0,
8,8,8,"Chu Prong Rubber Co., Ltd","Chu Prong commune, Gia Lai province",100.00%,"Planting, exploiting, processing and consuming rubber and coffee; production and processing of wood. Chemical, fertilizer and rubber industries. Exploitation and processing of minerals. wholesale trading",,,100.0,
9,9,9,"Chu Se Rubber Co., Ltd","No. 420 Hung Vuong street, Chu Se commune, Gia Lai province",100.00%,"Cultivation; chemical, fertilizer and rubber industries. Wholesale trading land reclamation and plantation development",,,100.0,
10,10,10,"Kon Tum Rubber Co., Ltd","No. 639 Phan Dinh Phung street, Dak Cam ward, Quang Ngai province",100.00%,"Replanting, exploiting, tending and processing of rubber latex",,,100.0,
11,11,11,"Mang Yang Rubber Co., Ltd","No. 536 Nguyen Hue street, Dak Doa commune, Gia Lai province",100.00%,"Wholesale trading of rubber. Cultivation, mixed farming and rubber plantation. Production of fertilizers and nitrogen compounds. Wholesale trading of fertilizers, pesticides and other agricultural chemicals",,,100.0,
