row_label_raw,row_label_full,col_0,"Machinery, equipment",Total,"numeric__Machinery, equipment",numeric__Total
,,,VND,VND,,
Historical cost,Historical cost,Historical cost,Historical cost,Historical cost,,
Beginning balance,Beginning balance,Beginning balance,"3,101,449,158","3,101,449,158",,
Ending balance,Ending balance,Ending balance,"3,101,449,158","3,101,449,158",,
Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,,
Beginning balance,Beginning balance,Beginning balance,"2,126,316,491","2,126,316,491",,
- Depreciation in the year,- Depreciation in the year,- Depreciation in the year,"148,803,876","148,803,876",,
Ending balance,Ending balance,Ending balance,"2,275,120,367","2,275,120,367",,
Carrying amount,Carrying amount,Carrying amount,Carrying amount,Carrying amount,,
Beginning balance,Beginning balance,Beginning balance,"975,132,667","975,132,667",,
Ending balance,Ending balance,Ending balance,"826,328,791","826,328,791",,
