row_label_raw,row_label_full,col_0,31/12/2025 > Giá gốc,31/12/2025 > Dự phòng,31/12/2025 > Giá trị có thể thu hồi,01/01/2025 > Giá gốc,01/01/2025 > Dự phòng,01/01/2025 > Giá trị có thể thu hồi,numeric__31/12/2025 > Giá gốc,numeric__31/12/2025 > Dự phòng,numeric__31/12/2025 > Giá trị có thể thu hồi,numeric__01/01/2025 > Giá gốc,numeric__01/01/2025 > Dự phòng,numeric__01/01/2025 > Giá trị có thể thu hồi
,,,VND,VND,VND,VND,VND,VND,,,,,,
Tổng giá trị các khoản phải thu quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi,Tổng giá trị các khoản phải thu quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi,Tổng giá trị các khoản phải thu quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi,Tổng giá trị các khoản phải thu quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi,Tổng giá trị các khoản phải thu quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi,Tổng giá trị các khoản phải thu quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi,Tổng giá trị các khoản phải thu quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi,Tổng giá trị các khoản phải thu quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi,Tổng giá trị các khoản phải thu quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi,,,,,,
"- Các khách hàng cho vay sáp nhập từ Công ty Tài chính TNHH MTV Cao su Việt Nam (""RFC"") (1)","Tổng giá trị các khoản phải thu quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi > - Các khách hàng cho vay sáp nhập từ Công ty Tài chính TNHH MTV Cao su Việt Nam (""RFC"") (1)","- Các khách hàng cho vay sáp nhập từ Công ty Tài chính TNHH MTV Cao su Việt Nam (""RFC"") (1)",652.357.336.215,(326.020.631.435),326.336.704.780,670.907.391.936,(329.872.073.156),341.035.318.780,652357336215.0,-326020631435.0,326336704780.0,670907391936.0,-329872073156.0,341035318780.0
- Các khoản cho vay theo hình thức Repo cổ phiếu sáp nhập từ Công ty Tài chính TNHH MTV Cao su Việt Nam (2),Tổng giá trị các khoản phải thu quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi > - Các khoản cho vay theo hình thức Repo cổ phiếu sáp nhập từ Công ty Tài chính TNHH MTV Cao su Việt Nam (2),- Các khoản cho vay theo hình thức Repo cổ phiếu sáp nhập từ Công ty Tài chính TNHH MTV Cao su Việt Nam (2),51.616.359.215,(42.736.059.215),8.880.300.000,51.676.359.215,(45.579.059.215),6.097.300.000,51616359215.0,-42736059215.0,8880300000.0,51676359215.0,-45579059215.0,6097300000.0
- Công ty Cổ phần Chi sợi Cao su V.R.G Sa Do,Tổng giá trị các khoản phải thu quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi > - Công ty Cổ phần Chi sợi Cao su V.R.G Sa Do,- Công ty Cổ phần Chi sợi Cao su V.R.G Sa Do,53.984.633.144,(53.984.633.144),-,53.984.633.144,(53.984.633.144),-,53984633144.0,-53984633144.0,,53984633144.0,-53984633144.0,
- Công ty Cổ phần Chứng khoán Delta,Tổng giá trị các khoản phải thu quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi > - Công ty Cổ phần Chứng khoán Delta,- Công ty Cổ phần Chứng khoán Delta,29.168.884.709,(29.168.884.709),-,29.168.884.709,(29.168.884.709),-,29168884709.0,-29168884709.0,,29168884709.0,-29168884709.0,
- Ông Phạm Duy Khương,Tổng giá trị các khoản phải thu quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi > - Ông Phạm Duy Khương,- Ông Phạm Duy Khương,-,-,-,28.471.341.389,(28.471.341.389),-,,,,28471341389.0,-28471341389.0,
"- Shin Foong Specialty and Applied Materials Co., Ltd","Tổng giá trị các khoản phải thu quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi > - Shin Foong Specialty and Applied Materials Co., Ltd","- Shin Foong Specialty and Applied Materials Co., Ltd",26.013.968.790,(600.000.000),25.413.968.790,,,,26013968790.0,-600000000.0,25413968790.0,,,
- Làng Biệt thư du lịch sinh thái Quận 9,Tổng giá trị các khoản phải thu quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi > - Làng Biệt thư du lịch sinh thái Quận 9,- Làng Biệt thư du lịch sinh thái Quận 9,11.250.000.000,(11.250.000.000),-,11.250.000.000,(11.250.000.000),-,11250000000.0,-11250000000.0,,11250000000.0,-11250000000.0,
- Công ty Cổ phần Đầu tư Xây dựng Cao su,Tổng giá trị các khoản phải thu quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi > - Công ty Cổ phần Đầu tư Xây dựng Cao su,- Công ty Cổ phần Đầu tư Xây dựng Cao su,13.652.000.000,(13.652.000.000),-,14.252.000.000,(14.252.000.000),-,13652000000.0,-13652000000.0,,14252000000.0,-14252000000.0,
- Công ty Cổ phần Chế biến và Xuất nhập khẩu Thủy sản Đồng Tháp,Tổng giá trị các khoản phải thu quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi > - Công ty Cổ phần Chế biến và Xuất nhập khẩu Thủy sản Đồng Tháp,- Công ty Cổ phần Chế biến và Xuất nhập khẩu Thủy sản Đồng Tháp,8.956.471.270,(8.956.471.270),-,8.956.471.270,(8.956.471.270),-,8956471270.0,-8956471270.0,,8956471270.0,-8956471270.0,
- Công ty TNHH Sản xuất Thương mại Dịch vụ Hữu Nghị,Tổng giá trị các khoản phải thu quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi > - Công ty TNHH Sản xuất Thương mại Dịch vụ Hữu Nghị,- Công ty TNHH Sản xuất Thương mại Dịch vụ Hữu Nghị,7.843.792.484,(7.843.792.484),-,7.843.792.484,(7.843.792.484),-,7843792484.0,-7843792484.0,,7843792484.0,-7843792484.0,
- Công ty Cổ phần Giấy Uu Việt,Tổng giá trị các khoản phải thu quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi > - Công ty Cổ phần Giấy Uu Việt,- Công ty Cổ phần Giấy Uu Việt,5.566.565.134,(5.442.522.362),124.042.772,7.501.619.387,(7.340.027.956),161.591.431,5566565134.0,-5442522362.0,124042772.0,7501619387.0,-7340027956.0,161591431.0
