row_label_raw,row_label_full,col_0,"Máy móc,thiết bị",Cộng,"numeric__Máy móc,thiết bị",numeric__Cộng
,,,VND,VND,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,3.101.449.158,3.101.449.158,3101449158.0,3101449158.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,3.101.449.158,3.101.449.158,3101449158.0,3101449158.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,2.126.316.491,2.126.316.491,2126316491.0,2126316491.0
- Khẩu hao trong năm,Giá trị hao mòn lũy kế > - Khẩu hao trong năm,- Khẩu hao trong năm,148.803.876,148.803.876,148803876.0,148803876.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,2.275.120.367,2.275.120.367,2275120367.0,2275120367.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,975.132.667,975.132.667,975132667.0,975132667.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,826.328.791,826.328.791,826328791.0,826328791.0
