row_label_raw,row_label_full,col_0,"Buildings, structures","Machinery, equipment",Transportation equipment,Management equipment,Perennial plantations,Others,Total,"numeric__Buildings, structures","numeric__Machinery, equipment",numeric__Transportation equipment,numeric__Management equipment,numeric__Perennial plantations,numeric__Others,numeric__Total
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
Historical cost,Historical cost,Historical cost,Historical cost,Historical cost,Historical cost,Historical cost,Historical cost,Historical cost,Historical cost,,,,,,,
Beginning balance,Beginning balance,Beginning balance,"13,296,278,292,786","6,604,147,301,753","2,172,905,773,763","291,141,917,159","35,858,851,244,372","96,006,157,384","58,319,330,687,217",,,,,,,
- Purchase in the year,- Purchase in the year,- Purchase in the year,"27,474,682,725","100,712,254,578","98,677,347,973","7,189,723,005","8,891,533,936","527,000,000","243,472,542,217",,,,,,,
- Completed construction investment,- Completed construction investment,- Completed construction investment,"280,066,959,194","21,040,199,463","12,859,908,487",-,"1,891,701,395,337","1,233,472,223","2,206,901,934,704",,,,,,,
"- Liquidation, disposal","- Liquidation, disposal","- Liquidation, disposal","(12,273,605,842)","(81,926,394,995)","(45,120,556,901)","(3,916,654,164)","(357,332,486,459)","(89,133,121)","(500,658,831,482)",,,,,,,
- Decrease due to loss of control during the year,- Decrease due to loss of control during the year,- Decrease due to loss of control during the year,,,,,,,,,,,,,,
- Exchange differences arising from the translation of FS at the beginning and ending of the year,- Exchange differences arising from the translation of FS at the beginning and ending of the year,- Exchange differences arising from the translation of FS at the beginning and ending of the year,"104,280,136,246","21,161,874,434","13,861,948,133","711,235,804","634,387,783,902","5,024,955","774,408,003,474",,,,,,,
- Other adjustments,- Exchange differences arising from the translation of FS at the beginning and ending of the year > - Other adjustments,- Other adjustments,"(48,386,664,164)","(2,199,745,381)","(13,960,384,469)","(338,588,859)","(223,839,548,319)","121,999","(288,724,809,193)",,,,,,121.999,
- Reclassification,- Reclassification,- Reclassification,"(145,445,349,965)","8,710,619,831","(124,419,270,906)","(62,960,454,256)","357,928,300,602","(33,813,845,306)",-,,,,,,,
Ending balance,Ending balance,Ending balance,"13,498,776,804,559","6,671,050,411,058","2,114,489,709,803","231,807,478,689","38,170,588,223,371","63,868,798,134","60,750,581,425,614",,,,,,,
Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,,,,,,,
Beginning balance,Beginning balance,Beginning balance,"7,907,528,730,034","4,504,728,307,208","1,564,847,709,051","257,139,017,857","8,794,314,017,284","74,050,867,860","23,102,608,649,294",,,,,,,
- Depreciation in the year,- Depreciation in the year,- Depreciation in the year,"533,158,245,087","263,976,869,500","99,635,934,956","7,153,148,470","1,872,571,848,473","2,438,761,496","2,778,934,807,982",,,,,,,
"- Liquidation, disposal","- Liquidation, disposal","- Liquidation, disposal","(12,200,663,761)","(79,329,189,487)","(44,181,799,117)","(3,916,654,164)","(243,291,559,390)","(89,133,121)","(383,008,999,040)",,,,,,,
- Decrease due to loss of control during the year,- Decrease due to loss of control during the year,- Decrease due to loss of control during the year,,,,,,,,,,,,,,
- Exchange differences arising from the translation of FS at the beginning and ending of the year,- Exchange differences arising from the translation of FS at the beginning and ending of the year,- Exchange differences arising from the translation of FS at the beginning and ending of the year,"50,933,719,373","10,369,081,650","8,077,339,888","471,061,995","144,590,713,543","3,358,975","214,445,275,424",,,,,,,
- Other adjustments,- Exchange differences arising from the translation of FS at the beginning and ending of the year > - Other adjustments,- Other adjustments,"(39,820,582,943)","(362,122,153)","(6,109,462,488)","(338,588,859)","(16,323,633,168)","121,999","(62,954,267,612)",,,,,,121.999,
- Reclassification,- Reclassification,- Reclassification,"(53,727,483,770)","(31,745,192,764)","(27,978,686,732)","(60,426,282,071)","198,307,162,033","(24,429,516,696)",-,,,,,,,
Ending balance,Ending balance,Ending balance,"8,384,108,609,268","4,667,042,055,329","1,593,975,979,281","200,062,003,228","10,750,168,548,775","51,974,460,513","25,647,331,656,394",,,,,,,
Carrying amount,Carrying amount,Carrying amount,Carrying amount,Carrying amount,Carrying amount,Carrying amount,Carrying amount,Carrying amount,Carrying amount,,,,,,,
Beginning balance,Beginning balance,Beginning balance,"5,388,749,562,752","2,099,418,994,545","608,058,064,712","34,002,899,302","27,064,537,227,088","21,955,289,524","35,216,722,037,923",,,,,,,
Ending balance,Ending balance,Ending balance,"5,114,668,195,291","2,004,008,355,729","520,513,730,522","31,745,475,461","27,420,419,674,596","11,894,337,621","35,103,249,769,220",,,,,,,
