row_label_raw,row_label_full,col_0,Year 2025,Year 2024,numeric__Year 2025,numeric__Year 2024
,,,VND,VND,,
Cost,Cost,Cost,Cost,Cost,,
Beginning balance,Beginning balance,Beginning balance,"406,842,309,798","406,842,309,798",,
- Other adjustments,- Other adjustments,- Other adjustments,"(305,961,170,232)",-,,
Ending balance,Ending balance,Ending balance,"100,881,139,566","406,842,309,798",,
Accumulated allocation,Accumulated allocation,Accumulated allocation,Accumulated allocation,Accumulated allocation,,
Beginning balance,Beginning balance,Beginning balance,"168,265,084,097","216,207,681,559",,
"- Allocation, losses in the year","- Allocation, losses in the year","- Allocation, losses in the year",-,"22,369,544,142",,
- Other adjustments,- Other adjustments,- Other adjustments,"(67,383,944,531)",-,,
Ending balance,Ending balance,Ending balance,"100,881,139,566","238,577,225,701",,
Carrying amount,Carrying amount,Carrying amount,Carrying amount,Carrying amount,,
Beginning balance,Beginning balance,Beginning balance,"238,577,225,701","190,634,628,239",,
Ending balance,Ending balance,Ending balance,-,"168,265,084,097",,
