row_label_raw,row_label_full,col_0,Currency,Interest rate,Guarantee,Purpose,31/12/2025,31/12/2025_1,numeric__Currency,numeric__Interest rate,numeric__Guarantee,numeric__Purpose,numeric__31/12/2025,numeric__31/12/2025_1
,,,Currency,Interest rate,Guarantee,Purpose,USD/KHR,VND,,,,,,
a) Detailed information on short-term borrowings:,a) Detailed information on short-term borrowings:,a) Detailed information on short-term borrowings:,a) Detailed information on short-term borrowings:,a) Detailed information on short-term borrowings:,a) Detailed information on short-term borrowings:,a) Detailed information on short-term borrowings:,a) Detailed information on short-term borrowings:,a) Detailed information on short-term borrowings:,,,,,,
Borrowings from credit institutions,Borrowings from credit institutions,Borrowings from credit institutions,Borrowings from credit institutions,Borrowings from credit institutions,Borrowings from credit institutions,Borrowings from credit institutions,Borrowings from credit institutions,Borrowings from credit institutions,,,,,,
- Joint Stock Commercial Bank for Foreign Trade of Vietnam,- Joint Stock Commercial Bank for Foreign Trade of Vietnam,- Joint Stock Commercial Bank for Foreign Trade of Vietnam,VND,According to each debt acknowledgment instrument,"Mortgage of term deposit contracts, revolving inventories, land use rights and assets attached to land, assets formed in the future, receivables and other assets in accordance with the pledge and mortgage agreements and the appendices attached thereto.",Supplement working capital for the production and trading of natural rubber latex.,"1,128,263,474,231",,,,,,,
- Joint Stock Commercial Bank for Foreign Trade of Vietnam,- Joint Stock Commercial Bank for Foreign Trade of Vietnam,- Joint Stock Commercial Bank for Foreign Trade of Vietnam,VND,According to each debt acknowledgment instrument,"Mortgage of term deposit contracts, revolving inventories, land use rights and assets attached to land, assets formed in the future, receivables and other assets in accordance with the pledge and mortgage agreements and the appendices attached thereto.",Supplement working capital for the production and trading of natural rubber latex.,"1,128,263,474,231","492,519,430,171",,,,,,
- Joint Stock Commercial Bank for Foreign Trade of Vietnam,- Joint Stock Commercial Bank for Foreign Trade of Vietnam,- Joint Stock Commercial Bank for Foreign Trade of Vietnam,VND,According to each debt acknowledgment instrument,"Mortgage of term deposit contracts, revolving inventories, land use rights and assets attached to land, assets formed in the future, receivables and other assets in accordance with the pledge and mortgage agreements and the appendices attached thereto.","Payment of dividends, corporate income tax and value added tax.","1,128,263,474,231","492,519,430,171",,,,,,
- Vietnam Bank for Agriculture and Rural Development,- Vietnam Bank for Agriculture and Rural Development,- Vietnam Bank for Agriculture and Rural Development,VND,According to each debt acknowledgment instrument,"Mortgage of term deposit contracts, land use rights and assets attached to land, and other assets in accordance with the pledge and mortgage agreements and the appendices attached thereto.","Supplement working capital for the production and trading of natural rubber latex, wood manufacturing, furniture trading and other production and business activities.","217,821,280,044",,,,,,,
- Vietnam Bank for Agriculture and Rural Development,- Vietnam Bank for Agriculture and Rural Development,- Vietnam Bank for Agriculture and Rural Development,VND,According to each debt acknowledgment instrument,"Mortgage of term deposit contracts, land use rights and assets attached to land, and other assets in accordance with the pledge and mortgage agreements and the appendices attached thereto.",Purchase of liquidated rubber trees.,"217,821,280,044",,,,,,,
- Vietnam Joint Stock Commercial Bank for Industry and Trade,- Vietnam Joint Stock Commercial Bank for Industry and Trade,- Vietnam Joint Stock Commercial Bank for Industry and Trade,VND,According to each debt acknowledgment instrument,"Mortgage of machinery and equipment systems and integrated construction works to be formed in the future serving the production and business activities of rubber processing, ownership rights of houses and other assets attached to land, and other collateral in accordance with the pledge and mortgage agreements and the appendices attached thereto.",Supplement working capital for the production and trading of natural rubber latex and medium-density fibreboard (MDF).,"166,400,217,206",,,,,,,
- Vietnam Joint Stock Commercial Bank for Industry and Trade,- Vietnam Joint Stock Commercial Bank for Industry and Trade,- Vietnam Joint Stock Commercial Bank for Industry and Trade,VND,According to each debt acknowledgment instrument,"Mortgage of machinery and equipment systems and integrated construction works to be formed in the future serving the production and business activities of rubber processing, ownership rights of houses and other assets attached to land, and other collateral in accordance with the pledge and mortgage agreements and the appendices attached thereto.",Payment for the purchase of raw wood materials.,"166,400,217,206",,,,,,,
- Joint Stock Commercial Bank for Investment and Development of Vietnam,- Joint Stock Commercial Bank for Investment and Development of Vietnam,- Joint Stock Commercial Bank for Investment and Development of Vietnam,VND,According to each debt acknowledgment instrument,"Mortgage of term deposit contracts, land use rights and assets attached to land, and other assets in accordance with the pledge and mortgage agreements and the appendices attached thereto.","Supplement working capital, provide guarantees for production and business activities, open letters of credit (L/C), perform discounting","65,318,596,204",,,,,,,
VietinBank (Lao) Limited,VietinBank (Lao) Limited,VietinBank (Lao) Limited,USD,11.55% per annum for LAK and 6.9% per annum for USD,Collateral under the Collateral contracts,Supplement working capital for production and business activities for the period 2024–2025.,"1,495,452.63","40,264,207,411",,,,,,
