row_label_raw,row_label_full,col_0,Year 2025,Year 2024,numeric__Year 2025,numeric__Year 2024
,,,VND,VND,,
Labour expense,Labour expense,Labour expense,"1,231,291,891,678","1,062,410,381,744",,
Raw materials,Raw materials,Raw materials,"43,483,075,413","46,996,401,293",,
Tools and supplies expense,Tools and supplies expense,Tools and supplies expense,"23,953,636,296","19,449,686,959",,
Depreciation expense,Depreciation expense,Depreciation expense,"86,972,050,134","92,210,976,731",,
"Tax, Charge, Fee","Tax, Charge, Fee","Tax, Charge, Fee","46,940,262,074","46,592,733,528",,
(Reversal)/ Provisions expense,(Reversal)/ Provisions expense,(Reversal)/ Provisions expense,"109,418,649,023","65,817,413,800",,
Expenses of outsourcing services,Expenses of outsourcing services,Expenses of outsourcing services,"186,751,417,783","156,839,634,667",,
Setting up Science and Technology Development fund,Setting up Science and Technology Development fund,Setting up Science and Technology Development fund,"744,649,531,456","270,096,922,121",,
Other expenses in cash,Other expenses in cash,Other expenses in cash,"735,994,271,604","542,318,715,163",,
Goodwill allocation,Goodwill allocation,Goodwill allocation,-,"22,369,544,142",,
,,,"3,209,454,785,461","2,325,102,410,148",,
