row_label_raw,row_label_full,col_0,Từ 1 nămtrở xuống,Trên 1 nàmdền 5 năm,Trên 5 năm,Cộng,numeric__Từ 1 nămtrở xuống,numeric__Trên 1 nàmdền 5 năm,numeric__Trên 5 năm,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Tại ngày 31/12/2025,Tại ngày 31/12/2025,Tại ngày 31/12/2025,Tại ngày 31/12/2025,Tại ngày 31/12/2025,Tại ngày 31/12/2025,Tại ngày 31/12/2025,,,,
Tiền và các khoản tương đương tiền,Tại ngày 31/12/2025 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,8.064.472.657.709,-,-,8.064.472.657.709,8064472657709.0,,,8064472657709.0
"Phải thu khách hàng, phải thu khác","Tại ngày 31/12/2025 > Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",2.175.783.854.305,105.068.740.494,-,2.280.852.594.799,2175783854305.0,105068740494.0,,2280852594799.0
Các khoản cho vay,Tại ngày 31/12/2025 > Các khoản cho vay,Các khoản cho vay,14.207.199.000.856,788.127.159.214,-,14.995.326.160.070,14207199000856.0,788127159214.0,,14995326160070.0
,,,24.447.455.512.870,893.195.899.708,-,25.340.651.412.578,24447455512870.0,893195899708.0,,25340651412578.0
Tại ngày 01/01/2025,Tại ngày 01/01/2025,Tại ngày 01/01/2025,Tại ngày 01/01/2025,Tại ngày 01/01/2025,Tại ngày 01/01/2025,Tại ngày 01/01/2025,,,,
Tiền và các khoản tương đương tiền,Tại ngày 01/01/2025 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,5.659.198.812.625,-,-,5.659.198.812.625,5659198812625.0,,,5659198812625.0
"Phải thu khách hàng, phải thu khác","Tại ngày 01/01/2025 > Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",2.189.172.947.414,186.455.963.977,-,2.375.628.911.391,2189172947414.0,186455963977.0,,2375628911391.0
Các khoản cho vay,Tại ngày 01/01/2025 > Các khoản cho vay,Các khoản cho vay,13.951.777.522.456,531.557.434.627,-,14.483.334.957.083,13951777522456.0,531557434627.0,,14483334957083.0
,,,21.800.149.282.495,718.013.398.604,-,22.518.162.681.099,21800149282495.0,718013398604.0,,22518162681099.0
