row_label_raw,row_label_full,STT,Tên Công ty,Nơi thành lập và hoạt động,Tỷ lệ lợi ích,Hoạt động kinh doanh chính,numeric__Tên Công ty,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ lợi ích,numeric__Hoạt động kinh doanh chính
1,1,1,Công ty Cổ phần Thống Nhất,"Khu công nghiệp Bầu Xéo, xã Trăng Bom, tỉnh Đồng Nai","36,07%","Đầu tư xây dựng và kinh doanh cơ sở hạ tầng khu công nghiệp; Kinh doanh điện, nước sạch; Dịch vụ xử lý nước thải",,,0.3607,
2,2,2,Công ty TNHH Nghiên cứu Khoa học và Sản xuất Thực nghiệm Cao su,"8 Trần Qúy Khoách, phường Tân Định, thành phố Hồ Chí Minh","27,57%","Trồng, khai thác, chế biến và xuất khẩu cao su",,,0.2757,
3,3,3,Công ty Cổ phần Đầu tư Xây dựng Cơ sở Hạ tầng Bình Phước,"Appe Hòa Vinh, phường Chơn Thành, tỉnh Đồng Nai","29,17%",Sản xuất vật liệu xây dựng từ đất sét; Xây dựng nhà các loại; Xây dựng công trình đường sắt và đường bộ; Bán buôn tổng hợp,,,0.2917,
4,4,4,Công ty Cổ phần Gỗ MDF VRG - Dongwha,"Lô G, Khu công nghiệp Minh Hưng III, phường Minh Hưng, tỉnh Đồng Nai","49,00%","Trồng rừng, khai thác, chế biến gỗ, đảm nguyên liệu; Sản xuất, kinh doanh gỗ nhân tạo MDF, hóa chất phục vụ ngành gỗ",,,0.49,
5,5,5,Công ty Cổ phần Đầu tư Phát triển VRG Long Thành,"Lô E, Khu Công nghiệp Lộc An, Bình Sơn, xã Long Thành, tỉnh Đồng Nai","31,00%",Kinh doanh cơ sở hạ tầng,,,0.31,
6,6,6,Công ty Cổ phần Cao su Thành phố Hồ Chí Minh,"636 Võ Văn Kiệt, phường Chợ Quán, thành phố Hồ Chí Minh","27,14%","Khai hoang, trồng mới, chăm sóc, khai thác, chế biến và mua bán các sản phẩm từ cây cao su; Sản xuất, mua bán, chế biến nông lâm sản xuất khẩu",,,0.27140000000000003,
7,7,7,Công ty Cổ phần Cao su Bến Thành,"Lô B3,1 Khu Công nghiệp Tây Bắc Củ Chi, xã Tân An Hội, thành phố Hồ Chí Minh","48,27%","Sản xuất và mua bán sản phẩm cao su; Băng tải, dây curroic, cao su nguyên liệu, sản phẩm cao su kỹ thuật",,,0.4827,
8,8,8,Công ty Cổ phần Xây dựng Cao su Đồng Nai,"Đường số 1, fiscal Trung Tâm, phường Xuân Lập, tỉnh Đồng Nai","41,50%","Xây dựng công trình dân dụng, công nghiệp, giao thông, thuỷ lợi; Sản xuất vật liệu xây dựng: Bê tông tươi, bê tông nhựa nóng, ống cống, cấu kiện bê tông đúc sẵn; Trồng, khai thác, chế biến và mua bán sản phẩm cây nông nghiệp và công nghiệp",,,0.415,
9,9,9,Công ty Cổ phần Lộc Thịnh,"Khu Công nghiệp Nhơn Trạch 2, Lộc Khang, xã Nhơn Trạch, tỉnh Đồng Nai","32,59%","Xây dựng công trình đường sắt và đường bộ; Xây dựng công trình giao thông; Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê; Đầu tư xây dựng hạ tầng khu công nghiệp",,,0.3259,
10,10,10,Công ty Cổ phần Chỉ sợi Cao su V.R.G SA DO,"Lô K5, K6, K7 Đường N9A, Khu Công nghiệp Đầu Giấy, xã Đầu Giấy, tỉnh Đồng Nai","49,06%","Sản xuất sợi nhận tạo, sản xuất sản phẩm khác từ cao su",,,0.49060000000000004,
