row_label_raw,row_label_full,Số cuối năm,Dưới 1 nămVND > Số cuối năm,Từ 1 - 5 nămVND > Số cuối năm,TổngVND > Số cuối năm,numeric__Dưới 1 nămVND > Số cuối năm,numeric__Từ 1 - 5 nămVND > Số cuối năm,numeric__TổngVND > Số cuối năm
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,84.028.754.072,-,84.028.754.072,84028754072.0,,84028754072.0
Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,72.916.772.456,499.706.000.000,572.622.772.456,72916772456.0,499706000000.0,572622772456.0
Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,1.717.085.945.589,-,1.717.085.945.589,1717085945589.0,,1717085945589.0
Cộng,Cộng,Cộng,1.874.031.472.117,499.706.000.000,2.373.737.472.117,1874031472117.0,499706000000.0,2373737472117.0
Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,,,
Phải trả người bán và phải trả khác,Số cuối năm > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,139.159.866.774,-,139.159.866.774,139159866774.0,,139159866774.0
Chi phí phải trả,Số cuối năm > Chi phí phải trả,Chi phí phải trả,5.276.027.599,-,5.276.027.599,5276027599.0,,5276027599.0
Công nợ tài chính khác,Số cuối năm > Công nợ tài chính khác,Công nợ tài chính khác,164.164.169,-,164.164.169,164164169.0,,164164169.0
Cộng,Số cuối năm > Cộng,Cộng,144.600.058.542,-,144.600.058.542,144600058542.0,,144600058542.0
Chênh lệch thanh khoản thuần,Số cuối năm > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,1.729.431.413.575,499.706.000.000,2.229.137.413.575,1729431413575.0,499706000000.0,2229137413575.0
