row_label_raw,row_label_full,Số đầu năm (Trình bày lại),Dưới 1 nămVND > Số đầu năm (Trình bày lại),Từ 1 - 5 nămVND > Số đầu năm (Trình bày lại),TổngVND > Số đầu năm (Trình bày lại),numeric__Dưới 1 nămVND > Số đầu năm (Trình bày lại),numeric__Từ 1 - 5 nămVND > Số đầu năm (Trình bày lại),numeric__TổngVND > Số đầu năm (Trình bày lại)
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,145.899.051.246,-,145.899.051.246,145899051246.0,,145899051246.0
Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,42.667.673.123,366.862.600.000,409.530.273.123,42667673123.0,366862600000.0,409530273123.0
Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,1.024.941.939.011,-,1.024.941.939.011,1024941939011.0,,1024941939011.0
Cộng,Cộng,Cộng,1.213.508.663.380,366.862.600.000,1.580.371.263.380,1213508663380.0,366862600000.0,1580371263380.0
Số đầu năm (Trình bày lại),Số đầu năm (Trình bày lại),Số đầu năm (Trình bày lại),Số đầu năm (Trình bày lại),Số đầu năm (Trình bày lại),Số đầu năm (Trình bày lại),,,
Phải trả người bán và phải trả khác,Số đầu năm (Trình bày lại) > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,64.864.365.762,-,64.864.365.762,64864365762.0,,64864365762.0
Chi phí phải trả,Số đầu năm (Trình bày lại) > Chi phí phải trả,Chi phí phải trả,2.701.093.766,-,2.701.093.766,2701093766.0,,2701093766.0
Công nợ tài chính khác,Số đầu năm (Trình bày lại) > Công nợ tài chính khác,Công nợ tài chính khác,242.765.018,-,242.765.018,242765018.0,,242765018.0
Cộng,Số đầu năm (Trình bày lại) > Cộng,Cộng,67.808.224.546,-,67.808.224.546,67808224546.0,,67808224546.0
Chênh lệch thanh khoản thuần,Số đầu năm (Trình bày lại) > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,1.145.700.438.834,366.862.600.000,1.512.563.038.834,1145700438834.0,366862600000.0,1512563038834.0
