row_label_raw,row_label_full,col_0,Năm nay.VND,Năm trướcVND,numeric__Năm nay.VND,numeric__Năm trướcVND
Công ty CP Đầu tư DV TC Hoàng Huy,Công ty CP Đầu tư DV TC Hoàng Huy,Công ty CP Đầu tư DV TC Hoàng Huy,Công ty CP Đầu tư DV TC Hoàng Huy,Công ty CP Đầu tư DV TC Hoàng Huy,,
"Mua hàng hóa, dịch vụ","Công ty CP Đầu tư DV TC Hoàng Huy > Mua hàng hóa, dịch vụ","Mua hàng hóa, dịch vụ",155.890.209.949,617.685.545.455,155890209949.0,617685545455.0
Nhận lại tiền ứng trước,Công ty CP Đầu tư DV TC Hoàng Huy > Nhận lại tiền ứng trước,Nhận lại tiền ứng trước,2.581.900.000,-,2581900000.0,
Thanh toán và ứng trước tiền hàng,Công ty CP Đầu tư DV TC Hoàng Huy > Thanh toán và ứng trước tiền hàng,Thanh toán và ứng trước tiền hàng,67.042.209.949,767.198.000.000,67042209949.0,767198000000.0
Công ty Cổ phần Đầu tư dịch vụ Thành Nam,Công ty Cổ phần Đầu tư dịch vụ Thành Nam,Công ty Cổ phần Đầu tư dịch vụ Thành Nam,Công ty Cổ phần Đầu tư dịch vụ Thành Nam,Công ty Cổ phần Đầu tư dịch vụ Thành Nam,,
Góp vốn,Góp vốn,Góp vốn,-,-,,
"Bán hàng hóa, thành phẩm","Góp vốn > Bán hàng hóa, thành phẩm","Bán hàng hóa, thành phẩm",-,1.140.000.000,,1140000000.0
Trà thường theo doanh số,Góp vốn > Trà thường theo doanh số,Trà thường theo doanh số,-,50.000.000,,50000000.0
Công ty cổ phần đầu tư xây dựng Hoàng Hiệp,Công ty cổ phần đầu tư xây dựng Hoàng Hiệp,Công ty cổ phần đầu tư xây dựng Hoàng Hiệp,Công ty cổ phần đầu tư xây dựng Hoàng Hiệp,Công ty cổ phần đầu tư xây dựng Hoàng Hiệp,,
"Bán hàng hóa, thành phẩm","Công ty cổ phần đầu tư xây dựng Hoàng Hiệp > Bán hàng hóa, thành phẩm","Bán hàng hóa, thành phẩm",4.920.000.000,480.000.000,4920000000.0,480000000.0
Nhận thanh toán,Công ty cổ phần đầu tư xây dựng Hoàng Hiệp > Nhận thanh toán,Nhận thanh toán,4.730.000.000,-,4730000000.0,
