row_label_raw,row_label_full,col_0,Giá trị ghi số > Số cuối nămVND,Giá trị ghi số > Số đầu năm( Trình bày lại)VND,numeric__Giá trị ghi số > Số cuối nămVND,numeric__Giá trị ghi số > Số đầu năm( Trình bày lại)VND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,84.028.754.072,145.899.051.246,84028754072.0,145899051246.0
"Phải thu khách hàng, phải thu khác","Tài sản tài chính > Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",572.622.772.456,409.530.273.123,572622772456.0,409530273123.0
Đầu tư tài chính ngắn hạn,Tài sản tài chính > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,1.717.085.945.589,1.024.941.939.011,1717085945589.0,1024941939011.0
Cộng,Tài sản tài chính > Cộng,Cộng,2.373.737.472.117,1.580.371.263.380,2373737472117.0,1580371263380.0
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,,
Phải trả người bán và phải trả khác,Công nợ tài chính > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,139.159.866.774,64.864.365.762,139159866774.0,64864365762.0
Chi phí phải trả,Công nợ tài chính > Chi phí phải trả,Chi phí phải trả,5.276.027.599,2.701.093.766,5276027599.0,2701093766.0
Công nợ tài chính khác,Công nợ tài chính > Công nợ tài chính khác,Công nợ tài chính khác,164.164.169,242.765.018,164164169.0,242765018.0
Cộng,Công nợ tài chính > Cộng,Cộng,144.600.058.542,67.808.224.546,144600058542.0,67808224546.0
